,binarize,graph_type,res,threshold,seed,param_key,modularity
0,True,Gad,0.35,0,28863715,TeflonZiegler,0.3849377855434507
1,True,Gad,0.35,1,20470441,VeniceGriswold,0.41795573891091337
2,True,Gad,0.35,2,59601088,TanyaVladivostok,0.44611549103592746
3,True,Gad,0.35,3,35178672,TanzaniaEdmondson,0.46810367186748636
4,True,Gad,0.4,0,31953535,LovelaceShirley,0.40407450744757906
5,True,Gad,0.4,1,54920184,HanlonHarcourt,0.42544075683709004
6,True,Gad,0.4,2,6437049,MarceauGreensboro,0.44850079023066874
7,True,Gad,0.4,3,49557007,LaytonLeeuwenhoek,0.4715438417412836
8,True,Gad,0.45,0,32591667,HoustonAlbany,0.41900864097900997
9,True,Gad,0.45,1,33196361,SomaliaVenusian,0.43648796209594987
10,True,Gad,0.45,2,14963174,ParsiCrusoe,0.4634063048817415
11,True,Gad,0.45,3,59717179,LillianAntigone,0.4782786957904491
12,True,Gad,0.5,0,32480075,LockeVito,0.44640828683983885
13,True,Gad,0.5,1,70590040,PelhamAlameda,0.4510579638749835
14,True,Gad,0.5,2,82187373,ChaucerFaulkner,0.47348675853861616
15,True,Gad,0.5,3,67242005,AmadeusSmalley,0.49145733213651
16,True,Gad,0.55,0,76389711,AbnerStirling,0.4402763618301295
17,True,Gad,0.55,1,43332706,GordonFischbein,0.4668023320896881
18,True,Gad,0.55,2,66541139,BerkeleyGoodyear,0.4819609827921167
19,True,Gad,0.55,3,8632395,MalcolmLacerta,0.49427034112020557
20,True,Gad,0.6,0,945664,GestapoJeffrey,0.4535376380524208
21,True,Gad,0.6,1,33375814,NoraHorton,0.46978221425410455
22,True,Gad,0.6,2,77164644,SullivanNash,0.49092203508473065
23,True,Gad,0.6,3,84967525,CarmichaelFrye,0.5144750013423106
24,True,G,0.35,0,12906422,ClarkeBinghamton,0.40892790591807066
25,True,G,0.35,1,64375845,McKayGaberones,0.4444847667741424
26,True,G,0.35,2,7193254,EnglandBauer,0.46864531909361534
27,True,G,0.35,3,32784964,WolcottWong,0.4850793972237237
28,True,G,0.4,0,52225393,StatenGuggenheim,0.4460215617517269
29,True,G,0.4,1,70328771,KramerKathy,0.4590299614984684
30,True,G,0.4,2,8995034,WellesleyVladimir,0.47118587556555586
31,True,G,0.4,3,13275066,BrighamFred,0.4949744787782284
32,True,G,0.45,0,8368430,RensselaerWesley,0.4498691253037655
33,True,G,0.45,1,50823994,GermanyLaurentian,0.4601531950858543
34,True,G,0.45,2,73797836,JamestownPalestine,0.4800714104060684
35,True,G,0.45,3,23544446,FreyaStuyvesant,0.49208596205509425
36,True,G,0.5,0,41827450,AnnaleSheffield,0.4539503601736891
