param_key,binarize,graph_type,n_iterations,objective_function,resolution_parameter,seed,threshold,modularity,Parameters,MB-ARI,AL-ARI,MB-cls,AL-cls
VernaJaime,False,G,2,CPM,0.0004999999999999999,30498340,0,0.004782160144363876,0,-0.0464518968718086,-0.039281019775536254,0.041816223977028,0.024766690595836326
ReykjavikBaylor,True,G,2,CPM,0.0004999999999999999,22680263,0,0.004782160144363876,1,-0.0464518968718086,-0.039281019775536254,0.041816223977028,0.024766690595836326
IgorPatrice,False,G,2,CPM,0.0008340502686000295,38790051,0,0.01141037992459498,2,-0.06968917466698135,-0.05385479685817783,0.043164134864764725,0.0255650240829937
DeannaJanuary,True,G,2,CPM,0.0008340502686000295,42294125,0,0.01141037992459498,3,-0.06968917466698135,-0.05385479685817783,0.043164134864764725,0.0255650240829937
MephistophelesIvanhoe,False,G,2,CPM,0.0013912797011035626,64454619,0,0.011997286265553254,4,-0.07321583534069062,-0.05583115411176223,0.04343773303504847,0.025727069351230425
KiewitGaston,True,G,2,CPM,0.0013912797011035626,18022715,0,0.012281989295490145,5,-0.07387012822034031,-0.05619833572189421,0.04348637551325121,0.025755879059350503
SlavicDunn,False,G,2,CPM,0.0023207944168063877,11379037,0,0.016095840576923218,6,-0.08531737698014522,-0.062135014774492875,0.0446360153256705,0.026436781609195402
OrphicPatti,True,G,2,CPM,0.0023207944168063877,15123491,0,0.016095840576923218,7,-0.08531737698014522,-0.062135014774492875,0.0446360153256705,0.026436781609195402
LebesgueCahill,False,G,2,CPM,0.0038713184134056334,60644785,0,0.021369349162410702,8,-0.09301348279683216,-0.06558388297489758,0.045884206380464754,0.027176053564395432
NantucketKnapp,True,G,2,CPM,0.0038713184134056334,70728514,0,0.02282667485050904,9,-0.09368829969958853,-0.06583954526013053,0.046047430830039524,0.02727272727272727
HanfordSuzanne,False,G,2,CPM,0.006457748325074419,11580419,0,0.03103031990088145,10,-0.1035652932428142,-0.06956803586058417,0.04886744966442953,0.028942953020134228
FryeEdinburgh,True,G,2,CPM,0.006457748325074419,4778343,0,0.0470431796358084,11,-0.10764006075665895,0.01795381350796508,0.050432900432900434,0.0758311425211846
O'BrienTass,False,G,2,CPM,0.010772173450159416,761054,0,0.3503362739201628,12,-0.05973408851298021,0.02978101032189129,0.08577887177321533,0.10951175134151622
ArgentinianOrleans,True,G,2,CPM,0.010772173450159416,81555318,0,0.3443365077310955,13,-0.06097383532949962,-0.0397941380938032,0.0875281743050338,0.051840721262208865
WhatleyDianne,False,G,2,CPM,0.017969068319023125,4454909,0,0.4391012188976219,14,-0.014431834506619017,0.0039059718885248304,0.15288713910761154,0.11860451767547478
StarkeyJane,True,G,2,CPM,0.017969068319023125,83129751,0,0.4391012188976219,15,-0.014431834506619017,0.0039059718885248304,0.15288713910761154,0.11860451767547478
SandraElinor,False,G,2,CPM,0.02997421251594704,89400097,0,0.4686440359768292,16,0.02473091249964873,0.0028176636565153327,0.44175008962430873,0.24285503759916927
MoluccasMawr,True,G,2,CPM,0.02997421251594704,79582843,0,0.4686440359768292,17,0.02473091249964873,0.0028176636565153327,0.44175008962430873,0.24285503759916927
MerrittChristie,False,G,2,CPM,0.05,63105535,0,0.4481028610205935,18,0.016944045165167447,0.002786676752600322,0.45681978022177694,0.26535390959400207
ShermanDelia,True,G,2,CPM,0.05,43771601,0,0.4481028610205935,19,0.016944045165167447,0.002786676752600322,0.45681978022177694,0.26535390959400207
TransvaalMcCullough,False,G,2,CPM,0.0004999999999999999,57294666,1,0.008513510080931734,20,-0.06497529552156575,-0.05148475147159401,0.04361662298764508,0.025833021340321977
KnauerWyoming,True,G,2,CPM,0.0004999999999999999,50207054,1,0.008513510080931734,21,-0.06497529552156575,-0.05148475147159401,0.04361662298764508,0.025833021340321977
EastmanPavlov,False,G,2,CPM,0.0008340502686000295,83762314,1,0.00928647013790331,22,-0.07420453749481064,-0.05683714539937717,0.0442629179331307,0.02621580547112462
BesselWashington,True,G,2,CPM,0.0008340502686000295,56849141,1,0.00928647013790331,23,-0.07420453749481064,-0.05683714539937717,0.0442629179331307,0.02621580547112462
RochesterGoldwater,False,G,2,CPM,0.0013912797011035626,43051842,1,0.01040726454084206,24,-0.0827045158197713,-0.06138172476770221,0.045032856590645536,0.026671820641669886
PeteMarie,True,G,2,CPM,0.0013912797011035626,81482897,1,0.010227025636774323,25,-0.08259071897275325,-0.061330705718102424,0.04501545595054096,0.026661514683153014
MahoneyMarjory,False,G,2,CPM,0.0023207944168063877,5167609,1,0.016438552057231395,26,-0.09434435558102476,-0.06706021715552227,0.046469884323893096,0.027522935779816515
