,binarize,graph_type,res,threshold,seed,param_key,modularity
394,True,Gad,0.3,2,29793110,EscherichiaJo,0.4396597178744955
395,True,Gad,0.3,3,89930172,EastlandJacobson,0.465665291448882
396,True,Gad,0.35,0,80699126,HobbsBenedictine,0.39167658478990697
397,True,Gad,0.35,1,3075494,LeonardoIsrael,0.4317534233394795
398,True,Gad,0.35,2,96527747,NanetteMahayanist,0.44506402529005734
399,True,Gad,0.35,3,52060957,VaduzEstes,0.475984932907992
400,True,Gad,0.4,0,88519977,CushingAden,0.41140343264285834
401,True,Gad,0.4,1,81785043,AshlandMueller,0.43606399166984483
402,True,Gad,0.4,2,57118872,StetsonAudrey,0.4622639153457435
403,True,Gad,0.4,3,32813533,LagosFahey,0.4816833261022442
404,True,Gad,0.45,0,70645301,QuebecDelilah,0.4124848174743029
405,True,Gad,0.45,1,79281784,LeviticusDevonshire,0.4453099664367873
406,True,Gad,0.45,2,19149458,RonaldOshkosh,0.4753343352157614
407,True,Gad,0.45,3,92116259,BurtonScripps,0.5006858811450692
408,True,G,0.2,0,16406025,MerriamArchibald,0.3583929479061866
409,True,G,0.2,1,13377676,MalrauxTwombly,0.39835248455530653
410,True,G,0.2,2,94188483,DakotaElmira,0.40606656315861833
411,True,G,0.2,3,11847450,TracyEulerian,0.4244108233489057
412,True,G,0.25,0,39427766,BogotaKant,0.38230946456367154
413,True,G,0.25,1,72266071,DykeCornelia,0.41957030700728254
414,True,G,0.25,2,3828136,VietnamFleming,0.4471089957635179
415,True,G,0.25,3,43971457,DanubeKremlin,0.4545442896051552
416,True,G,0.3,0,27893025,PlanckRosenblum,0.41074495191354393
417,True,G,0.3,1,20197786,MathiasAshley,0.4363404043954194
418,True,G,0.3,2,26505609,LazarusConnors,0.4576615346256057
419,True,G,0.3,3,68104055,MuscoviteFalmouth,0.47105212581660655
420,True,G,0.35,0,73396343,ChristyWappinger,0.42121627231602116
421,True,G,0.35,1,43285550,CynthiaCopernicus,0.44987739782269826
422,True,G,0.35,2,54404177,ByzantiumDeanna,0.4753229634025957
423,True,G,0.35,3,48243555,AlamoDoherty,0.4957733604513405
424,True,G,0.4,0,13531054,DisneylandEnglander,0.43922448250334717
425,True,G,0.4,1,96427950,MethuenElliott,0.46808113113298094
426,True,G,0.4,2,97503998,AtchisonTheresa,0.482839838040841
427,True,G,0.4,3,98765036,AllstateAtchison,0.500494725708493
428,True,G,0.45,0,19826925,HelsinkiUrsuline,0.45353845337731874
429,True,G,0.45,1,30947741,LauderdaleLucretius,0.48195162745950454
430,True,G,0.45,2,17690350,HeusenRidgway,0.4937880532724645
431,True,G,0.45,3,21025953,LeibnizBulgaria,0.508833418741742
432,False,Gad,0.2,0,1435131,AphroditeShedir,0.4094361632772676
433,False,Gad,0.2,1,74919320,HavanaEzra,0.4236539923764517
434,False,Gad,0.2,2,31091572,AngieFrey,0.45321949264811834
435,False,Gad,0.2,3,84948143,JonathanMuriel,0.4675920797525636
436,False,Gad,0.25,0,84663705,FranSan,0.4376558681600569
437,False,Gad,0.25,1,95147375,FossBella,0.4493669866633363
438,False,Gad,0.25,2,62210877,LincolnRembrandt,0.4759604223665128
439,False,Gad,0.25,3,76343691,WightmanVulcan,0.4974613422795021
440,False,Gad,0.3,0,32463644,MickyCerberus,0.44740205290236035
441,False,Gad,0.3,1,71477793,LovelandThor,0.4728468143494495
442,False,Gad,0.3,2,4044332,AikenMerriam,0.49230878806092887
443,False,Gad,0.3,3,16174279,HamptonVera,0.5063899165718609
444,False,Gad,0.35,0,51429608,LinotypeIcarus,0.46164789115558397
445,False,Gad,0.35,1,60738660,NellieYosemite,0.47755548597782094
446,False,Gad,0.35,2,51479645,AbeBridgewater,0.50293532083738
447,False,Gad,0.35,3,46943216,MiddletownKnickerbocker,0.5238140256487241
448,False,Gad,0.4,0,64024528,CanadaGoleta,0.47565239783126434
449,False,Gad,0.4,1,18580829,HatfieldSadler,0.49122921736451214
450,False,Gad,0.4,2,59871144,AriadneLizzie,0.5123811738457318
451,False,Gad,0.4,3,80092783,DenebGalatea,0.5262939834768681
452,False,Gad,0.45,0,68006522,BertramPabst,0.48629487480503164
453,False,Gad,0.45,1,80798018,NixonKarl,0.5008317009540622
454,False,Gad,0.45,2,2080480,LisaJulia,0.5201966673794287
455,False,Gad,0.45,3,62559866,GautamaAvernus,0.5312206306841314
456,False,G,0.2,0,90445581,RotarianPlanck,0.4107299855052285
457,False,G,0.2,1,51651255,MacJudd,0.4246332288592003
458,False,G,0.2,2,70779581,JoaquinBois,0.44013076963069275
459,False,G,0.2,3,94885502,RamoBissau,0.458363980019295
460,False,G,0.25,0,56562241,LiberiaAllegheny,0.43704426636965
461,False,G,0.25,1,51069056,HollingsworthJustinian,0.45836013991456154
462,False,G,0.25,2,34442683,ExeterProf,0.4754988824816388
463,False,G,0.25,3,51023043,WestonMelville,0.4949710986875302
464,False,G,0.3,0,51529424,MarciaColeridge,0.4504761418697206
465,False,G,0.3,1,15453973,ToshibaSaudi,0.4751015609844184
466,False,G,0.3,2,29742240,RosettaGoren,0.49441066407866563
467,False,G,0.3,3,64809976,AfghanDionysian,0.505897529174445
468,False,G,0.35,0,54832801,DarryDelphinus,0.4620050456498789
469,False,G,0.35,1,22127139,SinclairMadeline,0.4845390214745191
470,False,G,0.35,2,42021128,StauntonNewark,0.5048866967346692
471,False,G,0.35,3,13578434,BelgradeGalatea,0.5190542629232986
472,False,G,0.4,0,37706895,DoolittleLongfellow,0.47505472216533084
473,False,G,0.4,1,16549769,EuripidesHager,0.49452253223762965
474,False,G,0.4,2,28082410,BlochChris,0.5135428877702197
475,False,G,0.4,3,99308622,EmmettWaterbury,0.5257487708914137
476,False,G,0.45,0,9907395,EnglishmenChicagoan,0.47704847006528417
477,False,G,0.45,1,4782377,BoeingMildred,0.5113163228369504
478,False,G,0.45,2,52360903,EbenReub,0.5246314234648269
479,False,G,0.45,3,6244566,FreddieCepheus,0.5348956218553024
480,True,Gad,0.2,0,91383771,JensenKlaus,0.3256864229937321
481,True,Gad,0.2,1,46264899,FerreiraBlanche,0.3635455765764098
482,True,Gad,0.2,2,65755443,ChiangDetroit,0.40336410654100086
483,True,Gad,0.2,3,29933183,JanosMcIntosh,0.4277541524001867
484,True,Gad,0.25,0,32869454,ByzantiumByronic,0.3602626271053042
485,True,Gad,0.25,1,37402893,NazismSheila,0.4004520158492786
486,True,Gad,0.25,2,7938227,FrenchmanBrasilia,0.424878710314271
487,True,Gad,0.25,3,75244302,MadameJosephus,0.4504523090222256
488,True,Gad,0.3,0,90909921,IngersollReub,0.37544761570123253
489,True,Gad,0.3,1,26634748,TartaryShapiro,0.41496303061654216
490,True,Gad,0.3,2,37083589,LakehurstReub,0.4411249565240885
491,True,Gad,0.3,3,77536413,BorroughsLuxembourg,0.45687145162941
492,True,Gad,0.35,0,2331925,BowenAngus,0.3868621309923403
493,True,Gad,0.35,1,74325610,LorenzPierson,0.42416739763693967
494,True,Gad,0.35,2,94757610,GeraldKoran,0.4491816092456269
