,KiddeBlackfoot,LudwigHorowitz,JimenezEinstein,HelmholtzBonaventure,SanfordStromberg,RutherfordBrice,LibrevilleEnglishman,ValeriePulitzer,EurasiaChurchill,PerleHerschel,PuritanArmageddon,MoenHadley,NipponPl,OstranderMonterey,MindanaoDebby,FilipinoTitus,HoustonHoffman,ShreveportBahrein,ClarenceCepheus,HillcrestDuncan,HymanBlum,MalagasyCarrie,PeaseRinehart,ConleySaratoga,DoricPygmalion,DelGullah,IanPoynting,HollisterPearce,HanukkahBaylor,LaredoBryant,BradyAbelian,CoolidgeBirmingham,SommerfeldRothschild,MarianneCarbondale,MarilynRowe,BoltonPaulson,ElbaHerman,KaskaskiaGainesville,CardiffBeardsley,OvidGreece,McMullenMarriott,AdelePickford,StyxBahrein,CarruthersPict,WoodardTenneco,WeierstrassBernice,MoroccoHalsey,HelmutDerek,MacassarNorton,ZanzibarCreole,MoroccoFaustian,AriesAustralia,LodowickLaurie,HuntsvilleSolon,KilimanjaroIsis,GranvilleSaul,FahrenheitDusenbury,LindseySiegmund,IranianParaguay,HathawayFrench,RicoAlsop,CorinthianOhio,KnutsonGuthrie,ConnorsMcCarty,MarriettaCain,BengalOakland,EssexBoeotia,GreenblattClinton,SriPritchard,PearceSchafer,UlanConnecticut,PatrickDante
3944330,36,0.0,32.0,16.0,18,24.0,26.0,9.0,0,0.0,21.0,8.0,20,20.0,22.0,22.0,19,22.0,19.0,19.0,17,14.0,15.0,22.0,30,0.0,42.0,18.0,0,0.0,6.0,18.0,0,0.0,4.0,0.0,19,24.0,13.0,23.0,17,19.0,17.0,18.0,16,17.0,13.0,15.0,14,0.0,38.0,23.0,0,0.0,28.0,20.0,20,15.0,20.0,15.0,20,22.0,22.0,23.0,27,20.0,20.0,18.0,14,15.0,7.0,17.0
3944626,41,26.0,17.0,4.0,8,17.0,24.0,9.0,6,15.0,12.0,15.0,20,20.0,22.0,22.0,19,22.0,19.0,17.0,9,14.0,15.0,22.0,16,18.0,18.0,18.0,8,25.0,17.0,18.0,15,13.0,12.0,0.0,19,24.0,13.0,23.0,8,19.0,17.0,18.0,16,17.0,13.0,15.0,40,27.0,18.0,20.0,7,7.0,16.0,20.0,6,15.0,9.0,15.0,20,22.0,22.0,23.0,33,20.0,20.0,18.0,14,15.0,7.0,8.0
3945136,41,8.0,43.0,30.0,8,23.0,25.0,8.0,11,2.0,0.0,10.0,39,37.0,11.0,19.0,19,9.0,19.0,36.0,24,14.0,15.0,8.0,10,41.0,0.0,45.0,25,11.0,16.0,10.0,15,8.0,16.0,20.0,35,38.0,43.0,51.0,17,19.0,17.0,9.0,16,17.0,13.0,17.0,14,11.0,43.0,34.0,7,25.0,0.0,14.0,7,9.0,20.0,7.0,41,39.0,34.0,45.0,27,31.0,7.0,28.0,14,8.0,23.0,17.0
3945225,0,0.0,4.0,10.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,8.0,8.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,11.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,32.0,4.0,11.0,0,0.0,4.0,10.0,0,0.0,4.0,4.0,0,4.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
3945232,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,13.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
3945246,41,20.0,19.0,16.0,8,17.0,24.0,9.0,16,15.0,15.0,8.0,20,20.0,22.0,22.0,19,22.0,19.0,19.0,17,14.0,15.0,8.0,19,18.0,36.0,18.0,20,25.0,17.0,8.0,15,13.0,12.0,8.0,19,7.0,13.0,23.0,17,19.0,17.0,18.0,16,17.0,13.0,15.0,36,27.0,23.0,29.0,7,23.0,8.0,20.0,14,15.0,9.0,15.0,20,22.0,22.0,23.0,7,20.0,20.0,18.0,7,15.0,7.0,17.0
3945394,0,0.0,-1.0,10.0,0,0.0,11.0,4.0,0,0.0,4.0,4.0,0,0.0,12.0,8.0,0,0.0,4.0,16.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,11.0,0,0.0,4.0,4.0,0,11.0,12.0,11.0,0,0.0,16.0,4.0,0,0.0,4.0,4.0,0,0.0,11.0,11.0,0,0.0,4.0,10.0,0,0.0,4.0,4.0,0,46.0,12.0,12.0,10,0.0,29.0,4.0,0,0.0,4.0,4.0
3945454,0,0.0,4.0,10.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,12.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,12.0,11.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,10.0,0,0.0,4.0,4.0,0,0.0,12.0,4.0,0,0.0,4.0,4.0,0,0.0,4.0,4.0
3945756,8,7.0,12.0,0.0,9,26.0,13.0,13.0,6,8.0,12.0,0.0,9,48.0,8.0,53.0,16,17.0,32.0,4.0,9,14.0,15.0,4.0,16,8.0,12.0,0.0,8,8.0,12.0,28.0,6,7.0,12.0,0.0,17,31.0,4.0,4.0,8,27.0,34.0,14.0,14,8.0,15.0,25.0,8,7.0,13.0,0.0,8,7.0,16.0,0.0,6,8.0,13.0,14.0,0,4.0,4.0,8.0,33,18.0,4.0,4.0,14,28.0,27.0,23.0
3946166,32,0.0,32.0,42.0,0,24.0,26.0,30.0,0,0.0,4.0,22.0,0,41.0,44.0,7.0,0,0.0,6.0,33.0,0,0.0,9.0,10.0,35,0.0,42.0,38.0,0,0.0,6.0,32.0,0,0.0,4.0,8.0,38,19.0,41.0,10.0,0,0.0,9.0,9.0,0,9.0,9.0,10.0,14,0.0,38.0,40.0,0,0.0,28.0,7.0,0,15.0,20.0,20.0,41,36.0,38.0,48.0,9,0.0,9.0,11.0,0,0.0,13.0,4.0
3946364,17,17.0,18.0,16.0,2,17.0,17.0,2.0,16,15.0,2.0,8.0,20,19.0,43.0,21.0,18,21.0,19.0,18.0,2,2.0,7.0,8.0,19,16.0,22.0,21.0,2,2.0,2.0,8.0,2,13.0,0.0,2.0,18,21.0,38.0,22.0,16,18.0,27.0,17.0,2,17.0,21.0,15.0,2,10.0,20.0,21.0,2,2.0,2.0,20.0,14,2.0,9.0,15.0,19,19.0,40.0,22.0,30,19.0,19.0,28.0,7,17.0,15.0,16.0
3946432,17,17.0,18.0,11.0,2,0.0,4.0,16.0,2,13.0,2.0,11.0,19,19.0,8.0,21.0,18,21.0,18.0,18.0,2,2.0,13.0,16.0,2,16.0,22.0,13.0,2,2.0,2.0,4.0,2,2.0,0.0,2.0,18,21.0,38.0,22.0,16,18.0,27.0,17.0,2,16.0,4.0,17.0,2,10.0,20.0,22.0,2,2.0,17.0,17.0,2,0.0,2.0,10.0,19,19.0,40.0,22.0,0,19.0,19.0,17.0,16,17.0,15.0,16.0
3946569,16,17.0,18.0,11.0,2,28.0,17.0,2.0,2,13.0,2.0,11.0,21,19.0,16.0,21.0,20,21.0,18.0,14.0,24,15.0,13.0,27.0,2,16.0,22.0,13.0,2,17.0,3.0,3.0,2,2.0,0.0,2.0,18,43.0,38.0,22.0,16,18.0,32.0,19.0,2,16.0,19.0,17.0,2,10.0,19.0,12.0,2,2.0,2.0,17.0,2,2.0,2.0,10.0,19,19.0,40.0,22.0,18,19.0,19.0,3.0,16,17.0,23.0,17.0
3954014,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,1.0,29.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,5.0,1.0,1.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
3958234,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,5.0,5.0,4,1.0,1.0,5.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,5.0,5.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,4,5.0,5.0,5.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
3963891,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,5.0,1.0,1.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
3966683,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,25,24.0,17.0,29.0,4,16.0,28.0,31.0,4,1.0,1.0,19.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,15,35.0,28.0,1.0,24,22.0,29.0,1.0,4,22.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,16,28.0,18.0,38.0,23,28.0,21.0,30.0,4,1.0,16.0,5.0
3979181,42,37.0,20.0,46.0,18,30.0,34.0,10.0,14,10.0,17.0,18.0,43,49.0,38.0,54.0,36,35.0,35.0,27.0,19,17.0,18.0,28.0,38,44.0,47.0,42.0,18,30.0,27.0,13.0,9,15.0,19.0,11.0,47,44.0,48.0,28.0,22,29.0,25.0,32.0,18,19.0,24.0,22.0,39,40.0,44.0,46.0,12,26.0,19.0,12.0,20,21.0,18.0,14.0,45,48.0,48.0,54.0,24,35.0,36.0,33.0,25,20.0,28.0,28.0
3980315,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,1.0,29.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,5.0,1.0,1.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
3985829,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,1.0,29.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,5.0,1.0,1.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
4017089,6,21.0,21.0,,6,7.0,19.0,,5,7.0,7.0,,4,4.0,1.0,,4,1.0,1.0,,4,1.0,1.0,,6,21.0,14.0,,6,7.0,7.0,,5,6.0,14.0,,4,4.0,1.0,,4,1.0,1.0,,4,4.0,1.0,,7,22.0,15.0,,6,18.0,14.0,,5,6.0,8.0,,26,5.0,1.0,,4,4.0,1.0,,4,1.0,1.0,
4017464,21,23.0,22.0,23.0,16,20.0,20.0,10.0,9,10.0,11.0,17.0,28,27.0,27.0,30.0,24,27.0,23.0,26.0,12,11.0,12.0,13.0,23,25.0,28.0,26.0,13,20.0,29.0,24.0,14,15.0,11.0,11.0,25,29.0,29.0,30.0,21,25.0,24.0,35.0,11,18.0,17.0,21.0,19,24.0,26.0,26.0,20,19.0,18.0,22.0,9,10.0,17.0,11.0,28,29.0,28.0,32.0,21,24.0,25.0,23.0,19,12.0,18.0,21.0
4022539,1,1.0,1.0,33.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,15,31.0,49.0,37.0,1,30.0,27.0,30.0,22,23.0,21.0,24.0,1,1.0,1.0,31.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,48,41.0,17.0,15.0,25,31.0,28.0,27.0,1,23.0,22.0,24.0,1,1.0,1.0,33.0,1,20.0,1.0,1.0,1,1.0,1.0,1.0,34,34.0,35.0,37.0,26,29.0,28.0,26.0,21,24.0,21.0,25.0
4023881,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,1.0,29.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,5.0,1.0,1.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
4044654,6,21.0,,,6,7.0,,,5,14.0,,,29,24.0,,,15,16.0,,,15,12.0,,,6,17.0,,,6,22.0,,,5,18.0,,,30,22.0,,,18,22.0,,,10,13.0,,,7,15.0,,,23,22.0,,,17,19.0,,,32,24.0,,,25,15.0,,,13,13.0,,
4067286,13,16.0,9.0,14.0,13,14.0,9.0,15.0,6,8.0,9.0,16.0,17,8.0,10.0,10.0,9,8.0,8.0,9.0,16,7.0,8.0,9.0,14,14.0,9.0,16.0,16,14.0,9.0,9.0,11,14.0,9.0,9.0,9,8.0,9.0,9.0,14,7.0,8.0,8.0,8,14.0,8.0,9.0,17,8.0,9.0,18.0,14,8.0,9.0,15.0,13,13.0,10.0,12.0,9,9.0,9.0,10.0,8,9.0,8.0,9.0,8,7.0,8.0,9.0
4073353,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,1.0,29.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,5.0,1.0,1.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
4076389,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,4,4.0,1.0,1.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,4.0,1.0,29.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,5.0,1.0,1.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
4096703,28,,,,4,,,,4,,,,7,,,,7,,,,7,,,,4,,,,28,,,,4,,,,43,,,,33,,,,19,,,,7,,,,22,,,,4,,,,42,,,,31,,,,20,,,
4097554,6,4.0,9.0,28.0,6,7.0,5.0,23.0,5,7.0,7.0,7.0,7,50.0,46.0,49.0,7,8.0,36.0,38.0,16,7.0,19.0,21.0,6,46.0,9.0,9.0,6,7.0,9.0,9.0,5,6.0,9.0,16.0,43,40.0,44.0,46.0,14,1.0,36.0,23.0,19,22.0,25.0,28.0,7,8.0,25.0,15.0,6,8.0,14.0,13.0,5,6.0,8.0,9.0,42,43.0,45.0,50.0,8,36.0,8.0,34.0,8,29.0,16.0,22.0
4099900,5,22.0,26.0,33.0,5,4.0,21.0,22.0,4,4.0,20.0,20.0,15,31.0,34.0,37.0,29,30.0,27.0,30.0,22,20.0,21.0,24.0,25,24.0,33.0,31.0,21,4.0,23.0,29.0,4,4.0,5.0,19.0,31,41.0,17.0,15.0,25,31.0,28.0,25.0,13,23.0,22.0,24.0,25,29.0,29.0,33.0,21,4.0,23.0,24.0,16,4.0,19.0,18.0,34,34.0,35.0,37.0,26,29.0,28.0,26.0,21,24.0,21.0,25.0
4101295,4,31.0,5.0,18.0,4,4.0,22.0,29.0,4,4.0,20.0,20.0,25,24.0,17.0,29.0,29,16.0,28.0,31.0,22,1.0,21.0,19.0,4,33.0,5.0,35.0,4,4.0,21.0,22.0,4,4.0,5.0,5.0,32,35.0,28.0,1.0,24,22.0,29.0,21.0,10,22.0,14.0,24.0,4,4.0,32.0,1.0,22,4.0,26.0,28.0,4,4.0,5.0,9.0,16,28.0,18.0,38.0,23,28.0,29.0,30.0,21,24.0,16.0,5.0
4101621,35,35.0,39.0,33.0,24,22.0,22.0,22.0,4,16.0,19.0,20.0,15,31.0,34.0,37.0,29,30.0,27.0,30.0,22,20.0,21.0,24.0,41,27.0,30.0,31.0,21,23.0,22.0,27.0,4,17.0,20.0,19.0,48,41.0,17.0,15.0,25,31.0,28.0,25.0,13,23.0,22.0,24.0,35,36.0,28.0,33.0,21,20.0,21.0,24.0,16,17.0,19.0,18.0,34,34.0,35.0,37.0,26,29.0,28.0,26.0,21,24.0,21.0,25.0
4102413,5,22.0,26.0,29.0,5,4.0,21.0,25.0,4,4.0,20.0,20.0,31,29.0,31.0,35.0,27,28.0,25.0,29.0,21,19.0,20.0,23.0,25,24.0,33.0,32.0,21,4.0,23.0,29.0,4,4.0,5.0,6.0,28,33.0,33.0,36.0,24,28.0,26.0,24.0,19,22.0,18.0,23.0,25,29.0,29.0,30.0,22,4.0,23.0,26.0,4,4.0,5.0,18.0,31,33.0,33.0,36.0,23,26.0,26.0,25.0,20,22.0,20.0,24.0
4103336,20,20.0,40.0,48.0,17,18.0,8.0,7.0,13,15.0,15.0,8.0,8,11.0,0.0,9.0,8,7.0,7.0,11.0,8,6.0,7.0,8.0,39,7.0,23.0,8.0,17,18.0,8.0,8.0,13,13.0,8.0,8.0,8,12.0,0.0,52.0,7,6.0,7.0,7.0,7,7.0,7.0,8.0,18,21.0,8.0,48.0,21,17.0,8.0,7.0,14,15.0,9.0,8.0,12,8.0,0.0,13.0,7,8.0,7.0,8.0,7,6.0,25.0,8.0
4108016,17,17.0,18.0,19.0,2,2.0,17.0,2.0,2,13.0,2.0,11.0,38,40.0,43.0,48.0,18,33.0,26.0,18.0,2,2.0,24.0,16.0,2,16.0,22.0,21.0,2,2.0,2.0,19.0,2,2.0,0.0,2.0,42,39.0,42.0,44.0,28,35.0,27.0,30.0,2,25.0,21.0,26.0,2,19.0,20.0,41.0,2,2.0,2.0,30.0,2,2.0,2.0,16.0,39,42.0,44.0,49.0,29,33.0,27.0,17.0,2,17.0,19.0,16.0
4108720,18,22.0,26.0,29.0,5,4.0,22.0,25.0,4,4.0,20.0,20.0,33,32.0,35.0,31.0,15,29.0,28.0,31.0,15,19.0,16.0,19.0,25,24.0,33.0,35.0,21,9.0,21.0,22.0,4,4.0,5.0,16.0,32,35.0,30.0,37.0,24,22.0,29.0,21.0,10,22.0,14.0,18.0,25,29.0,32.0,30.0,22,8.0,23.0,26.0,4,4.0,5.0,9.0,35,35.0,36.0,40.0,23,28.0,21.0,21.0,13,13.0,16.0,18.0
4110483,8,7.0,15.0,0.0,9,14.0,13.0,13.0,6,8.0,12.0,0.0,9,48.0,30.0,33.0,16,36.0,29.0,15.0,9,14.0,11.0,22.0,42,8.0,12.0,0.0,8,14.0,15.0,28.0,6,7.0,12.0,0.0,17,31.0,39.0,18.0,8,27.0,15.0,14.0,14,8.0,15.0,14.0,8,14.0,13.0,0.0,8,14.0,16.0,0.0,6,8.0,13.0,14.0,30,18.0,19.0,20.0,33,18.0,17.0,0.0,14,15.0,12.0,23.0
4114133,28,25.0,39.0,28.0,24,22.0,5.0,22.0,15,18.0,19.0,20.0,33,33.0,36.0,31.0,37,29.0,29.0,28.0,22,20.0,16.0,19.0,32,27.0,30.0,29.0,19,23.0,22.0,27.0,12,17.0,20.0,19.0,32,36.0,30.0,37.0,26,31.0,37.0,21.0,22,23.0,14.0,24.0,22,26.0,28.0,28.0,16,20.0,21.0,24.0,16,17.0,19.0,18.0,35,35.0,36.0,40.0,26,28.0,28.0,31.0,21,24.0,16.0,25.0
4116174,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,25,24.0,17.0,29.0,4,1.0,1.0,31.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,15,26.0,28.0,27.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,16,28.0,18.0,31.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
4117305,39,36.0,41.0,45.0,25,29.0,30.0,31.0,19,21.0,23.0,23.0,41,44.0,47.0,50.0,34,34.0,33.0,39.0,25,24.0,25.0,26.0,37,43.0,43.0,40.0,26,29.0,26.0,33.0,18,21.0,22.0,21.0,44,42.0,45.0,47.0,29,36.0,35.0,31.0,21,26.0,23.0,27.0,38,39.0,41.0,43.0,26,1.0,29.0,31.0,19,20.0,22.0,21.0,43,45.0,46.0,51.0,32,34.0,35.0,32.0,23,27.0,26.0,27.0
4119387,6,21.0,21.0,13.0,6,7.0,19.0,12.0,5,7.0,7.0,7.0,44,8.0,10.0,29.0,4,1.0,1.0,1.0,4,1.0,1.0,1.0,6,21.0,14.0,5.0,6,7.0,7.0,9.0,5,6.0,14.0,16.0,4,8.0,9.0,27.0,4,1.0,1.0,1.0,4,4.0,1.0,1.0,7,22.0,15.0,15.0,6,18.0,14.0,13.0,5,6.0,8.0,9.0,26,9.0,9.0,10.0,4,4.0,1.0,1.0,4,1.0,1.0,5.0
4127096,43,16.0,45.0,14.0,15,15.0,11.0,14.0,12,18.0,9.0,4.0,17,8.0,10.0,19.0,9,8.0,15.0,15.0,16,7.0,11.0,9.0,8,14.0,17.0,43.0,13,9.0,9.0,11.0,12,12.0,11.0,9.0,9,19.0,21.0,20.0,14,7.0,8.0,14.0,8,14.0,8.0,14.0,13,8.0,17.0,47.0,15,8.0,4.0,15.0,12,10.0,10.0,14.0,9,9.0,9.0,20.0,8,9.0,17.0,0.0,8,7.0,8.0,9.0
4127707,5,22.0,26.0,29.0,5,4.0,21.0,25.0,4,4.0,20.0,20.0,31,29.0,31.0,35.0,27,28.0,25.0,29.0,21,19.0,20.0,23.0,25,24.0,33.0,32.0,21,4.0,23.0,29.0,4,4.0,5.0,6.0,28,33.0,33.0,36.0,24,28.0,26.0,24.0,19,22.0,18.0,23.0,25,29.0,29.0,30.0,22,4.0,23.0,26.0,4,4.0,5.0,18.0,31,33.0,33.0,36.0,23,26.0,26.0,25.0,20,22.0,20.0,24.0
4127926,30,8.0,46.0,38.0,10,25.0,10.0,8.0,11,14.0,21.0,10.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,22.0,10.0,28,9.0,48.0,45.0,25,26.0,20.0,35.0,7,8.0,16.0,20.0,10,9.0,10.0,53.0,9,8.0,9.0,26.0,9,9.0,9.0,10.0,32,9.0,45.0,34.0,25,9.0,27.0,14.0,11,9.0,20.0,13.0,37,10.0,10.0,11.0,9,10.0,9.0,27.0,9,8.0,9.0,14.0
4127938,9,24.0,16.0,17.0,10,9.0,10.0,24.0,7,9.0,10.0,14.0,10,9.0,32.0,23.0,10,29.0,9.0,20.0,10,8.0,9.0,17.0,28,9.0,10.0,16.0,9,10.0,10.0,17.0,7,8.0,10.0,10.0,10,9.0,23.0,32.0,9,8.0,9.0,19.0,9,9.0,9.0,18.0,9,25.0,10.0,19.0,9,9.0,15.0,18.0,7,9.0,21.0,13.0,10,10.0,10.0,24.0,9,10.0,9.0,21.0,9,8.0,9.0,18.0
4127944,26,30.0,37.0,15.0,4,16.0,28.0,27.0,17,14.0,18.0,14.0,29,21.0,32.0,40.0,28,29.0,35.0,32.0,15,12.0,16.0,17.0,27,17.0,40.0,41.0,14,24.0,19.0,22.0,16,18.0,18.0,14.0,30,22.0,23.0,35.0,18,26.0,20.0,23.0,10,13.0,14.0,4.0,26,15.0,37.0,11.0,23,22.0,26.0,14.0,17,19.0,21.0,13.0,32,20.0,26.0,35.0,25,21.0,21.0,21.0,13,8.0,4.0,22.0
4128002,44,30.0,36.0,25.0,10,27.0,28.0,20.0,7,19.0,10.0,13.0,34,34.0,19.0,12.0,30,9.0,9.0,10.0,10,8.0,9.0,14.0,17,39.0,39.0,25.0,22,24.0,24.0,23.0,16,19.0,15.0,13.0,10,30.0,37.0,19.0,18,33.0,30.0,9.0,9,9.0,9.0,10.0,26,30.0,37.0,32.0,23,21.0,26.0,27.0,7,19.0,21.0,7.0,46,30.0,37.0,11.0,9,32.0,31.0,16.0,16,8.0,9.0,14.0
4130960,9,24.0,10.0,9.0,10,9.0,10.0,8.0,7,9.0,10.0,10.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,9.0,10.0,11.0,9,10.0,10.0,10.0,7,8.0,10.0,10.0,10,9.0,10.0,10.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,9,25.0,10.0,10.0,9,9.0,10.0,9.0,7,9.0,11.0,13.0,10,10.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
4134539,39,36.0,41.0,45.0,25,29.0,30.0,31.0,19,21.0,23.0,23.0,41,44.0,47.0,50.0,34,34.0,33.0,39.0,25,24.0,25.0,26.0,37,43.0,43.0,40.0,26,29.0,26.0,33.0,18,21.0,22.0,21.0,44,42.0,45.0,47.0,29,36.0,35.0,31.0,21,26.0,23.0,27.0,38,39.0,41.0,43.0,26,1.0,29.0,31.0,19,20.0,22.0,21.0,43,45.0,46.0,51.0,32,34.0,35.0,32.0,23,27.0,26.0,27.0
4142619,12,12.0,47.0,21.0,16,13.0,14.0,11.0,9,11.0,13.0,12.0,14,14.0,50.0,55.0,14,15.0,13.0,13.0,14,10.0,12.0,13.0,13,12.0,13.0,15.0,12,13.0,13.0,14.0,10,11.0,13.0,12.0,14,15.0,16.0,26.0,13,13.0,13.0,12.0,11,11.0,10.0,12.0,19,13.0,14.0,14.0,20,13.0,13.0,21.0,9,12.0,16.0,11.0,15,15.0,15.0,55.0,14,12.0,13.0,13.0,12,12.0,10.0,13.0
4144377,21,23.0,22.0,23.0,16,20.0,20.0,10.0,9,10.0,11.0,17.0,28,27.0,27.0,30.0,24,27.0,23.0,26.0,12,11.0,12.0,13.0,23,25.0,28.0,26.0,13,20.0,29.0,24.0,14,15.0,11.0,11.0,25,29.0,29.0,54.0,21,25.0,24.0,35.0,11,18.0,17.0,21.0,19,24.0,26.0,26.0,20,19.0,18.0,22.0,9,10.0,17.0,11.0,28,29.0,28.0,32.0,21,24.0,25.0,23.0,19,12.0,18.0,21.0
4152020,5,22.0,26.0,29.0,5,4.0,21.0,25.0,4,4.0,20.0,20.0,31,29.0,31.0,35.0,27,28.0,25.0,29.0,21,19.0,20.0,23.0,25,24.0,33.0,32.0,21,4.0,23.0,29.0,4,4.0,5.0,6.0,28,33.0,33.0,36.0,24,28.0,26.0,24.0,19,22.0,18.0,23.0,25,4.0,29.0,30.0,22,4.0,23.0,26.0,4,4.0,5.0,18.0,31,33.0,33.0,36.0,23,26.0,26.0,25.0,20,22.0,20.0,24.0
