,KiddeBlackfoot,LudwigHorowitz,JimenezEinstein,HelmholtzBonaventure,SanfordStromberg,RutherfordBrice,LibrevilleEnglishman,ValeriePulitzer,EurasiaChurchill,PerleHerschel,PuritanArmageddon,MoenHadley,NipponPl,OstranderMonterey,MindanaoDebby,FilipinoTitus,HoustonHoffman,ShreveportBahrein,ClarenceCepheus,HillcrestDuncan,HymanBlum,MalagasyCarrie,PeaseRinehart,ConleySaratoga,DoricPygmalion,DelGullah,IanPoynting,HollisterPearce,HanukkahBaylor,LaredoBryant,BradyAbelian,CoolidgeBirmingham,SommerfeldRothschild,MarianneCarbondale,MarilynRowe,BoltonPaulson,ElbaHerman,KaskaskiaGainesville,CardiffBeardsley,OvidGreece,McMullenMarriott,AdelePickford,StyxBahrein,CarruthersPict,WoodardTenneco,WeierstrassBernice,MoroccoHalsey,HelmutDerek,MacassarNorton,ZanzibarCreole,MoroccoFaustian,AriesAustralia,LodowickLaurie,HuntsvilleSolon,KilimanjaroIsis,GranvilleSaul,FahrenheitDusenbury,LindseySiegmund,IranianParaguay,HathawayFrench,RicoAlsop,CorinthianOhio,KnutsonGuthrie,ConnorsMcCarty,MarriettaCain,BengalOakland,EssexBoeotia,GreenblattClinton,SriPritchard,PearceSchafer,UlanConnecticut,PatrickDante
869360,6,6.0,7.0,6.0,6,7.0,7.0,6.0,5,7.0,7.0,7.0,7,6.0,7.0,7.0,7,6.0,6.0,7.0,7,5.0,6.0,7.0,6,6.0,7.0,7.0,6,7.0,7.0,7.0,5,6.0,7.0,5.0,6,6.0,7.0,7.0,6,5.0,6.0,6.0,6,6.0,6.0,7.0,7,6.0,7.0,6.0,6,6.0,7.0,6.0,5,6.0,8.0,6.0,6,7.0,7.0,7.0,6,7.0,6.0,7.0,6,5.0,6.0,7.0
900032,5,5.0,6.0,5.0,5,5.0,6.0,5.0,4,5.0,5.0,5.0,5,5.0,6.0,6.0,5,4.0,5.0,6.0,5,4.0,5.0,6.0,5,5.0,6.0,6.0,5,5.0,5.0,5.0,4,4.0,6.0,6.0,5,5.0,6.0,6.0,5,4.0,5.0,5.0,5,5.0,5.0,6.0,5,5.0,6.0,5.0,4,5.0,6.0,5.0,4,4.0,6.0,5.0,5,6.0,6.0,6.0,5,5.0,5.0,6.0,5,4.0,5.0,6.0
902038,5,5.0,6.0,5.0,5,5.0,6.0,5.0,4,5.0,5.0,5.0,5,5.0,6.0,6.0,5,4.0,5.0,6.0,5,4.0,5.0,6.0,5,5.0,6.0,6.0,5,5.0,5.0,5.0,4,4.0,6.0,6.0,5,5.0,6.0,6.0,5,4.0,5.0,5.0,5,5.0,5.0,6.0,5,5.0,6.0,5.0,4,5.0,6.0,5.0,4,4.0,6.0,5.0,5,6.0,6.0,6.0,5,5.0,5.0,6.0,5,4.0,5.0,6.0
902877,5,5.0,6.0,5.0,5,5.0,6.0,5.0,4,5.0,5.0,5.0,5,5.0,6.0,6.0,5,4.0,5.0,6.0,5,4.0,5.0,6.0,5,5.0,6.0,6.0,5,5.0,5.0,5.0,4,4.0,6.0,6.0,5,5.0,6.0,6.0,5,4.0,5.0,5.0,5,5.0,5.0,6.0,5,5.0,6.0,5.0,4,5.0,6.0,5.0,4,4.0,6.0,5.0,5,6.0,6.0,6.0,5,5.0,5.0,6.0,5,4.0,5.0,6.0
946481,5,5.0,6.0,5.0,5,5.0,6.0,5.0,4,5.0,5.0,5.0,5,5.0,6.0,6.0,5,4.0,5.0,6.0,5,4.0,5.0,6.0,5,5.0,6.0,6.0,5,5.0,5.0,5.0,4,4.0,6.0,6.0,5,5.0,6.0,6.0,5,4.0,5.0,5.0,5,5.0,5.0,6.0,5,5.0,6.0,5.0,4,5.0,6.0,5.0,4,4.0,6.0,5.0,5,6.0,6.0,6.0,5,5.0,5.0,6.0,5,4.0,5.0,6.0
992646,7,6.0,7.0,6.0,7,6.0,7.0,6.0,3,6.0,6.0,6.0,6,6.0,7.0,7.0,6,5.0,6.0,7.0,6,5.0,6.0,7.0,7,6.0,7.0,7.0,7,6.0,6.0,6.0,3,5.0,7.0,7.0,6,6.0,7.0,7.0,6,5.0,6.0,6.0,6,6.0,6.0,7.0,6,6.0,7.0,6.0,5,6.0,7.0,6.0,3,5.0,7.0,6.0,6,7.0,7.0,7.0,6,6.0,6.0,7.0,6,5.0,6.0,7.0
1011675,0,7.0,8.0,7.0,8,0.0,8.0,7.0,0,0.0,8.0,8.0,8,7.0,9.0,9.0,8,7.0,7.0,8.0,8,6.0,7.0,8.0,0,7.0,8.0,8.0,0,8.0,8.0,8.0,0,0.0,8.0,8.0,8,7.0,8.0,8.0,7,6.0,7.0,7.0,7,7.0,7.0,8.0,0,7.0,8.0,8.0,7,7.0,8.0,7.0,0,7.0,9.0,8.0,8,8.0,8.0,9.0,7,8.0,7.0,8.0,7,6.0,7.0,8.0
1065967,8,7.0,9.0,8.0,9,8.0,9.0,0.0,6,8.0,9.0,9.0,9,8.0,10.0,10.0,9,8.0,8.0,9.0,9,7.0,8.0,9.0,8,8.0,9.0,9.0,8,9.0,9.0,9.0,6,7.0,9.0,9.0,9,8.0,9.0,9.0,8,7.0,8.0,8.0,8,8.0,8.0,9.0,8,8.0,9.0,9.0,8,8.0,9.0,8.0,6,8.0,10.0,9.0,9,9.0,9.0,10.0,8,9.0,8.0,9.0,8,7.0,8.0,9.0
1137946,9,8.0,10.0,9.0,10,9.0,10.0,8.0,7,9.0,10.0,10.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,9.0,10.0,10.0,9,10.0,10.0,10.0,7,8.0,10.0,10.0,10,9.0,10.0,10.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,9,9.0,10.0,10.0,9,9.0,10.0,9.0,7,9.0,11.0,5.0,10,10.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
1141813,9,8.0,10.0,9.0,10,9.0,10.0,8.0,7,9.0,10.0,10.0,10,9.0,11.0,11.0,10,9.0,9.0,10.0,10,8.0,9.0,10.0,9,9.0,10.0,11.0,9,10.0,10.0,10.0,7,8.0,10.0,10.0,10,9.0,10.0,10.0,9,8.0,9.0,9.0,9,9.0,9.0,10.0,9,9.0,10.0,10.0,9,9.0,10.0,9.0,7,9.0,11.0,7.0,10,10.0,10.0,11.0,9,10.0,9.0,10.0,9,8.0,9.0,10.0
