, neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,Class 2,n_asym_edges
17300165,FAN-5,FAN,FAN,FALSE,FALSE,FALSE,TRUE,L,9848760,914,,75
16823703,CN-23,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,16475849,790,,70
8238322,LH-8,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,11210000,264,,66
4391978,MB2IN-151,mPN,mPN-multi,FALSE,FALSE,FALSE,TRUE,R,2612527,17,multi,63
9848760,FAN-5,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,17300165,914,,63
5261424, mPN iACT A2 (mPN iACT A2 left) [*BAmv3_l akira] #5261424,mPN,mPN-multi,FALSE,FALSE,FALSE,TRUE,L,4679139,129,multi,62
16399845, (BLAvm bilateral neuron 5 right) [*BLAvm ant_r akira] #16399845,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17729110,978,,61
10781924, (gate1_right) [*BAla34_r akira] #10781924,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16468935,787,,61
11605861,MB2ON-175 (SKT_right) [*BLAl_r akira] #11605861,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4422289,96,,59
11782821, (Horseshoe Bilateral Left) [*DPMpl12_l akira] #11782821,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,3913613,517,,59
11645541,LH-21 (S: Peptidergic_sibling 35_right) [*DPLp_r akira] #11645541,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11135340,479,,59
17038587,CN-19,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8065771,876,,58
17324637, (BLDc gnarly right) [*BLDc_r akira] #17324637,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17729167,980,,57
17896997, (BLDc LH right) [*BLDc_r akira] #17896997,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16409132,766,,57
13806524,MB2ON-52 (NQ: BAla12_right) [*BAla12_r akira] #13806524,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4433960,98,,56
8572353, (VB: DPMm1 4_right) [*DPMm1_r akira] #8572353,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10872426,444,,56
16485079,CN-35,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17434825,958,,56
7467027, (R1: upstream of telephone; LH LN? right) [*DPLl_r akira] #7467027,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14519756,642,,56
11210000,LH-8,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8238322,264,,56
8069478,CN-33,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11004239,462,,56
3765735, (BLAl horseshoe neuron right) [*BLAl_r akira] #3765735,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11348509,496,,55
2963280,MB2ON-249 (try5thLN_sibling 35 right) [*DPLp_r akira] #2963280,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,6494382,183,,55
4617479,FB-15,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,8864785,301,,55
4473922,CN-54,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,14540633,644,,54
5669107,MB2IN-112,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14073503,619,,54
9761454, (densecoreneuron_right) [*CPf_r akira] #9761454,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,R,3814701,44,,54
10119916,MB2IN-199,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,2369444,9,,54
17784367,FB2IN-21,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,R,14158399,622,,54
10809383,CN-13,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,5321459,440,,53
8712361,CN-44,FAN,FAN,FALSE,FALSE,FALSE,TRUE,R,17150791,894,,53
5118060,MB2IN-196 (UT: BLAv12-1_left) [*BLAv12_post_l akira] #5118060,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,15605987,126,,53
16405545,MB2ON-17 (Tomato Vine_right) [*DPMpm1_r akira] #16405545,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,R,12789813,580,,53
3620633,MB2IN-206 (Pre-goro3 right) [*DPMl_ant_dor_r akira] #3620633,O_dVNC,O_dVNC,FALSE,FALSE,FALSE,TRUE,R,3946166,65,,52
14540633,CN-54,FAN,FAN,FALSE,FALSE,FALSE,TRUE,L,4473922,644,,52
14083681,CN-60,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,9527522,354,,51
7026287,FB-38,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,7980369,197,,51
17379372,MB2ON-235 (CM4 dor med_r; CM4 dor ant 8 right) [*CM4-dm_r akira,Unk,Unk,FALSE,TRUE,TRUE,TRUE,R,10018260,381,,51
10323628,MB2IN-135,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8370111,395,,51
9798791,FFN-33,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,16848497,839,,51
15668309,CN-8,FAN,FAN,FALSE,FALSE,FALSE,TRUE,L,17165711,716,,50
3913620,CN-7,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9409359,337,,50
17132009, (BLVp12 sickle 1 right) [*BLVp1_r akira] #17132009,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9577562,356,,50
11257084,CN-14,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,7612147,489,,50
2966602,CN-1,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,12704069,22,,50
15605987,MB2IN-196 (UT: BLAv12-1_right) [*BLAvm post_r akira] #15605987,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5118060,126,,50
14334367,MB2IN-124,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,18500988,1035,,49
15632120, (MB2IN-162/163 like right) [*DPLl_r akira] #15632120,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,2438653,11,,49
4408397,FAN-8,FAN,FAN,FALSE,FALSE,FALSE,TRUE,L,4199033,92,,49
17434825,CN-35,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,16485079,958,,49
16486385,CN-37,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,11178891,792,,49
15590555,MB2IN-193,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15594113,706,,48
11178891,CN-37,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16486385,792,,48
3913613, (Horseshoe Bilateral right) [*DPMpl12_r akira] #3913613,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11782821,517,,48
15636958,MB2IN-161 (DPLal 4 R) [*DPlal1-3_ant_r akira] #15636958,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17354392,921,,48
10018260,MB2ON-235 (CM4 dor med_l; CM4 dor ant 8 left) [*CM4-dm_l akira] #10018260,Unk,Unk,FALSE,TRUE,TRUE,TRUE,L,17379372,381,,48
6290724,CN-45,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,15741865,724,,48
2854715, (DPLam neuron right) [*DPLam_r akira] #2854715,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14162492,623,,47
17177103,FFN-22,FFN,FFN,FALSE,FALSE,FALSE,TRUE,L,17177115,904,,47
10495502,LH-25,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12840470,583,,47
8065771,CN-19,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17038587,876,,47
13988443,CN-9,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8539175,614,,47
16070049,CN-21,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12476851,562,,46
16464284,MB2ON-3 (BI ; NI_left) [*CPf_l akira] #16464284,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8184598,786,,46
9503414,MB2IN-175 (midline projection neuron in the brain_PI ) [*DAMv12_med_l akira] #9503414,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13950464,349,,46
17276867,CN-62,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,6611100,910,,46
3932136, (AF7: C Shaped right) [*DPLl_r akira] #3932136,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14818307,661,,46
8864785,FB-15,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,4617479,301,,46
15770140,MB2IN-154,Unk,Unk,FALSE,TRUE,TRUE,TRUE,L,12049797,726,,46
17913032, (Death grip right) [*BLAd-vm_r akira] #17913032,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,19051762,1049,,46
15568333,MB2ON-83 (V ; DPMpm2 4_right) [*DPMpm2_r akira] #15568333,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15566333,694,,46
17854345,CN-46,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,13743125,604,,46
16475849,CN-23,FAN,FAN,FALSE,FALSE,FALSE,TRUE,L,16823703,790,,46
17437719,FB-31,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,10209260,385,,45
15577444,MB2IN-83 (neuron 15577445) [*CPe_l akira] #15577444,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,5656152,698,,45
3538129, mPN D (mPN D right) [unknown lineage] #3538129,mPN,mPN-olfac,FALSE,FALSE,FALSE,TRUE,R,6451332,181,olfac,45
8979434, (DPlal simple bilateral 7 right) [*DPLal1-3_r akira] #8979434,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15689046,720,,45
4422289,MB2ON-175 (SKT_left) [*BLAl_l akira] #4422289,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,11605861,96,,45
6143930,MB2IN-182 (CSD right) [*BAlc post_r akira] #6143930,Unk,Unk,FALSE,TRUE,TRUE,TRUE,R,13849557,610,,45
10682411, (BLP12 claw 3 right; BLP12 a 4) [*BLP12_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8765298,291,,45
16472086, (Basal Tel-like 4 left) [*BLAv12_post_l akira] #16472086,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,16433177,788,,45
9051960,MB2ON-53 (AD ; DALcm12 m ant lat 7_left) [*DALcm12-m_l akira] #9051960,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17813006,311,,45
9287906,FB2IN-15,FB2N,FB2N,FALSE,FALSE,FALSE,TRUE,R,5091874,125,,45
11356523,MB2IN-133,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12364717,547,,44
13038489,MB2IN-176 (downstream of A2 mPN iACT right) [*BLVa12_r akira] #13038489,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17423412,956,,44
17176819,FFN-6,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,17176808,900,,44
11013351,CN-12,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,11909406,466,,44
13199414,FFN-20,FFN,FFN,FALSE,FALSE,FALSE,TRUE,L,11234536,594,,44
10276161,MB2IN-157 (DALd_r 10 10276162 - JL) [*DALd_r akira] #10276161,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,1646076,2,,44
3158123, (presynaptic-D-2-MAP-L left) [*DPLc_ant_lat_l akira] #3158123,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17415439,33,,44
16181377,CN-30,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,11703922,506,,44
6300434,FFN-7,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,15510288,681,,44
16691937,CN-59,FBN,FBN,FALSE,FALSE,FALSE,TRUE,R,9141404,320,,44
3027876,MB2ON-144 (Tomato Vine 2_right) [*DPMpm1_r akira] #3027876,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9424902,340,,44
14760757, (Bike Bars right; DALl1 7) [*DALl1_r akira] #14760757,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10797407,439,,44
5946241, (BLAv12 lat bilateral neuron 1 right) [*BLAv12_lat_r akira] #5946241,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,10282065,393,,44
17867309,MB2IN-117,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8993049,307,,43
7421507,FFN-13,FFN,FFN,FALSE,FALSE,FALSE,TRUE,R,11051740,473,,43
2932028,LH-3 (AF:uptoLN2 sibling 35_right) [*DPLp_r akira] #2932028,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14333371,630,,43
2439067,LH-24 (T3: PVLr_left) [*BLAvm post_l akira] #2439067,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,3814853,12,,43
11271082, (BLAv12 bilateral 2 right) [*BLAv12_lat_r akira] #11271082,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,5712849,153,,43
9965610,MB2IN-132,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8132513,374,,43
9234420, (BLAv12 ring-like right) [*BLAv12_post_r akira] #9234420,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,R,17728922,975,,43
7952981, (5thLN;left) [*BLAd-OL_l akira] #7952981,vPN,vPN,FALSE,FALSE,FALSE,TRUE,L,8717219,243,,43
9423829,FB-23,FBN,FBN,FALSE,FALSE,FALSE,TRUE,L,9057043,339,,43
