, neuron_name,Class 1,Merge Class,is_pdiff,is_usplit,is_LNpre,is_brain,Hemisphere,Pair,Pair ID,Class 2,n_asym_edges,n_asym_out_edges,n_asym_in_edges
8842220, (BLAd lat 1 neuron 8842221_sibling right) [*BLAd-vm_r akira] #8842220,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17962513,1013,,30,10,20
16714214,MB2ON-210 (pacman-2 right) [*DAMd23_r akira] #16714214,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,15431408,677,,30,7,23
4665186,CN-34,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17671219,110,,30,19,11
11003551,MB2IN-139,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,17913199,459,,29,4,25
17324711,MB2IN-180 (DNs-1_right) [*DPMm1_r akira] #17324711,O_dSEZ,O_dSEZ,FALSE,FALSE,FALSE,TRUE,R,17087885,882,,29,1,28
9503414,MB2IN-175 (midline projection neuron in the brain_PI ) [*DAMv12_med_l akira] #9503414,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,13950464,349,,29,13,16
17942676, (LH_sibling 67 right) [*BLDc_r akira] #17942676,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14319498,629,,29,12,17
5744058,MB2ON-158 (neuron 5744058 left) [*BLVp1_l akira] #5744058,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,4128002,154,,29,11,18
15632120, (MB2IN-162/163 like right) [*DPLl_r akira] #15632120,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,2438653,11,,29,12,17
4391978,MB2IN-151,mPN,mPN-multi,FALSE,FALSE,FALSE,TRUE,R,2612527,17,multi,29,29,0
19048289, (BAla34 brush right) [*BAla34_r akira] #19048289,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,14586769,648,,28,10,18
13806524,MB2ON-52 (NQ: BAla12_right) [*BAla12_r akira] #13806524,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4433960,98,,28,25,3
10784285, (DALcl12 vv 10) [*DALcl12-v_r akira] #10784285,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16886842,850,,28,7,21
10781924, (gate1_right) [*BAla34_r akira] #10781924,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16468935,787,,28,22,6
17012001, (BLAvm bilateral neuron 1 right) [*BLAvm post_r akira] #17012001,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16630479,819,,28,8,20
15553218, (DALcm12 horseshoe right; DALcm12 v e 23) [*DALcm12-m_r akira] #15553218,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,18597845,1043,,28,6,22
17867309,MB2IN-117,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8993049,307,,28,11,17
17340931,MB2ON-94 (CG_right ) [*DPLc5_r akira,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,16444552,781,,28,5,23
17324637, (BLDc gnarly right) [*BLDc_r akira] #17324637,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17729167,980,,27,18,9
11210000,LH-8,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,8238322,264,,27,25,2
17038587,CN-19,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,8065771,876,,27,20,7
16485079,CN-35,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,17434825,958,,27,25,2
17980698, (ASB Pointer right) [*DPLc_post_int_r akira] #17980698,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9800031,367,,27,6,21
17132009, (BLVp12 sickle 1 right) [*BLVp1_r akira] #17132009,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,9577562,356,,27,26,1
9480916, (ni contralateral 3 left) [ni-neurons MB_l akira] #9480916,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,9077224,346,,27,16,11
10986253, (UNK ipsilateral 2 right; Above-BPL to telegoro ipsilateral right) [unknown lineage] #10986253,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,12654063,575,,27,8,19
17671219,CN-34,Unk,Unk,FALSE,FALSE,FALSE,TRUE,R,4665186,110,,27,12,15
9488991,MB2IN-173 (LQ: weak on PVL09 & MBE24_left) [unknown lineage] #9488991,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,16131474,348,,27,20,7
10922928, (telephone-related left) [*BAla34_l akira] #10922928,Unk,Unk,FALSE,FALSE,FALSE,TRUE,L,3149791,454,,27,24,3
4327684,FFN-21,mPN;FFN,mPN;FFN-multi,FALSE,FALSE,FALSE,TRUE,R,12225666,531,multi,26,24,2
