inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,3.8546583850931677,4.161903957852972
1,37365,sens-photoRh6,#3b6d01,,
2,40045,sens-ORN,#00753f,,
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,3.2427184466019416,3.0831050565937934
5,668627,motor-mVAN,#000000,,3.166666666666667
6,677717,KC-4claw,#da015d,4.421633554083885,4.161903957852972
7,766246,sens-photoRh5,#54823b,,
8,853526,motor-mAN,#000000,3.0,3.0831050565937934
9,855719,motor-mAN,#000000,3.2758620689655173,3.0831050565937934
10,858479,O_dSEZ,#b1826d,,3.5791038545867826
11,865151,O_dSEZ,#b1826d,3.8227848101265822,3.5791038545867826
12,865801,motor-mAN,#000000,2.6542056074766354,3.0831050565937934
13,867393,unk,#acaac8,4.563432835820896,4.124131549148965
14,869360,O_dSEZ,#b1826d,2.5901639344262297,3.5791038545867826
15,873148,motor-mAN,#000000,3.1666666666666665,3.0831050565937934
16,873782,motor-mAN,#000000,3.12,3.0831050565937934
17,875613,motor-mAN,#000000,,3.0831050565937934
18,882339,motor-mAN,#000000,,3.0831050565937934
19,900032,sens-photoRh6,#3b6d01,,
20,902038,sens-photoRh6,#3b6d01,,
21,902877,sens-photoRh5,#54823b,,
22,910064,motor-mAN,#000000,,3.0831050565937934
23,937332,motor-mAN,#000000,3.697674418604651,3.0831050565937934
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,,
26,992646,O_dSEZ,#b1826d,2.675675675675676,3.5791038545867826
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,4.339089481946624,4.475794054330217
29,1137946,unk,#acaac8,3.808988764044944,4.124131549148965
30,1141813,unk,#acaac8,4.730769230769231,4.124131549148965
31,1218587,motor-mAN,#000000,,3.0831050565937934
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
