inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,4.425373134328358,4.738577809835954
1,37365,sens-photoRh6,#3b6d01,,
2,40045,sens-ORN,#00753f,,
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,,5.0
5,668627,motor-mVAN,#000000,,
6,677717,KC-4claw,#da015d,5.0,4.738577809835954
7,766246,sens-photoRh5,#54823b,,
8,853526,motor-mAN,#000000,,5.0
9,855719,motor-mAN,#000000,,5.0
10,858479,O_dSEZ,#b1826d,,4.885396890549199
11,865151,O_dSEZ,#b1826d,,4.885396890549199
12,865801,motor-mAN,#000000,,5.0
13,867393,unk,#acaac8,5.0,4.815938652569562
14,869360,O_dSEZ,#b1826d,,4.885396890549199
15,873148,motor-mAN,#000000,,5.0
16,873782,motor-mAN,#000000,,5.0
17,875613,motor-mAN,#000000,,5.0
18,882339,motor-mAN,#000000,,5.0
19,900032,sens-photoRh6,#3b6d01,,
20,902038,sens-photoRh6,#3b6d01,,
21,902877,sens-photoRh5,#54823b,,
22,910064,motor-mAN,#000000,,5.0
23,937332,motor-mAN,#000000,,5.0
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,,
26,992646,O_dSEZ,#b1826d,,4.885396890549199
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,4.896907216494846,4.855152667320567
29,1137946,unk,#acaac8,4.6,4.815938652569562
30,1141813,unk,#acaac8,,4.815938652569562
31,1218587,motor-mAN,#000000,,5.0
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
50,1591270,unk,#acaac8,,4.815938652569562
51,1591351,FFN,#ba6efd,4.416216216216216,4.759212553102881
52,1622901,O_dVNC,#ff9070,5.0,4.855152667320567
53,1646076,unk,#acaac8,5.0,4.815938652569562
54,1678567,O_dVNC,#ff9070,4.960093896713615,4.855152667320567
55,1679034,unk,#acaac8,4.8,4.815938652569562
56,1706716,sens-AN,#018700,,
57,1715990,sens-AN,#018700,,
58,1805406,unk,#acaac8,4.636363636363637,4.815938652569562
59,1805418,unk,#acaac8,4.875,4.815938652569562
60,1805669,unk,#acaac8,4.888888888888889,4.815938652569562
61,1856512,sens-photoRh6,#3b6d01,,
62,1868538,unk,#acaac8,4.856,4.815938652569562
63,1924051,O_dSEZ,#b1826d,,4.885396890549199
64,1961182,unk,#acaac8,4.8474576271186445,4.815938652569562
65,2142817,unk,#acaac8,4.577878103837472,4.815938652569562
66,2200028,sens-photoRh6,#3b6d01,,
67,2204467,LON,#97bca8,,
68,2206279,sens-photoRh6,#3b6d01,,
69,2209091,sens-photoRh5,#54823b,,
70,2215247,sens-photoRh6,#3b6d01,,
71,2215447,sens-photoRh6,#3b6d01,,
72,2215622,sens-photoRh6,#3b6d01,,
73,2216131,sens-photoRh6,#3b6d01,,
74,2216187,sens-photoRh5,#54823b,,
75,2216445,sens-photoRh6,#3b6d01,,
76,2260755,O_RG,#916e56,5.0,4.867247793423285
77,2283495,O_RG-IPC,#916e56,4.890660592255125,4.927503484162486
78,2284021,sens-AN,#018700,,
79,2340336,sens-AN,#018700,,
80,2355126,O_RG-IPC,#916e56,4.911949685534591,4.927503484162486
81,2357110,O_RG-IPC,#916e56,4.911270983213429,4.927503484162486
82,2369444,LHN;CN,#959167,4.797552836484983,4.747270166468181
83,2379529,unk,#acaac8,3.7900552486187844,4.815938652569562
84,2379544,unk,#acaac8,4.00763358778626,4.815938652569562
85,2391092,motor-mPaN,#000000,,
86,2438653,unk,#acaac8,4.793103448275862,4.815938652569562
87,2439067,LHN,#d4e29e,4.197368421052632,4.043118829930298
88,2439134,LHN,#d4e29e,3.2600216684723726,4.043118829930298
89,2439150,unk,#acaac8,4.664,4.815938652569562
90,2456826,sens-AN,#018700,,
91,2495308,sens-PaN,#67aa00,,
92,2504517,unk,#acaac8,5.0,4.815938652569562
93,2505266,unk,#acaac8,5.0,4.815938652569562
94,2506050,MBIN-DAN,#db7e01,4.964777947932618,4.8824411014684275
95,2512602,LON,#97bca8,,
96,2532841,sens-photoRh6,#3b6d01,,
97,2544902,sens-photoRh6,#3b6d01,,
98,2552701,sens-photoRh5,#54823b,,
99,2557644,unk,#acaac8,5.0,4.815938652569562
100,2568465,mPN-multi,#05acc6,4.567901234567901,4.403877221553456
101,2568522,unk,#acaac8,5.0,4.815938652569562
102,2571761,sens-ORN,#00753f,,
103,2582391,sens-ORN,#00753f,,
104,2584838,sens-ORN,#00753f,,
105,2597151,unk,#acaac8,4.840579710144928,4.815938652569562
106,2608843,sens-ORN,#00753f,,
107,2610744,sens-AN,#018700,,
108,2611805,sens-ORN,#00753f,,
109,2612527,mPN-multi,#05acc6,,4.403877221553456
110,2628785,unk,#acaac8,4.930091185410334,4.815938652569562
111,2648254,O_dSEZ,#b1826d,4.75,4.885396890549199
112,2650887,CN2,#acaa59,4.977699530516432,4.938320257949494
113,2652641,unk,#acaac8,,4.815938652569562
114,2655798,unk,#acaac8,4.99236641221374,4.815938652569562
115,2659386,O_RG,#916e56,4.923566878980892,4.867247793423285
116,2659504,unk,#acaac8,4.944444444444445,4.815938652569562
117,2663649,O_dUnk,#a55949,4.9855072463768115,4.932686056591987
118,2667061,FFN,#ba6efd,4.802631578947368,4.759212553102881
119,2667980,unk,#acaac8,4.985663082437276,4.815938652569562
120,2669331,LHN2,#ebffd4,4.775862068965517,4.498066142753086
121,2669844,O_dVNC,#ff9070,4.956043956043956,4.855152667320567
122,2670619,O_dVNC,#ff9070,5.0,4.855152667320567
123,2772093,unk,#acaac8,5.0,4.815938652569562
124,2775707,LON,#97bca8,,
125,2775943,LON,#97bca8,,
126,2776773,LHN,#d4e29e,3.307788944723618,4.043118829930298
127,2797480,LHN2,#ebffd4,4.790055248618785,4.498066142753086
128,2846555,unk,#acaac8,5.0,4.815938652569562
129,2852273,O_RG-IPC,#916e56,4.92741935483871,4.927503484162486
130,2854715,LHN2,#ebffd4,4.568452380952381,4.498066142753086
131,2878185,unk,#acaac8,,4.815938652569562
132,2881070,unk,#acaac8,4.428571428571429,4.815938652569562
133,2885630,unk,#acaac8,,4.815938652569562
134,2910892,unk,#acaac8,,4.815938652569562
135,2911847,unk,#acaac8,5.0,4.815938652569562
136,2914206,LHN,#d4e29e,3.193548387096774,4.043118829930298
137,2920061,unk,#acaac8,4.269938650306749,4.815938652569562
138,2920554,unk,#acaac8,4.215174129353234,4.815938652569562
139,2921933,LHN,#d4e29e,3.378226711560045,4.043118829930298
140,2932028,LHN,#d4e29e,4.1875,4.043118829930298
141,2935173,LHN,#d4e29e,4.0556900726392255,4.043118829930298
142,2935198,LHN2,#ebffd4,3.8449612403100777,4.498066142753086
