inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,4.194444444444445,4.240474777282582
1,37365,sens-photoRh6,#3b6d01,,
2,40045,sens-ORN,#00753f,1.0,1.0
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,,9.0
5,668627,motor-mVAN,#000000,,
6,677717,KC-4claw,#da015d,5.12,4.240474777282582
7,766246,sens-photoRh5,#54823b,,
8,853526,motor-mAN,#000000,,9.0
9,855719,motor-mAN,#000000,,9.0
10,858479,O_dSEZ,#b1826d,,5.949516009477676
11,865151,O_dSEZ,#b1826d,9.0,5.949516009477676
12,865801,motor-mAN,#000000,,9.0
13,867393,unk,#acaac8,6.142857142857143,6.2670491338227965
14,869360,O_dSEZ,#b1826d,4.0,5.949516009477676
15,873148,motor-mAN,#000000,,9.0
16,873782,motor-mAN,#000000,,9.0
17,875613,motor-mAN,#000000,,9.0
18,882339,motor-mAN,#000000,,9.0
19,900032,sens-photoRh6,#3b6d01,,
20,902038,sens-photoRh6,#3b6d01,,
21,902877,sens-photoRh5,#54823b,,
22,910064,motor-mAN,#000000,,9.0
23,937332,motor-mAN,#000000,9.0,9.0
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,,
26,992646,O_dSEZ,#b1826d,,5.949516009477676
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,6.5625,7.092467093295708
29,1137946,unk,#acaac8,,6.2670491338227965
30,1141813,unk,#acaac8,,6.2670491338227965
31,1218587,motor-mAN,#000000,,9.0
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
50,1591270,unk,#acaac8,,6.2670491338227965
51,1591351,FFN,#ba6efd,5.6923076923076925,6.366531740651948
52,1622901,O_dVNC,#ff9070,7.935483870967742,7.092467093295708
53,1646076,unk,#acaac8,7.903225806451613,6.2670491338227965
54,1678567,O_dVNC,#ff9070,7.539267015706806,7.092467093295708
55,1679034,unk,#acaac8,8.428571428571429,6.2670491338227965
56,1706716,sens-AN,#018700,,
57,1715990,sens-AN,#018700,,
58,1805406,unk,#acaac8,,6.2670491338227965
59,1805418,unk,#acaac8,7.0,6.2670491338227965
60,1805669,unk,#acaac8,6.521739130434782,6.2670491338227965
61,1856512,sens-photoRh6,#3b6d01,,
62,1868538,unk,#acaac8,6.451612903225806,6.2670491338227965
63,1924051,O_dSEZ,#b1826d,,5.949516009477676
64,1961182,unk,#acaac8,4.714285714285714,6.2670491338227965
65,2142817,unk,#acaac8,6.277777777777778,6.2670491338227965
66,2200028,sens-photoRh6,#3b6d01,,
67,2204467,LON,#97bca8,,
68,2206279,sens-photoRh6,#3b6d01,,
69,2209091,sens-photoRh5,#54823b,,
70,2215247,sens-photoRh6,#3b6d01,,
71,2215447,sens-photoRh6,#3b6d01,,
72,2215622,sens-photoRh6,#3b6d01,,
73,2216131,sens-photoRh6,#3b6d01,,
74,2216187,sens-photoRh5,#54823b,,
75,2216445,sens-photoRh6,#3b6d01,,
76,2260755,O_RG,#916e56,,6.500968525371365
77,2283495,O_RG-IPC,#916e56,7.0,6.820473128128559
78,2284021,sens-AN,#018700,,
79,2340336,sens-AN,#018700,,
80,2355126,O_RG-IPC,#916e56,7.133333333333334,6.820473128128559
81,2357110,O_RG-IPC,#916e56,6.655737704918033,6.820473128128559
82,2369444,LHN;CN,#959167,6.532994923857868,5.067288728730555
83,2379529,unk,#acaac8,4.357142857142857,6.2670491338227965
84,2379544,unk,#acaac8,4.95,6.2670491338227965
85,2391092,motor-mPaN,#000000,,
86,2438653,unk,#acaac8,7.2,6.2670491338227965
87,2439067,LHN,#d4e29e,4.53125,4.443718133803009
88,2439134,LHN,#d4e29e,4.260869565217392,4.443718133803009
89,2439150,unk,#acaac8,5.285714285714286,6.2670491338227965
90,2456826,sens-AN,#018700,,
91,2495308,sens-PaN,#67aa00,,
92,2504517,unk,#acaac8,6.9,6.2670491338227965
93,2505266,unk,#acaac8,7.880952380952381,6.2670491338227965
94,2506050,MBIN-DAN,#db7e01,7.255707762557078,7.089648562046981
95,2512602,LON,#97bca8,,
96,2532841,sens-photoRh6,#3b6d01,,
97,2544902,sens-photoRh6,#3b6d01,,
98,2552701,sens-photoRh5,#54823b,,
99,2557644,unk,#acaac8,3.0,6.2670491338227965
100,2568465,mPN-multi,#05acc6,3.2,2.7779572330133657
101,2568522,unk,#acaac8,2.6666666666666665,6.2670491338227965
102,2571761,sens-ORN,#00753f,1.0,1.0
103,2582391,sens-ORN,#00753f,1.0,1.0
104,2584838,sens-ORN,#00753f,1.0,1.0
105,2597151,unk,#acaac8,7.0,6.2670491338227965
106,2608843,sens-ORN,#00753f,1.0,1.0
107,2610744,sens-AN,#018700,,
108,2611805,sens-ORN,#00753f,1.0,1.0
109,2612527,mPN-multi,#05acc6,2.509433962264151,2.7779572330133657
110,2628785,unk,#acaac8,4.512820512820513,6.2670491338227965
111,2648254,O_dSEZ,#b1826d,7.8076923076923075,5.949516009477676
112,2650887,CN2,#acaa59,7.515789473684211,7.231200996015342
113,2652641,unk,#acaac8,,6.2670491338227965
114,2655798,unk,#acaac8,5.8,6.2670491338227965
115,2659386,O_RG,#916e56,7.291666666666667,6.500968525371365
116,2659504,unk,#acaac8,7.5,6.2670491338227965
117,2663649,O_dUnk,#a55949,5.0,6.8775641025641026
118,2667061,FFN,#ba6efd,5.4,6.366531740651948
119,2667980,unk,#acaac8,7.6521739130434785,6.2670491338227965
120,2669331,LHN2,#ebffd4,6.852941176470588,5.121651986330978
121,2669844,O_dVNC,#ff9070,7.0476190476190474,7.092467093295708
122,2670619,O_dVNC,#ff9070,,7.092467093295708
123,2772093,unk,#acaac8,5.0,6.2670491338227965
124,2775707,LON,#97bca8,,
125,2775943,LON,#97bca8,,
126,2776773,LHN,#d4e29e,5.125,4.443718133803009
127,2797480,LHN2,#ebffd4,5.192982456140351,5.121651986330978
128,2846555,unk,#acaac8,,6.2670491338227965
129,2852273,O_RG-IPC,#916e56,6.621621621621622,6.820473128128559
130,2854715,LHN2,#ebffd4,4.901234567901234,5.121651986330978
131,2878185,unk,#acaac8,6.0,6.2670491338227965
132,2881070,unk,#acaac8,5.0,6.2670491338227965
133,2885630,unk,#acaac8,,6.2670491338227965
134,2910892,unk,#acaac8,,6.2670491338227965
135,2911847,unk,#acaac8,,6.2670491338227965
136,2914206,LHN,#d4e29e,5.2,4.443718133803009
137,2920061,unk,#acaac8,4.887096774193548,6.2670491338227965
138,2920554,unk,#acaac8,5.178217821782178,6.2670491338227965
139,2921933,LHN,#d4e29e,5.225806451612903,4.443718133803009
140,2932028,LHN,#d4e29e,3.8360655737704916,4.443718133803009
141,2935173,LHN,#d4e29e,4.226666666666667,4.443718133803009
142,2935198,LHN2,#ebffd4,4.918918918918919,5.121651986330978
143,2963280,LHN,#d4e29e,4.87378640776699,4.443718133803009
144,2964760,unk,#acaac8,5.6,6.2670491338227965
145,2966602,LHN;CN,#959167,6.258536585365854,5.067288728730555
146,2979486,LHN,#d4e29e,5.444444444444445,4.443718133803009
147,2979675,unk,#acaac8,5.133333333333334,6.2670491338227965
148,2988292,LHN2,#ebffd4,4.746987951807229,5.121651986330978
149,3002410,tPN,#59b5df,5.0,5.525
150,3009700,O_dVNC,#ff9070,4.0,7.092467093295708
151,3010486,LHN2,#ebffd4,5.228571428571429,5.121651986330978
152,3021609,unk,#acaac8,6.592592592592593,6.2670491338227965
153,3027876,unk,#acaac8,6.949790794979079,6.2670491338227965
154,3032520,sens-MN,#366962,,
155,3036249,sens-MN,#366962,,
156,3043970,unk,#acaac8,5.4,6.2670491338227965
157,3044500,O_dSEZ,#b1826d,6.565217391304348,5.949516009477676
158,3046503,O_RG-IPC,#916e56,6.954545454545454,6.820473128128559
159,3048606,O_dVNC,#ff9070,4.125,7.092467093295708
160,3050645,sens-MN,#366962,,
161,3054101,sens-MN,#366962,,
162,3058132,unk,#acaac8,7.0,6.2670491338227965
163,3060480,unk,#acaac8,5.384615384615385,6.2670491338227965
164,3061422,unk,#acaac8,7.1,6.2670491338227965
165,3071301,sens-MN,#366962,,
166,3122533,unk,#acaac8,,6.2670491338227965
167,3123905,sens-MN,#366962,,
168,3149791,unk,#acaac8,7.846153846153846,6.2670491338227965
169,3157405,CN,#8c7700,5.206185567010309,6.179111443390035
170,3158085,unk,#acaac8,6.373737373737374,6.2670491338227965
171,3158123,LHN,#d4e29e,5.230769230769231,4.443718133803009
172,3158543,sens-ORN,#00753f,1.0,1.0
173,3166745,unk,#acaac8,,6.2670491338227965
174,3166836,unk,#acaac8,5.0,6.2670491338227965
175,3167039,unk,#acaac8,5.454545454545454,6.2670491338227965
176,3180681,unk,#acaac8,,6.2670491338227965
177,3182103,unk,#acaac8,,6.2670491338227965
178,3192952,sens-AN,#018700,,
179,3199456,sens-MN,#366962,,
180,3232277,CN,#8c7700,4.666666666666667,6.179111443390035
181,3232808,unk,#acaac8,4.48,6.2670491338227965
182,3234817,APL,#ff6200,5.695852534562212,5.65426429545012
183,3235409,unk,#acaac8,5.954545454545454,6.2670491338227965
184,3251140,unk,#acaac8,5.0,6.2670491338227965
185,3272218,unk,#acaac8,5.523809523809524,6.2670491338227965
186,3276003,unk,#acaac8,6.531468531468532,6.2670491338227965
187,3281684,O_RG-IPC,#916e56,7.142857142857143,6.820473128128559
188,3299214,MBON,#f9eb4d,6.140350877192983,6.064926855065953
189,3340561,motor-mAN,#000000,,9.0
190,3347708,KC-1claw,#ff3464,5.0,4.03443212512724
191,3347834,KC-3claw,#ac1a13,4.866666666666666,4.486771474892596
192,3410499,sens-ORN,#00753f,1.0,1.0
193,3410506,sens-ORN,#00753f,1.0,1.0
194,3414508,unk,#acaac8,6.941860465116279,6.2670491338227965
195,3420915,FFN,#ba6efd,6.266666666666667,6.366531740651948
