,0,1
0,1961182,9177218
1,2438653,15632120
2,3061422,3272218
3,3814651,15732471
4,3926438,3762787
5,3944330,15732050
6,3945136,13948718
7,4379603,8307514
8,4570270,2921933
9,4785242,2935198
10,4901087,18133444
11,5118060,15605987
12,5577650,13358515
13,5671303,8696919
14,5688091,5038920
15,5704424,3166745
16,5744058,4128002
17,5763407,10945111
18,5902352,5936935
19,5937084,8850802
20,6446394,5462159
21,6623049,17654634
22,6723364,10198121
23,7227010,16115575
24,7582412,2776773
25,8262302,5051342
26,8801736,6049565
27,8814524,17340973
28,9348984,2772093
29,9787592,13191017
30,9971209,8812078
31,10229852,16347283
32,10234576,19090042
33,10237401,5858788
34,10238739,5893912
35,10248031,17380319
36,10378182,16713231
37,10449035,17658948
38,10523825,17455871
39,10527147,7573476
40,10797407,14760757
41,10842099,10882750
42,10875625,4067286
43,10921106,16388736
44,10922020,17654638
45,10958210,17671375
46,10982951,8697453
47,11007420,16884962
48,11009492,17304269
49,11073313,16347476
50,11135340,11645541
51,11144258,9800178
52,11193510,3930411
53,11217208,5993001
54,11687072,18425189
55,11725127,4230061
56,12000033,9750356
57,12281339,9585013
58,12300089,10827212
59,12420377,13242252
60,13422280,7589765
61,13736919,17877682
62,14338439,8805777
63,14493841,11361875
64,14579509,13835439
65,14797760,15679639
66,14818307,3932136
67,14898816,4230739
68,15028907,11362589
69,15063529,3166836
70,15398730,6703240
71,15588711,10945795
72,15590793,17378548
73,15605301,15607335
74,15810983,6699205
75,15985265,17827115
76,16014607,3122533
77,16059078,4130960
78,16340977,18232369
79,16348875,15601640
80,16356967,10319019
81,16468935,10781924
82,16474159,9291437
83,16485518,2885630
84,16541149,10079731
85,16545113,15732503
86,16545264,5164129
87,16848587,14753815
88,16851718,9097065
89,17053270,5319633
90,17062823,16393165
91,17170215,10660512
92,17354392,15636958
93,17354414,3021609
94,17359501,13763548
95,17360010,15638906
96,17448356,13675374
97,17557290,10946002
98,17728571,10221622
99,17729161,8313802
100,17732076,17378475
101,17732085,8698941
102,17732311,5995125
103,17732334,16347786
104,17732346,17378648
105,18023286,9753494
106,18087179,17587452
107,18412747,17336347
108,18538744,11362334
109,18566501,15588389
110,18568094,17941609
111,19017386,8127390
112,19785305,9094797
113,19880680,9806510
114,19881737,2505266
115,19884188,10945581
116,20139548,17380345
117,20343986,2881070
118,20556072,17025508
119,14329745,19786464
120,8391330,5993765
121,17777031,15672263
122,17729335,8592501
123,16561660,13652117
124,17732737,2663649
125,11197975,7692008
126,3882998,11261332
127,19102929,15668869
128,17067625,16340011
129,17354403,12030078
130,12273754,17654624
