,neuron_name,Class 1,Merge Class,is_LNpre,is_pdiff,is_usplit,is_brain,Hemisphere,Pair,Pair ID,lineage,dendrite_input,axon_input,Class 2,idx,dead_counts
8247641, (ChalOLP;right) [*OLP_r] #8247641,LON,LON,True,False,True,True,R,17414715,952,OLP,326,0,,861,5421.0
17414715, (ChalOLP;left) [*OLP_l] #17414715,LON,LON,True,False,True,True,L,8247641,952,OLP,261,0,,2484,4796.0
5030808, (keystone left) [] #5030808,keystone,keystone,False,False,False,False,L,10831005,1164,unk,1130,0,,467,3181.0
11525714,OAN-g1 (MBE22 left) [] #11525714,MBIN,MBIN-OAN,False,False,True,False,L,12805363,1182,unk,190,0,OAN,1399,2779.0
4116174,FFN-39,FFN,FFN,True,False,True,True,R,10865025,442,BAmv3,559,0,,324,2660.0
10865025,FFN-39,FFN,FFN,True,False,True,True,L,4116174,442,BAmv3,488,0,,1298,2313.0
12805363,OAN-g1 (MBE22 right) [] #12805363,MBIN,MBIN-OAN,False,False,True,False,R,11525714,1182,unk,157,0,OAN,1533,2117.0
10831005, (keystone right) [] #10831005,keystone,keystone,False,False,False,False,R,5030808,1164,unk,1077,0,,1294,2022.0
7939979, (broad T1 left) [*BAlc ant_l akira] #7939979,bLN,bLN-Trio,True,False,True,True,L,8198317,239,BAlc ant,1124,0,Trio,783,1997.0
8198238,MB2IN-184 (broad T2 right) [*BAlc ant_r akira] #8198238,bLN,bLN-Trio,True,False,True,True,R,8311264,270,BAlc ant,1201,0,Trio,839,1981.0
7983899,OAN-e1 (MBE9a left) [*CPc_l akira] #7983899,MBIN,MBIN-OAN,False,False,True,True,L,7616956,244,CPc,641,0,OAN,796,1872.0
18028397,MBON-k1 (MBE5b right) [*DAMd1_r akira] #18028397,MBON,MBON,False,False,True,True,R,16846805,836,DAMd1,649,0,,2646,1813.0
15618614,MB2ON-247 (Tidal wave right) [unknown lineage] #15618614,CN2,CN2,False,False,False,True,R,14342744,632,unk,238,6,,1891,1795.0
6557581,MB2IN-185 (broad T3 right) [*BAlc ant_r akira] #6557581,bLN,bLN-Trio,True,False,True,True,R,7939890,238,BAlc ant,1127,0,Trio,649,1747.0
7802210,MBON-i1 (MBE5a left) [*DAMd1_l akira] #7802210,MBON,MBON,False,False,True,True,L,16797672,225,DAMd1,693,0,,756,1723.0
8311264,MB2IN-184 (broad T2 left) [*BAlc ant_l akira] #8311264,bLN,bLN-Trio,True,False,True,True,L,8198238,270,BAlc ant,947,0,Trio,887,1688.0
