,alpha,beta,c,norm,corr,score,norm_score,match_fro
0,0.00048,1.0,0,False,0.5626479629303887,4457.222623913992,22.776325286001626,195.69542355690757
1,0.00048,1.0,0,fro,0.5961857761234604,4976.40594180066,22.800698753895727,218.25672956406177
2,0.00048,1.0,0,sum,0.6507205178133653,581.8716864977581,22.72825582389134,25.601246791938603
3,0.00048,0.5,0,False,0.664582013562833,2226.9179993156367,22.75901969335585,97.84771177845379
4,0.00048,0.5,0,fro,0.6563311466658138,4964.481109349803,22.74606203101128,218.25672956406177
5,0.00048,0.5,0,sum,0.6397723372822917,582.5421960287847,22.754446326895973,25.601246791938603
6,0.00024,1.0,0,False,0.5717859616191262,4497.0888465692115,22.474443357875995,200.09789675138902
7,0.00024,1.0,0,fro,0.6525356199651395,4911.405938665708,22.502884325608534,218.25672956406186
8,0.00024,1.0,0,sum,0.6419234965686992,575.9382484010888,22.505344158820737,25.591177114941196
9,0.00024,0.5,0,False,0.6215268458233338,2247.9908137247376,22.468909970780416,100.04894837569451
10,0.00024,0.5,0,fro,0.653170831913619,4908.827112592703,22.491068762907872,218.25672956406186
11,0.00024,0.5,0,sum,0.652735384528333,575.0467714747355,22.470508835601752,25.591177114941196
