,alpha,beta,c,norm,corr
0,0.00478,1.0,0,False,0.3555162204151019
1,0.00478,1.0,0,fro,0.3120447944971259
2,0.00478,1.0,0,sum,0.3411656459074711
3,0.00478,0.9,0,False,0.40420809464707236
4,0.00478,0.9,0,fro,0.3292220867770374
5,0.00478,0.9,0,sum,0.2504622015678566
6,0.00239,1.0,0,False,0.4040250591359691
7,0.00239,1.0,0,fro,0.464584719733024
8,0.00239,1.0,0,sum,0.48698246032692993
9,0.00239,0.9,0,False,0.4198158082161787
10,0.00239,0.9,0,fro,0.3585618919573852
11,0.00239,0.9,0,sum,0.4900566696639552
