726,230,640,685,2367
726,948,983,2720,640,1402,1548,1799,2675
726,885,791,2678,2290,1085,1506
726,2491,2494,2152,1044,661,677,2354,1674,1549,40
726,957,1215,1506
726,229,2729,1488,640,2591,1774,1614
726,2720,2729,2171,823,963
726,283,2285,1844,274
726,999,1073,1463,1402,2280,2188,535,2273
726,874,2491,968,2465
726,1659,1020,679,2591,2466
726,885,1773,641
726,1892,292,1516,2105,1278
726,1373,230,1615
726,1534,1144,751,583,2367
726,885,1445,673
726,1851,102,2600,1027,2273
726,283,1892,48,293
726,1112,2602,899,1349,1569,205
726,999,1851,2547,272,743,307,40
726,109,1267,2592,2729,699
726,230,2105,2430,711
726,999,885,1656,957,39,606,1340,370,1306,2453,1668,2289,2100,1889
726,885,2244,735,496
726,1002,942,1561,838,1771,1027,2188,1519,38
726,948,2267,454,2332
726,1112,2490,685,40
726,1112,2067
726,109,1075,281,315,685,2367
726,885,791,1176,1548,399,1652,2684,2205,1279
726,1112,814,1633,1472,1265,503,2378,1472,2645,1871,778,1051,2687,2323,2015
726,1014,2739,2244,335,628,1085,626
726,2633,926,1108,1508,2326,638,1051,535,38
726,1373,891,2362,1374,1026,585,1086,1222,1532
726,1892,17
726,2491,972,1770,2387,2545,1019,2208,791,1176,347,876,1249
726,1112,1128,1313,1059
726,948,2765,557,1702,1809
726,957,2411,2141,137,1649
726,272,2286
726,2720,137,152,1317
726,1014,1889
726,1851,1926,1286,1584,1678,1080,1034,2272
726,2720,137,351
726,885,1773,606,367,571
726,948,2547,1002,789,211,957,2345
726,2633,2335,1304,2299,105
726,283,1155,563,46,1627,1717,2322,1921,428,1408,2729,699
726,230,2083,177,520,2373,319,1826,2171,307,1182,826,1464,953,655,1060,1986,654,622
726,2720,2729,1385,825,2410,583,2367
726,230,1384,2404
726,885,2246,551,641
726,1851,135,2172,2320,1780,1665,2277,996,2393,266,663,271,2117,431,490,2064,2364,997,1445,1086,1890,387,429,426,1400,267,1657,2329,2168,2331
726,2720,935,1037,676,2234
726,1373,1375,290,613,1041
726,2484,740
726,323,529,1301,1037,1249
726,2491,2410,1439,471
726,885,2246,1407,1590
726,948,983,2720,103,2275,460,1279
726,1002,1160,374,323,1445,673
726,229,137,1655
726,323,2263,2390,1439,2775
726,1112,2602,1493,179,422
726,948,46,1627,2579
726,2489,930,704,529,2121,1224
726,1373,734,474,1277,2107,1704
726,885,2246,1182,399,791,1790,336,626
726,885,791,40
726,1112,809,2360,1688,1312
726,283,1261,1228,1654,2762,2307
726,230,2105,2709
726,885,685,802,826,1028,2205,1279
726,942,1561,713,1321
726,317,2246,2006,1236
726,283,1155,563,506
726,109,1157,126,1440,640,1051,2136,2646
726,885,1445,1532
726,1112,752,2582
726,885,1526,407,1761,129,153,1613
726,1851,1320,2605,1027,2199
726,1373,228
726,1112,2638,2117,1278
726,109,1075,316,709,1145,206,99
726,2633,2055,1780,1402,1678,2393,2367
726,1112,954,809,751,583,2397,681,678,1038,1108,2645,826,1047,1340,2303,2733
726,1373,1195,613,2439
726,885,685,40
726,1002,1129,2246,1176,347,1658,607,1051,535,2367
726,1851,135,2172,1723,1374,679,2115
726,1373,2636,803,1991,826,1182,2379,2263,489,997,1341,289,741,989,2246,1176,1711,1745,1249
726,885,791,1268,568,2308
726,2720,2605,1268,2371,588,1253,2052,2603
726,1092,1655
726,874,2490,2244,1759,503,1700,1995,1340,2304,1785,2323,585,1212,629,2337
726,283,2123,1143,2360,1510,1156,553,1087,1385,2117,2289,2191,2296,2210,644
726,323,1195,142
726,1851,2366,1699,791,40
726,2633,1671,1518,2461,2337
726,1112,245,685,2380,1591,1614
726,1146
726,1373,1375,293
726,948,932,2633,926,1731,1333,1349,1394,2418,1086,284
726,323,1773,2130
726,323,1449,403,681,1753,291,407,172,567,443,1661,1889
726,230,2105,1590
726,2491,2590,2243,2594,2406,1143,1809
726,942,2392,656,751,2310,1606,420,2600,2678,96,2332
726,885,307,1176,496
