param_key,binarize,graph_type,res,threshold,seed,modularity,Parameters,MB-ARI,train_pairedness,test_pairedness
CubaLahore,False,G,0.35,0,52642135,0.4638991563617302,0,0.01682663098732655,0.6573770491803279,0.7068345323741007
SumterLipscomb,True,G,0.35,0,73550937,0.4205788867204853,1,0.019467095305898328,0.6836065573770491,0.7248201438848921
GraffCardiff,False,G,0.4,0,69701021,0.4781464316236644,2,0.02190546181912525,0.6426229508196721,0.6214028776978416
StatenGuggenheim,True,G,0.4,0,52225393,0.4460215617517269,3,0.026135447667871778,0.6540983606557377,0.6690647482014389
JacquelineCinderella,False,G,0.45,0,42335773,0.4875435525677179,4,0.025544696090388255,0.6360655737704918,0.6223021582733813
HarmonMarilyn,True,G,0.45,0,59737833,0.4540664017505752,5,0.02863597686637779,0.6278688524590165,0.6258992805755396
BarrettBlackfoot,False,G,0.5,0,59848271,0.4947401573684226,6,0.02823931937660395,0.6950819672131148,0.702338129496403
CiceroErik,True,G,0.5,0,80871344,0.4750412516558778,7,0.03823575587236009,0.6459016393442623,0.6798561151079137
WernerBartlett,False,G,0.55,0,12049124,0.5058381490693181,8,0.0351475076681749,0.6540983606557377,0.6600719424460432
AnthonyAsiatic,True,G,0.55,0,36764947,0.4797717724034903,9,0.04065497824710209,0.6655737704918033,0.6816546762589928
AbernathyOrr,False,G,0.6,0,12632571,0.5136429733498205,10,0.03758714762050603,0.6754098360655738,0.670863309352518
HanoverValhalla,True,G,0.6,0,10181585,0.4838119401246577,11,0.04305964250367454,0.6786885245901639,0.6996402877697842
ManfredKremlin,False,G,0.35,1,44386609,0.4866286150085,12,0.0173301848283253,0.6,0.6088129496402878
HiawathaAfrikaans,True,G,0.35,1,41291011,0.4542032753705952,13,0.02047834955674645,0.7196721311475409,0.7446043165467626
GoodrichPict,False,G,0.4,1,8404077,0.4957427036175801,14,0.018994005317311272,0.6868852459016394,0.6906474820143885
SocUtrecht,True,G,0.4,1,68539234,0.46255766839575296,15,0.022365014756353302,0.6950819672131148,0.7194244604316546
RicoRoberto,False,G,0.45,1,2495617,0.5036703652493165,16,0.022628571202639777,0.6032786885245901,0.5440647482014389
AmarilloBangui,True,G,0.45,1,89675189,0.476187208435934,17,0.029299706423423513,0.6639344262295082,0.7464028776978417
ReynoldsTroutman,False,G,0.5,1,61972257,0.5179939507298223,18,0.0292827214528171,0.6885245901639345,0.7194244604316546
PenelopeKlaus,True,G,0.5,1,90993724,0.4977948378731606,19,0.036350659962315957,0.7786885245901639,0.7985611510791367
FaberRigel,False,G,0.55,1,4608562,0.5295429975840493,20,0.03881211257245777,0.6721311475409836,0.7230215827338129
HaydenAthens,True,G,0.55,1,64724617,0.4993907060143629,21,0.038739945504893486,0.680327868852459,0.6987410071942446
AzoresHurst,False,G,0.6,1,37566188,0.532206824943539,22,0.03994475666948123,0.6729508196721312,0.6996402877697842
LeonardoNile,True,G,0.6,1,23751658,0.5165477636529534,23,0.04861218485972079,0.7245901639344262,0.7446043165467626
RossInverness,False,G,0.35,2,20785611,0.5062063398955807,24,0.01681121781362964,0.6262295081967213,0.6007194244604317
CowanMonrovia,True,G,0.35,2,9683025,0.4714255661583465,25,0.019479077679032397,0.680327868852459,0.7652877697841727
AlgeriaPeggy,False,G,0.4,2,93423216,0.5139347908695442,26,0.0184160255747019,0.6311475409836065,0.6232014388489209
UkraineFilipino,True,G,0.4,2,49242638,0.4838986264464091,27,0.021472283974282746,0.7114754098360656,0.7437050359712231
JeffFeeney,False,G,0.45,2,71139992,0.5164550768154633,28,0.01986496420370716,0.6262295081967213,0.6366906474820144
LansingHarrisburg,True,G,0.45,2,10090782,0.4882782852808599,29,0.0236964658641324,0.6672131147540983,0.710431654676259
DearbornSalerno,False,G,0.5,2,88731996,0.5307337242986873,30,0.03074763112630114,0.6827868852459016,0.6609712230215827
LyleCorp,True,G,0.5,2,32483817,0.5045785407200788,31,0.033770538196991,0.6721311475409836,0.7392086330935252
