,skid_left,class1_left,class2_left,merge_class_left,In edgesum_left,Out edgesum_left,Total edgesum_left,In degree_left,Out degree_left,Total degree_left,Pair ID_left,hemisphere_left,skid_right,class1_right,class2_right,merge_class_right,In edgesum_right,Out edgesum_right,Total edgesum_right,In degree_right,Out degree_right,Total degree_right,Pair ID_right,hemisphere_right,flat_diff_euclidean,color_diff_euclidean,rank_flat_euclidean,rank_color_euclidean,flat_diff_cosine,color_diff_cosine,rank_flat_cosine,rank_color_cosine
1082,5617164,sens,vtd,sens-vtd,6.0,35.0,41.0,4,13,17,1103,L,10963761,sens,vtd,sens-vtd,2.0,26.0,28.0,1,13,14,1103,R,0.0016218704603053447,0.0006309007905493256,912.0,974.0,0.6619852788964768,0.1338658912438606,1.0,5.0
937,17423125,dSEZ,,dSEZ,4.0,0.0,4.0,2,0,2,954,L,5559657,dSEZ,,dSEZ,48.0,10.0,58.0,13,5,18,954,R,0.0006453207673841983,0.0004383728874360087,1083.0,1048.0,0.503545176575151,0.13703711410520406,2.0,4.0
701,15639294,dVNC,,dVNC,18.0,6.0,24.0,14,6,20,714,L,7571966,dVNC,,dVNC,21.0,7.0,28.0,11,5,16,714,R,0.0019785243204884138,0.0015263008121044475,858.0,741.0,0.47842154597134207,0.4724125252022388,3.0,1.0
456,11009492,dSEZ,,dSEZ,7.0,54.0,61.0,6,28,34,463,L,17304269,dSEZ,,dSEZ,27.0,65.0,92.0,14,23,37,463,R,0.007842210688283195,0.004628706516016255,228.0,240.0,0.3296705967556677,0.113990521206486,4.0,6.0
1127,12273754,unk,,unk,21.0,61.0,82.0,8,28,36,1152,L,17654624,unk,,unk,55.0,66.0,121.0,17,31,48,1152,R,0.0021173099277565625,0.0005846593776188105,831.0,990.0,0.2992882105776281,0.015619569436724823,5.0,96.0
915,17359111,dSEZ,,dSEZ,9.0,13.0,22.0,5,7,12,931,L,16316973,dSEZ,,dSEZ,11.0,4.0,15.0,8,3,11,931,R,0.0007982083831598271,0.00040369243666131007,1060.0,1061.0,0.2961177932811023,0.09027971963024146,6.0,7.0
8,2204467,LON,,LON,42.0,26.0,68.0,11,15,26,8,L,2512602,LON,,LON,31.0,0.0,31.0,5,0,5,8,R,0.005833614433243584,0.0021755244851142533,372.0,595.0,0.24824752266244868,0.04167560231476413,7.0,19.0
1038,19298644,dVNC,,dVNC,50.0,28.0,78.0,25,12,37,1057,L,17537254,dVNC,,dVNC,39.0,22.0,61.0,15,10,25,1057,R,0.004493522616822247,0.0038338886234141026,516.0,335.0,0.23391162799092807,0.23122306123399608,8.0,2.0
920,17360030,unk,,unk,9.0,18.0,27.0,5,14,19,936,L,15636411,unk,,unk,30.0,46.0,76.0,16,29,45,936,R,0.002352329137984926,0.0009574434842446903,786.0,875.0,0.2295325359179471,0.04422352721885043,9.0,16.0
639,14651659,dVNC,,dVNC,67.0,2.0,69.0,26,2,28,651,L,13760954,dVNC,,dVNC,80.0,1.0,81.0,30,1,31,651,R,0.003522823912469166,0.0027210625157159055,625.0,497.0,0.2272603378196269,0.161281564631196,10.0,3.0
