,0-1-0-0-0,0-1-1-0-0,0-1-1-1-1,0-1-1-0-1,0-0-0-0-1,0-1-0-0-1,0-0-1-1-0,0-1-0-1-0,0-1-0-1-1,0-0-0-0-0,0-0-0-1-0,0-0-1-0-0,0-1-1-1-0,0-0-0-1-1,0-0-1-0-1,0-0-1-1-1
0-1-0-0-0,0.0,4.643786516255975e-72,2.181525889846618e-85,1.0818680505608418e-61,6.836141971138697e-51,1.8898268654665708e-59,1.4363609375024464e-106,3.753570235682876e-62,1.6669242596170244e-74,9.726491830283529e-31,9.967871222368666e-31,7.096001060453842e-117,1.292441398232418e-75,1.8738643974971833e-41,1.3590699345848944e-104,1.8799744031047987e-82
0-1-1-0-0,0.0,0.0,6.323495014793648e-38,2.9931725898234616e-27,3.6287472788510226e-32,9.426653417849496e-37,1.2844460570157628e-55,4.287917113266488e-28,1.014897373068239e-20,2.441066524798114e-40,3.546036996696618e-54,2.906285227469812e-67,4.510503503639978e-29,5.154993365070388e-90,2.273332286675625e-43,1.7821948666675222e-43
0-1-1-1-1,0.0,0.0,0.0,2.735940404519614e-13,2.827932782939224e-13,5.0246539398009885e-26,1.6095163198695579e-21,1.1589051694864967e-15,1.590699560071637e-18,8.532091276770741e-33,1.4459915545050863e-50,1.3057281278781966e-27,2.2260197219301597e-08,1.8080057730232109e-94,2.3190627738115435e-22,5.638822348597696e-10
0-1-1-0-1,0.0,0.0,0.0,0.0,2.4253299772143383e-17,5.888378104132624e-31,1.1119594458326329e-39,1.4480286188672297e-22,1.7527572023294554e-28,2.3011845309763302e-18,1.2636779362837884e-30,1.879129995400385e-46,4.8078255266486404e-11,9.115974995819031e-59,5.367277517965064e-28,8.34403407050502e-11
0-0-0-0-1,0.0,0.0,0.0,0.0,0.0,9.428384372071547e-24,1.6248310207669258e-19,3.121204712079097e-11,1.4926119301732335e-12,5.115143073376634e-19,1.1978353384931133e-35,1.7914631808486857e-29,1.8987808993836043e-11,1.243356077824751e-68,5.0983976809378354e-21,2.2577019498704479e-13
0-1-0-0-1,0.0,0.0,0.0,0.0,0.0,0.0,1.8451171127070637e-38,2.291277475962855e-07,1.9724341774826617e-22,2.9669856653607934e-29,5.712943212315653e-30,2.1786566516146023e-38,8.145376434347417e-34,1.4408003492526317e-80,6.018020828069478e-48,1.043890775912988e-37
0-0-1-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1121387892771807e-18,3.303615821437842e-20,8.008717010904815e-55,3.7414360671011684e-78,1.5885650219696492e-08,4.977417829316095e-25,1.5892438112975955e-121,1.3557767200951104e-12,8.306873329287864e-19
0-1-0-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.073869911381764e-11,2.4585704877628368e-26,5.353173390450536e-35,2.1180161382335987e-22,8.184682793719027e-20,5.3271600312096386e-83,3.0020078499815415e-28,2.1632265877031225e-21
0-1-0-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.328241764061743e-38,3.272369081490533e-56,1.1655446819301209e-31,3.2903666890388167e-19,2.0330726216044656e-98,4.412890232052426e-21,3.2707884671856757e-25
0-0-0-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6472294484376415e-06,2.28929455802481e-59,4.3023063577372756e-32,7.269371435400657e-22,1.5597345086856352e-52,4.304390042545061e-32
0-0-0-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8959597173115193e-79,9.307841464913924e-51,9.06827253601668e-17,2.5547403336262407e-76,5.774525157595569e-51
0-0-1-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.608774045798141e-35,8.441494776204766e-127,1.1348135401546158e-23,5.308508874624892e-26
0-1-1-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89190012340523e-87,7.18305705426188e-16,7.792497343190613e-09
0-0-0-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298232333225443e-109,9.899829055360221e-83
0-0-1-0-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.493762015566391e-12
0-0-1-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
