,0-1-0-0-0-0-1-1,0-1-1-0-0---,0-1-1-1-1---,0-1-1-0-1---,0-0-0-0-1-0-0-1
0-1-0-0-0-0-1-1,0.0,7.350797404933397e-212,9.612454575113484e-286,1.3985472259338983e-226,1.1014939649307467e-224
0-1-1-0-0---,0.0,0.0,3.216865760271841e-41,8.029482333273887e-29,1.6968276462563832e-54
0-1-1-1-1---,0.0,0.0,0.0,8.933117028839185e-28,1.7464510373734852e-28
0-1-1-0-1---,0.0,0.0,0.0,0.0,5.974436507155668e-50
0-0-0-0-1-0-0-1,0.0,0.0,0.0,0.0,0.0
