,0-1-0-0-0-0-1-1,0-1-1-0-0---,0-1-1-1-1---,0-1-1-0-1---,0-0-0-0-1-0-0-1,0-1-0-0-1-0-1-1,0-0-1-1-0-0-0-0,0-1-0-1-0-1-0-0,0-1-0-1-1-0-1-,0-0-0-0-0-1-1-0,0-0-1-1-0-0-0-1,0-0-0-0-1-0-1-,0-0-0-0-0-0-0-0,0-0-1-1-0-1-0-1,0-0-0-0-0-0-1-1,0-0-0-1-0-1-0-1,0-1-0-0-0-0-1-0,0-1-0-1-1-1--,0-0-0-0-1-0-0-0,0-0-1-1-0-1-1-0,0-1-0-1-0-0-1-0,0-0-0-0-1-1-0-1,0-1-0-1-0-0-0-1,0-1-0-0-1-0-0-1,0-1-0-1-0-0-1-1,0-0-0-1-0-0-1-,0-0-0-1-0-0-0-0,0-1-0-0-0-1-0-0,0-1-0-0-0-1-0-1,0-0-0-0-0-1-0-1,0-0-0-0-0-1-0-0,0-0-1-0-0-0-1-1,0-1-0-1-0-1-0-1,0-0-1-1-0-1-0-0,0-0-0-0-1-1-0-0,0-1-0-1-0-1-1-,0-1-0-0-1-1-0-1,0-0-1-0-0-1--,0-1-0-1-0-0-0-0,0-0-0-1-0-1-0-0,0-1-1-1-0-1-1-0,0-0-0-1-1-0-0-,0-0-1-0-1-0-1-1,0-0-1-0-1-1-1-0,0-0-1-0-1-0-1-0,0-0-1-1-1-0-1-0,0-0-1-0-1-1-0-0,0-0-1-0-0-0-0-1,0-0-0-0-1-1-1-1,0-0-1-1-1-1-1-1,0-0-1-0-1-0-0-0,0-0-0-0-0-1-1-1,0-1-1-1-0-1-0-,0-0-0-1-1-1--,0-0-0-1-1-0-1-1,0-0-1-1-0-0-1-1,0-1-0-0-1-0-1-0,0-1-0-0-1-0-0-0,0-1-0-1-1-0-0-,0-1-0-0-0-0-0-,0-1-0-0-1-1-0-0,0-0-0-0-0-0-1-0,0-1-0-0-1-1-1-1,0-0-1-1-1-0-0-0,0-0-1-0-0-0-0-0,0-1-0-0-1-1-1-0,0-0-0-1-0-0-0-1,0-0-1-0-0-0-1-0,0-0-1-1-1-0-1-1,0-0-1-1-1-0-0-1,0-0-0-1-0-1-1-,0-0-0-0-0-0-0-1,0-0-1-1-1-1-0-1,0-0-1-0-1-1-0-1,0-0-1-1-1-1-1-0,0-0-1-1-0-1-1-1,0-0-0-0-1-1-1-0,0-0-1-1-0-0-1-0,0-1-1-1-0-0-0-1,0-1-1-1-0-0-1-,0-1-0-0-0-1-1-,0-0-1-0-1-1-1-1,0-1-1-1-0-0-0-0,0-0-1-1-1-1-0-0,0-0-1-0-1-0-0-1,0-1-1-1-0-1-1-1,0-0-0-1-1-0-1-0
0-1-0-0-0-0-1-1,0.0,1.4320501230444601e-81,3.2709520640022453e-103,5.959872122002051e-32,9.641456542706967e-172,3.545654970493428e-132,1.5812737727391576e-176,4.533697432271908e-148,6.360383378722999e-115,6.148436534874032e-147,5.2826521823922825e-171,1.9192987099558785e-164,9.849664415402833e-76,7.023311261539552e-86,6.695663105526524e-129,8.98310792054349e-77,4.1809776360526255e-89,1.0192562087014246e-156,8.31236083467205e-165,2.3608999901586852e-171,1.0309110556342322e-111,2.8660814850009544e-174,2.884603685236772e-24,1.3208544134359236e-22,2.1427851726876153e-129,6.505361655636603e-127,3.7367712764953925e-146,1.993057434884597e-40,1.5734667985290187e-37,2.1419782065984877e-155,5.8355754578568145e-146,1.3164032541483437e-101,2.2541443225804016e-45,3.1234507359305404e-166,3.234924052400096e-168,5.005411874630388e-150,2.5397415703263115e-73,1.3150558954874895e-166,7.844436936742214e-16,1.8282610345346162e-128,6.277351368484348e-80,1.4132256576397823e-127,2.573794802111659e-150,3.663995192500493e-81,1.9050764695485804e-158,9.666794117592473e-163,2.2183523109365342e-119,9.942385773540253e-146,7.052097552371156e-165,2.8680494490502247e-146,1.358960222266251e-95,1.5680217731468465e-124,5.004013906545506e-65,6.6864844407937484e-68,1.795943189885819e-28,1.2972559722055065e-162,6.5405163832086786e-111,1.7116542210259715e-33,1.0702330928570742e-62,2.937015523566684e-70,2.826390002517887e-38,2.5115587552966e-162,6.799921969543096e-58,2.573645782494794e-87,3.836749515640321e-170,6.442246330072523e-44,3.097315866890953e-161,1.3891992971035207e-158,5.626613775152603e-116,1.0084813022213618e-166,2.3042978410275128e-128,6.102469387140595e-62,4.503376690814005e-166,8.529418704483504e-112,1.2425351040366138e-57,3.4541662785000605e-115,1.371338776905997e-155,1.2831323052361276e-160,5.3186290982679156e-70,6.069403711093712e-96,2.9554934647564223e-34,2.9883446973823903e-105,2.1599678036834783e-108,9.866988722648605e-165,1.98593349373939e-150,8.669552553147297e-60,4.536287144299995e-78
0-1-1-0-0---,0.0,0.0,1.647985866978374e-32,1.0340030544251642e-33,4.885286840340636e-100,3.656542017697366e-36,2.056726765268225e-110,2.286311815118156e-77,5.065127552450462e-50,1.0236801694677567e-72,4.84091523243099e-100,6.213374705230204e-100,3.16202641763576e-35,1.580008426532432e-43,1.1012552620928756e-60,4.329234092461727e-31,5.321380655689199e-16,3.2892396440955095e-62,1.8851544292542147e-92,1.0455929142374858e-98,3.8070738245096263e-35,3.041501240387825e-100,3.717947699029871e-37,6.01395770977564e-41,5.718218036005156e-48,1.1094381354131763e-62,3.579892184867356e-73,1.846518636630434e-41,3.160258403606271e-79,2.574209789592911e-75,2.6103324542867815e-71,5.775273718313942e-42,1.7998579508585497e-51,3.6134369787292753e-98,1.6910971402591254e-92,1.1991917413451332e-74,1.2352487727707368e-33,2.3387818698745597e-67,5.2919043312663054e-15,1.0093422979242413e-72,2.1500571116665475e-21,4.17082861027428e-71,1.696339826789873e-62,1.7433314338323302e-32,2.4306685457020052e-68,7.330026394448178e-83,7.658916846411977e-40,6.754204563560465e-63,3.2560138504545427e-84,9.605163011200275e-44,3.443260345284864e-38,2.067950972820029e-45,1.1417830937793667e-21,4.1437055747931533e-53,4.572703657421778e-73,2.3384495026595083e-83,4.7900419164879814e-29,4.418867114095341e-62,3.957518862543094e-31,5.250720026035825e-19,5.836170800411436e-47,2.867656003464053e-90,1.5150635607374527e-34,3.906320313372341e-34,4.091317938222453e-99,5.364761162790339e-93,2.7676377857111534e-88,4.231198041569748e-88,2.5430972978030124e-43,2.214707686079466e-91,4.3754820426656295e-61,2.1474088431426643e-23,5.004372521482987e-89,5.830629315585497e-20,1.6022649169006555e-19,2.9000692655500246e-42,1.782147981671519e-69,6.69706302083527e-81,2.906292069452841e-22,1.9601198826190725e-31,1.9876813114017474e-10,6.595428237030388e-44,8.046784291977422e-32,9.868089868270392e-89,4.4602145025808824e-69,5.34650568918552e-23,1.2292204065626427e-70
0-1-1-1-1---,0.0,0.0,0.0,1.8227372442752897e-43,3.8461595858555084e-63,1.0413966982087694e-41,4.443692237717017e-75,4.563620567837317e-50,1.5902339061694964e-23,6.296571423517101e-44,1.172590449969252e-70,2.832898817067253e-54,5.292604831822908e-12,1.2864241833774483e-18,1.4290540258764776e-33,1.7195742677421172e-22,8.291235067814786e-30,2.4919388337737497e-19,2.022161624525006e-62,2.1499915893761322e-60,3.6369829586342677e-09,1.5828288361322206e-35,1.7749855652691832e-48,1.8460352895444136e-44,1.7651590988495036e-24,6.18608489810971e-33,4.4318212047689683e-44,3.413268883340379e-70,4.3120658383402705e-108,1.2738379874884968e-46,3.442848409178253e-43,8.88257822671295e-40,1.8325392727383112e-52,1.0228157872587617e-57,4.1368794368838854e-29,6.808091398930486e-49,2.8949621785333194e-19,1.7827558993362715e-54,8.592983393657673e-20,3.9916915934820154e-51,1.0068677229700417e-08,1.0904745107730897e-41,8.867798114734638e-33,1.702003712846835e-23,2.5852596936421713e-31,5.849168704888829e-55,4.5706955277307025e-27,2.3994863952262635e-35,1.0343649280645011e-32,1.6337781050001288e-33,6.340882544250896e-29,1.0535564489440921e-18,7.575306781000269e-13,1.2705810797029001e-72,3.130130958377942e-98,9.808873035752527e-55,8.815472158967582e-30,4.626563573144012e-67,4.069145165085252e-13,4.0723036054705514e-39,1.7142739081448492e-50,1.22016077769352e-51,1.9120392792010722e-27,5.792736304507628e-14,1.9524917818558035e-51,1.113620380667625e-111,1.0089086510545236e-63,2.0193296362193103e-63,1.0102825040402818e-21,1.880107936214856e-53,5.678259358604462e-39,7.103191778204205e-22,1.5649696519158486e-54,5.761748923461211e-25,1.610441889852459e-08,1.1753826198917767e-10,6.049895406876898e-17,1.6159013464880331e-59,1.761874706498085e-08,6.785641587088049e-10,1.861171474116218e-12,6.967356935300826e-37,6.06705450746454e-14,4.3383673453031686e-51,5.572129820528484e-32,1.2043931296864044e-07,4.7365258706884067e-88
0-1-1-0-1---,0.0,0.0,0.0,0.0,9.799357725385678e-109,7.345801718512721e-68,4.107834905503464e-116,8.396612148518934e-86,8.666961145633843e-72,1.7644824687072866e-79,4.9904726474136985e-112,2.9673120172621594e-102,4.785687094060299e-34,5.705929608603759e-45,5.024494343708711e-68,3.342194753936602e-33,5.272750261566519e-37,1.1454373951995771e-80,1.0580640643475773e-104,2.83657764482325e-107,1.6496231089771345e-53,3.2914715093461794e-99,1.3730131473117745e-23,3.1336098333755337e-06,5.013281311769485e-62,8.171345814963607e-63,2.19334140400066e-78,5.730464499672892e-46,1.4971661472822803e-61,7.496377732420456e-92,3.6093493230295737e-82,1.2985560864259932e-57,1.2716771205280096e-10,5.770954688200299e-105,6.560466668837132e-96,3.759651835363085e-83,1.6074116171700512e-20,3.8155422676834766e-98,4.816827351701247e-09,2.984801080584327e-70,6.325801134442803e-36,3.075963931699085e-70,8.442592881796674e-84,2.0447248472871946e-40,2.3686247573176705e-87,1.3887832227495268e-100,2.344501951430577e-63,1.2134941739212364e-81,2.3120730450341438e-90,5.79189202613316e-80,1.4226899201266842e-45,1.1945807301328652e-58,2.3815545917737234e-28,2.2432568147163198e-63,3.06912092115376e-57,2.0311246432174766e-100,1.0238861384876974e-51,1.372649607677293e-09,1.8163316173124848e-17,4.662787607764604e-25,8.896679169697275e-07,1.9894872430928247e-95,7.36896453952484e-15,1.8080663365027243e-40,1.3869955555533938e-103,2.8134219260202285e-22,2.177155240185024e-97,9.02284445668341e-103,1.845253802320646e-58,2.2060272901457776e-102,1.3661802942875437e-63,3.156093056199301e-33,2.0589949318857034e-102,5.569458080550556e-57,1.4837819637798055e-25,1.2727102378137348e-56,6.364129015205005e-77,4.4789379234954895e-101,1.7628805535696578e-31,1.3473832582100208e-42,4.088437659289454e-15,2.1248450410741755e-58,3.963685564325855e-52,1.4660771892339858e-100,3.1214521681635383e-77,5.397206142281915e-27,1.1406617731429032e-75
0-0-0-0-1-0-0-1,0.0,0.0,0.0,0.0,0.0,3.953267910817696e-70,6.279323907715195e-05,8.32043365731491e-38,6.116004443724777e-33,5.1023002131548185e-51,2.1912634987040127e-09,1.1162075616330585e-12,9.429181279967885e-20,3.8169441320619926e-39,6.189992774985806e-25,1.4013255304017445e-32,8.241478213719655e-86,7.237133199431963e-45,9.564704513738143e-08,0.0007286110830675382,8.653431822314399e-37,1.183299946008339e-53,1.2130444519096548e-109,3.383829678818186e-105,2.648031415628489e-44,7.159638123603418e-54,2.1822018878439812e-60,1.1739045732213731e-141,1.7670643972524986e-174,4.75589959811439e-16,1.161670999017374e-43,3.311240909323434e-34,1.1307005888440556e-93,9.331639068924049e-06,6.486607074260195e-44,9.258623971949323e-55,1.2923450943368556e-86,5.216314546090925e-44,4.870123049066608e-53,1.025649992042272e-56,1.2205271183716877e-47,2.3698875686670573e-60,1.7934294642738818e-17,1.542266685122199e-14,1.0267622761850697e-22,3.055267253563069e-10,2.103776355111869e-47,2.2736559288420425e-29,2.116096776884859e-48,6.928344360843047e-39,6.8631460104514135e-40,2.245342257190798e-51,5.2659833703259385e-14,5.139426629444817e-126,2.606255150464566e-162,3.1789889882397674e-08,1.908144085836557e-60,6.445673933887892e-126,9.170194411840916e-73,5.0880412661922066e-104,4.444522392155893e-118,1.5567270878157498e-37,1.2939912869084792e-98,8.338881675964268e-69,7.061500876830366e-38,1.3722592344494178e-179,1.2544394470191252e-66,5.5239185255858656e-11,3.4136063246637065e-27,2.235960351288161e-05,7.055069382116983e-67,1.1616510062578776e-28,1.183496895432623e-06,1.972723997906354e-68,5.000469034142857e-37,3.3337160399900707e-65,4.679965571756272e-61,1.7650536308220163e-13,1.6874547941083324e-38,3.192472246486176e-62,1.1662437279776307e-30,7.090090236982674e-40,1.5363186690081322e-80,1.1232747826570681e-05,7.497670492317299e-61,7.509209712898368e-19,8.29563283947554e-133
0-1-0-0-1-0-1-1,0.0,0.0,0.0,0.0,0.0,0.0,1.287672292417764e-82,1.5745438506080505e-32,4.952886464648585e-47,6.371904276598803e-29,9.406140727435327e-71,4.397771086741185e-84,1.424521210790565e-23,9.212653786385164e-63,6.95942922652556e-26,2.286353189177105e-09,1.0980888051333858e-13,3.653746573003132e-30,4.019652681745991e-75,1.684923665450314e-76,5.391498791401225e-30,4.986072493608241e-71,2.172289694613706e-82,3.728957103968909e-71,1.6987216236422522e-17,1.185352461590966e-31,3.196042847449865e-30,2.9222883243585937e-93,7.938244254107077e-127,3.6505122338175988e-34,2.301209709705008e-26,9.296809659840978e-47,7.252988031049739e-64,4.615888114919354e-77,9.00022241623978e-75,1.858608938946209e-27,1.4352006981313442e-37,3.32689585226049e-50,5.8292639002766715e-30,1.9202676607172564e-33,7.861542919934408e-31,9.994633953617906e-37,3.4246066507169045e-53,3.2738985940125934e-29,2.5303267840701556e-41,6.004703969335494e-65,1.0847845901162865e-53,3.1375824758498367e-60,2.3852611785492428e-45,9.849043029811976e-42,3.2953822119281384e-10,5.07159523818363e-22,1.0072981991408629e-10,1.6369674279043812e-93,4.1256418236062324e-119,2.6408162786697162e-65,4.207936748358336e-06,3.8336524439853477e-91,2.97513299350303e-45,1.651152752712412e-20,1.2758321198033088e-73,6.368766261838316e-44,1.5929263624760234e-52,3.233695233024792e-63,9.152061874724194e-93,4.625687270212939e-133,6.43154002299513e-28,6.320887448785423e-64,5.091527824697706e-43,2.011795590632164e-70,1.1649619422549795e-25,5.19664622960186e-33,3.17510527717157e-70,6.531891525315178e-46,9.341389245209986e-32,7.537043995311897e-55,4.8981183752657713e-48,3.6631760580956787e-63,1.2201352786867359e-32,7.198087233281784e-45,1.1924623418550604e-12,3.431836922935944e-55,2.1299391794472676e-54,2.2853854767056794e-68,1.6995180064099834e-30,1.292742806469311e-23,5.529770058416312e-106
0-0-1-1-0-0-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8656381232768765e-53,1.8319730330016751e-37,1.3650273188611848e-67,1.940246621054331e-06,1.5706007784356588e-18,7.51957785092679e-26,2.384969462211602e-44,9.155484806481425e-38,6.24552317985161e-42,4.303420096579609e-98,1.4222517340165496e-57,5.464805813299865e-08,5.151326541982306e-06,1.055011678220815e-47,1.922794741016579e-66,1.0504866785030503e-115,7.868049838708347e-114,4.848450731862225e-59,4.357288913789924e-69,3.807499967586781e-77,1.5778028642836797e-149,3.289181626386004e-180,4.324232760987118e-27,2.9986756031720764e-59,1.4335767898584976e-39,1.3653574961502225e-100,7.863345027222009e-06,5.142200267198048e-53,1.0177549812619315e-70,1.2810684448379488e-97,7.03659579831405e-44,5.842080663157115e-59,4.875683678855761e-72,1.780778965937808e-55,1.9558991615048036e-78,2.2520476045001357e-23,9.321549715719854e-18,1.6525872703563903e-28,4.734119575300742e-10,5.7629026120516865e-56,1.1755735836947729e-35,3.784706994381513e-64,1.47299461255062e-41,1.3731242157405573e-47,9.40793409013524e-67,1.5662576099888663e-19,1.0063556371622173e-133,1.7711407149365297e-168,3.285119020830901e-08,8.770415641961164e-73,7.67341451892093e-132,7.67953924890836e-85,6.094320324017231e-115,4.0974219790239584e-126,1.3292615279596145e-53,1.233783784660619e-110,1.1909431083434765e-76,8.153198690985694e-39,2.4561684965174165e-184,4.7618568502837404e-82,1.3104162485482512e-16,3.277829410599081e-36,5.621263629905842e-09,3.4966733985098934e-82,7.360841047369929e-34,3.230421435781912e-08,1.1156597907515375e-76,1.2743664800365067e-42,9.801806705251565e-76,2.9169282329727065e-77,2.9653726712926284e-12,4.9503508660113415e-45,5.0367275111331e-72,3.154876554750998e-37,7.692486388428707e-44,6.898547858176528e-91,2.5752383594539293e-09,9.471442289196527e-77,1.1641894710190617e-22,6.679341887458702e-140
0-1-0-1-0-1-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.352856719512223e-50,1.5716652617277585e-05,7.368329888570502e-48,3.259764722959094e-53,6.507616950357647e-14,1.915867311559625e-59,0.00035486248063826037,3.4304291973664103e-07,1.380025636237857e-50,8.00372074550673e-28,9.15532056587055e-54,1.7965123344293468e-47,6.68254505733782e-33,1.3045211646071453e-47,4.4609784068437447e-101,5.283780177713416e-83,5.518519953153694e-12,1.4209866327237915e-14,2.7728180435049476e-10,8.409930863650654e-121,5.646920257127957e-148,7.68764709209265e-10,0.0003668574044140186,2.3155736657713852e-46,1.154732652656472e-70,2.510838017943484e-50,1.9718313752830596e-55,2.6824279397291395e-07,1.610003225812776e-50,3.3797019387050696e-65,5.500422770973088e-34,7.503271519504295e-08,3.707467322091967e-39,4.242171792754936e-11,1.59817448721767e-41,1.6786451906239782e-24,1.1076099788929127e-29,1.7553057556313434e-49,1.462181469054339e-58,6.153741289925859e-55,1.7706683586792114e-23,4.7773986042082985e-58,1.3455930862970644e-16,8.077261517461902e-17,2.1153540606270553e-08,9.248402568828687e-115,5.146018292965931e-139,3.3254182950356324e-48,4.069714385839746e-28,2.5296075711231767e-103,4.8425658824054345e-49,1.1874881485225663e-63,5.554057880389896e-88,5.600925268518479e-07,8.498995380064221e-64,2.5339566439921436e-71,1.0581123421555148e-77,2.6293909386689027e-146,8.306146561682128e-14,2.6535806117616885e-37,2.6568743853760565e-37,1.224271184803032e-43,7.7984579372405e-17,2.3030392351386235e-33,3.148016624456002e-48,7.827620230124033e-71,2.064721919463717e-35,1.9458142673161212e-58,1.3145456303797558e-36,4.4971821079201105e-51,3.0053240625668395e-35,5.473077784818305e-51,1.6285051916630605e-17,4.1086846863851765e-56,6.84442456447268e-70,4.261784845048318e-42,8.016141190726671e-19,1.2502832646953886e-20,3.355195334256459e-123
0-1-0-1-1-0-1-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50782218067429e-54,2.6977493521294744e-35,1.468074571350713e-34,1.178233150978103e-17,8.080742394147046e-16,1.1938267590548637e-32,3.1198923910900087e-27,1.4654529391366296e-47,1.6487879020237357e-30,1.0838256853986692e-26,2.9013133477933476e-30,3.1613612660032235e-12,5.523853799466903e-51,2.786212855854175e-57,4.7311544456501006e-67,8.249180619907528e-34,6.25036561667929e-50,4.847537456430144e-59,2.3161253499275314e-73,2.7536507522664746e-107,2.7147854376812426e-33,1.4047304894887393e-46,1.0591926339329611e-24,5.575484476408874e-74,7.171993655119159e-28,2.020139810370769e-36,2.342593234382804e-57,2.614268387154432e-53,1.6889369928286533e-26,5.705415529486337e-28,2.9258510238821466e-61,4.487027075387109e-16,1.4220837002510895e-54,1.1677879933048923e-16,2.986583756677697e-12,6.126046479174279e-20,6.185407792249315e-23,2.4602615372520642e-21,9.067553874209513e-21,2.5908502039303954e-47,4.285105036999979e-16,1.356414735568002e-29,1.4116299248058627e-33,1.7961172893755137e-09,2.86992129952953e-63,7.80280898460138e-94,2.130767011745325e-24,1.1771343420533077e-38,2.2860502824069445e-95,4.6107584638400107e-38,1.4310876338072947e-62,1.6461865150794584e-84,8.271775586577362e-54,8.540583535455492e-60,4.174263998476491e-25,1.385195207432495e-32,9.826247561931401e-146,7.765567556785983e-67,6.690509238027317e-38,8.941986232949981e-20,5.538835695386969e-27,1.7101317574535938e-57,3.2167623508439547e-13,1.6392932686721883e-25,4.044887799947883e-24,3.8750081249683105e-12,8.831122506892113e-29,2.2222465087880905e-44,5.351224804488373e-26,1.4568460455208823e-14,2.1846879583667592e-26,2.4351501950930987e-15,1.6281380650129007e-21,5.029134730804613e-31,1.3556539058146816e-25,1.551729452323529e-51,2.4974096171835827e-09,7.69671490835015e-72
0-0-0-0-0-1-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927500530196554e-62,6.221073607914756e-63,1.9823153772833494e-12,3.1284334344050437e-62,3.909620573749182e-06,0.00012667741516318303,2.6910108986761508e-43,3.2431858175488026e-22,3.2739870121701044e-67,5.214091721917131e-60,4.1241595635747517e-32,6.15480989547073e-44,9.84756991709303e-99,2.0395175658490374e-78,3.195310290477416e-07,4.318552122813363e-06,0.029139923228672215,9.022251751585772e-120,5.7107701054308405e-148,4.540780425138726e-18,0.0009233785838002975,2.0494873657594048e-52,2.334275500154169e-66,3.814322308185265e-62,1.2221799363716304e-55,0.0018650516850738986,5.7635987156638734e-39,3.057004496306337e-72,2.076191399555664e-33,0.0010995142010094506,1.8732625553815885e-37,1.4539165296714119e-05,6.590044264400205e-49,6.208915931095784e-29,4.9218937793835455e-32,2.4650939358756736e-61,2.776070812208312e-61,6.215834165856422e-61,4.4263032063269396e-17,1.2276825134737305e-62,2.0969778238297939e-13,1.6248179386255105e-09,1.3579189676580676e-09,1.3146448133485487e-115,3.3913527948631e-139,1.104823875771611e-59,1.6161659641554646e-23,1.8231651438229067e-97,1.6816260123645805e-42,2.0859327603933138e-55,1.205791336405128e-79,1.9229063166214876e-07,4.57601275020479e-55,1.3332934131873636e-69,9.877159081648179e-86,1.8295754391271912e-142,4.7365700503467396e-11,6.554306439259858e-51,6.9310179092716765e-40,2.4303373107317842e-55,1.2519851125504251e-06,5.368541082640926e-37,5.399780443566694e-60,9.02243882973701e-71,1.2758219497381434e-35,4.426484547873723e-55,7.643741256286679e-28,3.5952136144737176e-63,2.7504631086783175e-35,4.9317537717691066e-48,3.4290337051118035e-17,1.1332025997814492e-61,7.874878555298906e-67,2.433139274766398e-53,3.5797154937385815e-08,1.9301853911234527e-21,1.7758027313243502e-125
