,0-1-0-0-0,0-1-1-0-0,0-1-1-1-1,0-1-1-0-1,0-0-0-0-1,0-1-0-0-1,0-0-1-1-0,0-1-0-1-0,0-1-0-1-1,0-0-0-0-0,0-0-0-1-0,0-0-1-0-0,0-1-1-1-0,0-0-0-1-1,0-0-1-0-1,0-0-1-1-1
0-1-0-0-0,0.0,1.6325192363321377e-47,2.295293388894601e-71,1.1598861496894753e-25,4.696979042598628e-139,1.0131772498956618e-29,1.154941457326563e-103,6.764001454648556e-76,3.726049166916858e-55,4.674283974126301e-108,2.7603646414979316e-116,1.007520788906902e-133,1.195296149339764e-87,1.8755911455602053e-66,8.741501756944247e-96,2.1756195208292876e-104
0-1-1-0-0,0.0,0.0,1.6479858669777445e-32,1.0340030544249636e-33,3.6671366189206604e-98,1.9546521259765263e-40,8.233065306973643e-65,5.896438400598788e-50,3.3511349776716153e-31,7.868307080877252e-69,1.5171300531031873e-82,6.8652624741233996e-77,6.034231550806655e-32,1.0243043418495779e-76,2.772807941606278e-38,1.356650513723878e-52
0-1-1-1-1,0.0,0.0,0.0,1.822737244276376e-43,8.791533854576467e-65,2.834856018619659e-49,5.066558008917016e-38,3.8631987532148524e-30,1.0508027613286159e-09,6.011433014697592e-37,2.045370427611255e-52,2.9275310901932765e-61,2.018391667325092e-09,1.663223041438091e-90,3.620141414456067e-23,1.4328440692751163e-28
0-1-1-0-1,0.0,0.0,0.0,0.0,1.2065396476838157e-107,5.490991426171022e-09,1.5899960073432133e-77,5.3331134061053604e-51,5.007743967946634e-42,9.542971751989112e-77,7.09950803285699e-83,5.004773768853656e-103,2.6347119670417058e-61,1.3349023078425316e-76,3.993343938459046e-70,2.5035813200154832e-76
0-0-0-0-1,0.0,0.0,0.0,0.0,0.0,7.408861387329728e-106,1.4813153254852577e-08,6.119161996252855e-70,8.121162571244248e-46,9.301405924831118e-54,1.840920363231246e-83,1.442670824157258e-30,6.024215518694654e-58,2.3867614076293007e-135,1.9346685923405135e-32,8.252425580723841e-23
0-1-0-0-1,0.0,0.0,0.0,0.0,0.0,0.0,3.26986492958874e-82,9.706999309457142e-43,5.860623662016327e-46,6.192416029057229e-69,1.6182518962731792e-69,6.169613150191645e-100,3.760179386679602e-69,1.3367254063167644e-94,2.396337401352735e-77,2.0484773066415185e-83
0-0-1-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218454846616373e-55,1.854563928077206e-24,8.710970952583541e-48,4.025763607605049e-77,1.9261716842854564e-26,7.001291288245807e-34,7.44677593363703e-104,2.348220205240531e-17,2.6483166610705783e-09
0-1-0-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3077926007362718e-27,1.2015309172413233e-09,3.058213123234465e-09,4.3634664205755594e-76,5.423193172291548e-42,1.798699598492854e-104,1.8220506363673425e-45,1.859698417953908e-52
0-1-0-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.730106722799871e-33,1.0281460916943901e-51,3.558927014322503e-44,2.2195108001730378e-13,3.9124968479130744e-66,7.398740380659893e-16,4.905458098794006e-19
0-0-0-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.859202063279874e-07,4.678339682570698e-71,8.453338196612799e-44,1.0017007725235736e-112,1.8830491719211137e-40,4.757788708823144e-44
0-0-0-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3828280301807628e-97,7.617892356243718e-64,2.651499568608618e-131,3.686974570573771e-65,1.4175404729803573e-72
0-0-1-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.883577196602247e-45,2.3265629053660786e-135,9.170426500533984e-23,1.8447166986187468e-21
0-1-1-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3590041562915353e-82,8.556513808421154e-12,8.613951994574214e-18
0-0-0-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1689710791397245e-81,1.141742198488175e-92
0-0-1-0-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015153599021508317
0-0-1-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
