,0-1-0-0-0-0-1-1,0-1-1-0-0---,0-1-1-1-1---,0-1-1-0-1---,0-0-0-0-1-0-0-1,0-1-0-0-1-0-1-1,0-0-1-1-0-0-0-0,0-1-0-1-0-1-0-0,0-1-0-1-1-0-1-,0-0-0-0-0-1-1-0,0-0-1-1-0-0-0-1,0-0-0-0-1-0-1-,0-0-0-0-0-0-0-0,0-0-1-1-0-1-0-1,0-0-0-0-0-0-1-1,0-0-0-1-0-1-0-1,0-1-0-0-0-0-1-0,0-1-0-1-1-1--,0-0-0-0-1-0-0-0,0-0-1-1-0-1-1-0,0-1-0-1-0-0-1-0,0-0-0-0-1-1-0-1,0-1-0-1-0-0-0-1,0-1-0-0-1-0-0-1,0-1-0-1-0-0-1-1,0-0-0-1-0-0-1-,0-0-0-1-0-0-0-0,0-1-0-0-0-1-0-0,0-1-0-0-0-1-0-1,0-0-0-0-0-1-0-1,0-0-0-0-0-1-0-0,0-0-1-0-0-0-1-1,0-1-0-1-0-1-0-1,0-0-1-1-0-1-0-0,0-0-0-0-1-1-0-0,0-1-0-1-0-1-1-,0-1-0-0-1-1-0-1,0-0-1-0-0-1--,0-1-0-1-0-0-0-0,0-0-0-1-0-1-0-0,0-1-1-1-0-1-1-0,0-0-0-1-1-0-0-,0-0-1-0-1-0-1-1,0-0-1-0-1-1-1-0,0-0-1-0-1-0-1-0,0-0-1-1-1-0-1-0,0-0-1-0-1-1-0-0,0-0-1-0-0-0-0-1,0-0-0-0-1-1-1-1,0-0-1-1-1-1-1-1,0-0-1-0-1-0-0-0,0-0-0-0-0-1-1-1,0-1-1-1-0-1-0-,0-0-0-1-1-1--,0-0-0-1-1-0-1-1,0-0-1-1-0-0-1-1,0-1-0-0-1-0-1-0,0-1-0-0-1-0-0-0,0-1-0-1-1-0-0-,0-1-0-0-0-0-0-,0-1-0-0-1-1-0-0,0-0-0-0-0-0-1-0,0-1-0-0-1-1-1-1,0-0-1-1-1-0-0-0,0-0-1-0-0-0-0-0,0-1-0-0-1-1-1-0,0-0-0-1-0-0-0-1,0-0-1-0-0-0-1-0,0-0-1-1-1-0-1-1,0-0-1-1-1-0-0-1,0-0-0-1-0-1-1-,0-0-0-0-0-0-0-1,0-0-1-1-1-1-0-1,0-0-1-0-1-1-0-1,0-0-1-1-1-1-1-0,0-0-1-1-0-1-1-1,0-0-0-0-1-1-1-0,0-0-1-1-0-0-1-0,0-1-1-1-0-0-0-1,0-1-1-1-0-0-1-,0-1-0-0-0-1-1-,0-0-1-0-1-1-1-1,0-1-1-1-0-0-0-0,0-0-1-1-1-1-0-0,0-0-1-0-1-0-0-1,0-1-1-1-0-1-1-1,0-0-0-1-1-0-1-0
0-1-0-0-0-0-1-1,0.0,6.995755775523545e-124,1.5652720732170618e-141,1.524798456081878e-110,1.5090297547190854e-125,1.978124350661579e-122,7.159467760408062e-169,3.279537098644842e-155,2.9306312280092453e-77,5.6089303233425685e-160,8.527960291584617e-165,4.074370161073137e-164,6.199792049498234e-51,9.799373444379709e-132,3.4023416660107826e-44,2.825001518691017e-47,7.595022211226568e-124,7.04543677304927e-139,1.1769792679668272e-67,2.525623117968893e-179,1.3477812570398739e-137,1.1929344294377934e-182,4.007569167966291e-129,3.046282799072013e-100,4.098661917929687e-120,8.48746825663801e-47,1.3685222424980125e-53,1.1849202362562338e-33,3.0894793850492416e-32,9.212571717771375e-148,1.1628139356723172e-75,5.436719397513668e-149,2.9171494672561896e-167,4.2886900163793806e-186,4.603792837933069e-162,6.561978776918509e-96,9.817393215348504e-145,3.0076883519513353e-176,4.2413961832175376e-158,5.862167485075453e-59,1.3011943082752045e-79,3.4813242152165287e-56,2.0817013324717067e-149,2.614568487980226e-170,6.99705111997241e-169,3.9534234244434773e-159,4.610343057602364e-149,2.6256047462698747e-157,1.0783245195437995e-166,6.831875727565772e-135,4.845289642308863e-123,2.0881661004531222e-128,1.3170126656633788e-87,4.008757994086494e-46,1.6553515798757665e-43,1.2447006630135177e-165,5.548035555705839e-119,1.2005170076180385e-150,4.898770495637635e-160,2.131985432019399e-135,3.123854313028723e-94,1.0610597568753338e-51,1.7746868294820211e-128,1.9198975280940894e-169,8.401653510777346e-167,4.391405945326734e-105,1.682746533881062e-48,1.4780334400331988e-187,5.131504869308858e-162,2.3880317720208475e-176,1.5324178398565096e-125,1.390515182370595e-56,1.5305026729395228e-167,1.1240944047716312e-166,1.9225545506688707e-154,2.5275733727687973e-168,1.1891413266541395e-168,7.422038619322741e-177,7.221972314481551e-135,5.9576331942675676e-148,1.1606896115769436e-37,5.765567553493698e-181,3.881544480949569e-92,1.2994051180332851e-136,7.108664783822257e-155,5.122993786140166e-118,
0-1-1-0-0---,0.0,0.0,6.323495014796467e-38,2.993172589822954e-27,1.6130200627251625e-44,2.415162126444616e-24,1.6117883792820268e-72,2.4298378758371643e-78,1.822544047406856e-37,9.140692558044735e-69,1.0768492983384743e-77,5.521260817650064e-55,3.804520291279638e-57,9.479505808137341e-44,1.949549132507334e-68,1.2695122497762004e-54,3.689233579023398e-21,2.5273591224010585e-49,4.372712978277027e-59,1.3441522902725377e-101,1.0546404984040215e-20,2.0348594630885707e-78,7.690739812300062e-72,2.2250854107970085e-37,7.054122023417279e-52,5.506919783064359e-53,1.7117963074861133e-42,3.852347349547218e-85,5.493958170673355e-81,7.044427149477488e-60,3.229910606730551e-32,2.1306421632838985e-51,5.327986352148451e-71,2.4791399911604024e-109,7.825298236492731e-64,3.259836780140584e-20,3.4262453572811543e-25,4.5492306381956135e-97,2.782881498556453e-85,8.233501610299718e-42,2.415859073430078e-18,1.4313207184034633e-43,1.0334040595521523e-45,8.964975134101923e-82,1.106623585998623e-71,3.171936512262064e-58,5.147745240939468e-39,2.5481355878812204e-83,2.471444560328371e-70,4.154931296464422e-41,2.9160300189252673e-27,7.058559179018412e-61,1.9203543545450025e-32,8.809270135771314e-53,2.5636287374901052e-83,4.018062780645353e-71,7.274805669330149e-28,1.1177672234915882e-24,1.5092662241639128e-31,5.927772597310356e-22,3.6286180264408964e-20,8.509995959393983e-55,1.880563936455642e-23,8.62689786248796e-84,9.479411754929316e-87,3.5049696492541485e-36,8.135859712826248e-49,2.744360973682193e-115,6.021235299448169e-74,9.21655349756008e-92,5.642623678064522e-56,2.1267235107781007e-43,3.201981115233191e-72,6.622305164883674e-81,8.866145663433519e-51,9.956213893528663e-77,1.8681437941805538e-54,3.553924593826773e-80,1.4007708086546767e-44,3.509517449221952e-45,7.638795917216147e-27,2.5076954800968805e-99,3.950726312910878e-52,2.7309814650013225e-48,1.8163057986531084e-37,3.7914848109479745e-32,
0-1-1-1-1---,0.0,0.0,0.0,2.735940404519579e-13,4.224293967376868e-16,3.2723547576941613e-44,1.4126758699620834e-35,3.225960792539329e-45,5.666905820539351e-26,3.1210672465167226e-38,1.723661012068135e-40,3.1461894453932462e-24,5.100921894541294e-80,4.641575238627681e-11,2.0367812180405616e-77,4.717814384168195e-75,3.7404255714862865e-48,8.258631899722757e-12,7.075462883833524e-39,8.80241832764646e-54,1.0326869507326441e-34,1.7024973863928514e-17,2.1769074608137736e-33,6.198505973624275e-16,1.0317868411059012e-39,8.90698849316332e-68,2.4315365477884225e-64,1.7149225093550593e-99,7.475818660564226e-94,3.190214599578594e-28,1.3646781272267255e-25,5.1378306053508135e-15,1.8403763430303162e-27,4.108849561383512e-56,1.876640046198012e-09,2.223682864977695e-22,3.211098917720203e-17,1.1435414539616374e-60,5.285118786792236e-35,1.565858298763782e-59,5.668269050107244e-24,2.326621710586527e-61,7.951519922528541e-11,8.094374812804658e-32,2.3931220495158313e-43,7.97601886334875e-22,3.1945118341115566e-22,2.2835613162611584e-40,5.016651675221331e-37,8.845577088139326e-08,2.2259005255919935e-12,1.4805207051249034e-25,2.999886315120944e-08,1.8042482534260528e-72,6.03751614673559e-91,4.956159799240428e-29,3.4417583493816943e-44,3.665968802855352e-23,1.9371673318836953e-28,2.436835885261257e-53,3.880601381157406e-22,1.432766503694573e-65,1.1517810203834757e-13,6.3983472477571444e-46,5.2196899687851565e-39,5.393263531935299e-52,1.124401110820527e-70,1.8625155661979717e-65,1.2879426580580395e-34,7.986538020713216e-56,4.366623076143596e-57,7.17154446147587e-52,1.2702700189905454e-22,1.9559241458917336e-39,9.576613125631968e-10,2.175149551795975e-24,6.971961238685206e-24,5.8590467236925494e-27,0.00017947087576870654,3.0456205822682173e-07,3.27961044979659e-46,4.951598003857962e-40,1.563873041855861e-44,3.8838991481429855e-10,2.784914374201207e-38,5.439895632892961e-15,
0-1-1-0-1---,0.0,0.0,0.0,0.0,9.596462017289629e-30,5.31463871270285e-48,1.4520666065142332e-59,1.0500031864005935e-62,4.9801278886914135e-19,6.600505414713746e-60,1.2503299744634541e-63,4.83892476352067e-45,9.476080798670267e-54,1.2185823234971737e-19,8.863086769128446e-45,2.4764819704058456e-48,1.1115664781607692e-48,1.0441030874596861e-26,5.380227197255922e-25,1.2047468013424095e-64,9.152138371563988e-41,4.387937648828497e-50,7.026274915272052e-31,3.2588550597617666e-10,1.1241938651076456e-47,2.9283365192739803e-36,3.763991815180439e-33,1.6515120524995867e-73,4.366229075909398e-62,8.134500169457349e-49,4.95459970652586e-17,1.4705001509300947e-15,1.0457899049112758e-50,2.6477079397895473e-74,2.1169820284507004e-29,9.348268632275666e-22,1.2121125785452246e-32,3.84098980866035e-87,2.076414641981446e-53,6.9442823678894905e-31,4.723527595390985e-19,7.96293356578276e-31,1.2437343966548164e-24,1.049116826612427e-40,3.1265950983552927e-41,8.869111156897666e-25,1.6123949484055476e-23,1.5469058263508202e-41,1.1081586465201332e-62,1.3391013956589008e-11,5.13967802063261e-13,5.976265668505068e-38,2.5009897350388434e-09,7.761977328877006e-40,2.7318869399552425e-58,1.7933804985976459e-56,3.0594591408055683e-47,1.794594176246069e-35,7.18120510576055e-45,1.3813209252768406e-54,3.8704073476432514e-20,6.9213388162834496e-34,9.20466482347245e-20,1.9392334812881486e-49,4.5058184257309154e-39,1.8544627383360056e-46,1.1745708710084332e-38,5.663329191386553e-84,1.6568509089307675e-37,3.412205903219511e-58,3.313513493894931e-64,3.596270691678524e-27,3.332581978094817e-38,4.185731363590255e-42,1.106190473161623e-14,1.0440517673425007e-38,2.6643381119189327e-49,7.876941794348064e-57,6.926453158017677e-11,4.323622792525548e-12,2.8063286073847486e-29,3.1592097169981534e-59,7.658065189878827e-34,2.102566422884059e-10,4.818595808081384e-43,6.498480649220072e-13,
0-0-0-0-1-0-0-1,0.0,0.0,0.0,0.0,0.0,3.373489056923798e-33,5.521889827858949e-09,3.4027869671929533e-20,1.6492709313681675e-33,2.1491793407344356e-14,4.061185703195039e-13,1.2386314117020904e-08,1.404805090042882e-84,4.244002778076723e-17,7.035388851532507e-79,3.2273752392638955e-76,1.2950165431664054e-42,2.742309610194805e-10,7.397001014918012e-51,1.0041222641358035e-44,1.5986420028777947e-25,1.2073523731492984e-24,9.56952087162311e-45,3.081033594886234e-29,9.58406118763315e-25,4.0508247819138475e-71,1.575896079350391e-69,8.349333521183677e-95,2.0044498834437693e-91,4.3463451846956566e-05,2.2905720084164614e-26,1.691301051323738e-24,3.7414781456320943e-10,8.484902634220661e-44,1.7499307335465548e-14,9.543183759866977e-17,3.426256730854419e-18,2.4416201878975156e-27,4.531682825691015e-20,2.1625217387745094e-68,3.536077501532387e-32,2.3309425821475517e-66,2.4198862396982e-08,5.902272940393171e-31,2.8264797992913097e-46,4.905544977232759e-28,5.169466969415629e-27,4.094392349781978e-40,2.5664684731274445e-14,1.1901836862656916e-19,3.65535889195812e-24,1.0511857714749682e-16,7.423821791603127e-13,5.217704166220989e-75,5.839659721045966e-88,7.59386313822265e-10,3.34280807186968e-35,6.62525568693928e-18,1.0688765214456959e-23,6.021727831185053e-47,1.5565801929941468e-32,4.895260942097213e-70,8.22946501829762e-20,1.9206401999023998e-43,1.1406582698255011e-44,4.405781321485401e-58,1.3337479256313272e-73,5.354897338591359e-45,1.9335973070370095e-32,1.673459505720427e-51,5.646274283244409e-41,1.6558939970486627e-55,4.658050942385496e-19,5.644518535723052e-39,4.960270479889146e-25,1.7659590721467085e-21,7.24506608583815e-12,1.5093224561213853e-15,8.220682818706453e-20,4.231653188310787e-27,3.3555776192603003e-43,5.139490133964995e-32,3.6198425438255037e-56,8.171587567977933e-25,1.2000907098745742e-26,1.521688452321454e-32,
0-1-0-0-1-0-1-1,0.0,0.0,0.0,0.0,0.0,0.0,4.532962685443458e-52,1.427759750883097e-48,1.668219890990019e-46,1.2316454528273475e-39,9.642324119857081e-51,3.877642100495391e-45,1.8576425546124876e-67,8.124445772166998e-51,4.888631619905587e-83,1.601870721656486e-65,1.6270345873187982e-05,1.5909745751238452e-36,9.257818800456048e-73,1.2289856721052876e-106,6.889267358639158e-07,9.615936862003416e-72,8.47084150456638e-90,5.152662865018124e-52,5.185117410712833e-21,2.431052912718878e-74,2.2922624055311018e-68,2.840231178050953e-82,2.832086149318205e-90,3.157863716260933e-41,1.7549881352485367e-35,4.5226485757913445e-70,4.4160740308947204e-54,6.35735347981759e-108,1.2840987987665513e-61,5.3797005524657255e-21,1.575968830256209e-17,1.6497644307004186e-62,3.0441449125239816e-76,4.663157941073907e-65,1.5062128125136407e-24,7.319290938596116e-69,4.755065005914253e-45,5.350356046211427e-91,1.0854200248799822e-91,1.151386460286556e-74,1.4942234021976601e-59,2.742049573077762e-92,3.9060798974540685e-41,1.334701392010873e-53,9.448480225049577e-44,5.755296084048296e-41,1.7445447074160903e-33,2.92897760116379e-76,5.5950880495525325e-92,7.711480655206306e-48,0.003003560993674651,1.6970859875234893e-18,6.141102316415046e-26,1.3744053140085778e-06,7.22627021352887e-28,1.2589526703533217e-75,1.4099123256149614e-20,3.7929100239829833e-97,1.6095813759940538e-100,8.273604997875065e-31,9.552202409299e-74,2.3015607327627412e-111,7.950845032640323e-86,1.3182210713132412e-104,6.261882563057751e-18,1.0672943191508974e-64,4.347896131040067e-76,3.8644114974875996e-94,6.553883966184699e-67,1.8500409597429292e-79,6.920921658981651e-38,3.7216148197362724e-59,1.2215341803237051e-55,1.0458033975168409e-63,7.398059532129578e-33,2.0361702424715232e-99,5.004211576697875e-52,2.5295436622371624e-65,9.906055215626817e-42,6.239015321472143e-52,
0-0-1-1-0-0-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.854835933497552e-22,4.5449189493835016e-66,6.459132585997407e-13,4.8465075402088993e-08,3.9416537241526863e-07,8.713199999700654e-132,1.949142745338333e-32,1.811085325281398e-126,4.273768232089474e-120,7.304710696432879e-66,1.3953576148775219e-24,1.2146989330128503e-89,2.0759270045627314e-43,1.525529283732655e-39,3.4537588769669617e-29,3.326182095436882e-69,1.7057437023470088e-61,8.911284663384242e-41,9.51736977165812e-115,3.868794082512537e-113,6.44113549503633e-141,5.209649398125912e-141,0.003741479374177214,2.1321802091759518e-57,6.40004962759637e-40,1.4314178360888713e-08,2.9367792662846685e-40,6.01109304759158e-24,1.2011557580049637e-37,5.5072956096709756e-33,1.1895303017715272e-17,2.292720600152911e-17,1.2095550468497128e-114,4.185763210442021e-61,2.827681664095829e-108,2.6963827680601194e-15,1.1963196408627546e-35,1.3149787166235353e-55,5.380013290745815e-38,5.0603877489978856e-40,5.1620223459319215e-47,6.457719685903669e-11,3.505529312521857e-38,2.2583635261540213e-38,1.8229700584304194e-31,7.373746894464332e-20,2.70815893508294e-119,6.30985123027716e-136,1.8559054960607506e-06,5.478872324403672e-54,6.185933139936604e-28,7.175975168780279e-33,2.0024114647819414e-68,1.4206700642387607e-63,5.832153757788589e-114,1.458855542390161e-41,1.614187714856579e-48,7.523220682686627e-55,2.093106167646354e-92,2.8087250969598108e-117,1.4272382465320248e-36,5.052939264039323e-38,1.502360016532603e-54,2.028892882038554e-54,1.0667565676195087e-95,5.145039751104166e-22,7.824088642292464e-45,4.8152649551134174e-42,3.100801575913734e-24,2.371208544436107e-11,1.1163142283521487e-14,5.800418732603983e-41,1.1962509443627087e-47,1.824823612446222e-67,2.0999661837605327e-30,8.766028749852508e-98,3.3138654277351913e-46,1.9203069392129698e-33,2.9663685942821e-56,
0-1-0-1-0-1-0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5002401751336733e-69,1.1210871150144814e-06,4.2089390500152983e-07,1.035498124315839e-34,1.607253282860297e-115,4.1730390235510675e-53,1.4355853402112628e-113,7.252107271641505e-106,4.436202247005441e-63,4.173237939351474e-18,1.0330631483244226e-89,1.318790140284703e-79,3.445928367398647e-48,5.296262508639326e-48,3.9644039759972685e-87,6.793499149727719e-64,1.6635195075149178e-21,8.487442616726512e-107,6.354577708595372e-107,3.8181670519081203e-122,6.510355576177007e-126,6.8561573091517414e-18,4.694345060632155e-47,1.1626979783148686e-60,4.715218751016358e-17,9.088975172962853e-78,1.1386090197642629e-36,1.841548426552211e-42,1.3256518881782858e-42,6.299211608366461e-13,1.0295408665440345e-33,1.6757458230427143e-104,3.568675096428027e-56,2.681392709631387e-103,3.443971652813283e-29,9.080207605016847e-64,1.5021866764050503e-87,5.450329043109956e-65,1.1214086771212573e-70,3.2784202387088387e-69,1.6063075185577988e-13,2.6407451360645588e-56,1.3727558573424803e-54,2.353219671257318e-12,1.7063797945332984e-20,1.6979670320255161e-112,4.090329704831235e-120,6.167019113882205e-16,2.8773653262566073e-44,4.621704501960826e-47,1.9565470506102291e-59,8.440572107044419e-70,1.991107163230262e-62,1.896436493165657e-105,4.300122589037377e-39,1.6811906045427215e-83,3.9044563739841024e-78,1.045143365399106e-80,6.73942889205193e-111,3.880281455541877e-78,1.1365015493724265e-65,6.293481647199883e-91,6.183821214890358e-33,7.000924812314592e-92,1.1387129573163437e-49,7.159593594117049e-76,9.513941655519469e-60,2.898303930700537e-49,1.9685337209568503e-31,1.910099530799718e-17,2.0090170793830278e-46,1.6669768195663827e-63,1.0709813332517206e-58,4.7530080930487224e-60,1.392106962133937e-76,1.8291395724920285e-61,8.224957745559601e-60,6.682521496280928e-65,
0-1-0-1-1-0-1-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2642888416203263e-66,6.053615148061094e-70,1.752986830334003e-55,6.98514381525903e-37,4.689141949401146e-24,5.192410588401616e-41,1.385879040981046e-29,3.1763785463565067e-51,5.057738780362343e-38,1.897869347357576e-07,3.8248809097484396e-76,4.749222527406683e-48,6.280473305726076e-65,2.6364901051337394e-29,4.701610476317102e-07,7.19657655514207e-46,2.085185447797605e-35,1.8179669833872373e-30,2.662426186577187e-41,1.469593330797243e-46,1.4632684196774179e-50,5.908572486476916e-14,5.4798592237923105e-37,1.5317522913151107e-60,9.419967830346545e-80,9.083930320618606e-46,1.3814287991586634e-19,3.372611238767323e-41,1.1842799379984656e-90,1.1651743702825139e-62,3.199745511045116e-26,1.5522731279866274e-16,9.888553439917434e-33,2.1635967311772644e-39,6.450577424861598e-59,1.0542945215937409e-60,8.220366824205543e-47,3.3029402126343786e-39,7.284359773002208e-58,2.8553504384482234e-69,4.627915633276964e-26,2.3377269810336893e-27,2.0609771838684783e-45,2.6933356239202365e-22,3.937354293724399e-35,1.1174373284601164e-52,1.0039228172180651e-62,7.506203632961978e-49,1.3897968984879971e-46,7.748802360761238e-51,8.306641019565274e-58,3.9109238001162374e-16,3.7707865678618633e-35,3.311297779117211e-33,1.8315473017093646e-63,3.5356809031792463e-60,2.3359613506737565e-37,1.732062636531188e-34,1.922005422578476e-90,6.172342912264805e-56,4.1150574112433436e-74,2.9365437566941867e-62,2.4530735501813817e-22,2.6042166377716418e-54,2.794174352756994e-60,3.3357535540771176e-36,1.0407054680463634e-55,3.1210542518385685e-59,2.267661807355707e-68,1.7688462904697458e-27,2.048643524775897e-32,1.5709997938705744e-19,6.494265979517198e-72,3.4246345937193654e-32,8.457200219906577e-25,3.422704821815059e-58,2.6379854276074086e-21,
0-0-0-0-0-1-1-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015938158286776757,2.2697407417775185e-23,2.029580491213431e-117,5.634787254922156e-47,2.906317371502761e-117,1.1246650620115818e-107,1.6777735510868227e-52,6.208285574126901e-15,4.0631218902125525e-91,6.387105971267058e-76,6.295025802515175e-36,4.263911663632406e-37,5.0695445822989595e-86,1.3084718039420331e-62,1.0380602567913585e-21,8.274255888347518e-109,2.1426323585682122e-107,6.161741512675858e-126,7.622364068958915e-130,2.3288925378926845e-10,1.1740284742300064e-46,9.758116162268581e-57,9.610172192858281e-13,2.692655049327809e-72,5.5260259550308375e-31,6.184816461102846e-34,1.3140378413260718e-28,3.218842218664288e-07,1.4558629362044985e-32,2.4128559440269452e-105,2.174407242906663e-52,8.120868261801676e-104,1.1091694042883869e-20,1.2088562939827259e-60,9.389962695992248e-82,2.3095812265955008e-59,1.4955191980555911e-61,1.6207911113275453e-68,0.0027762175537198435,2.96111790253337e-49,3.3571144067064413e-48,1.0605954966429638e-12,1.3157175210859633e-20,7.965113445225921e-114,2.9642406678539677e-125,1.1753013530058769e-06,1.5757786325492442e-38,6.970155391042696e-33,7.828863734819992e-43,1.1374655926539648e-57,3.6375812854560477e-56,8.087854706112498e-108,1.428852799502943e-31,5.729617820461039e-79,2.9691896984977983e-77,1.8016304453698663e-76,5.763680116960998e-112,5.847235062834905e-73,1.0358444017446626e-62,2.9987982728597776e-86,1.5683574083975945e-31,8.470323377953075e-92,2.8418116848706115e-44,2.0703963451822204e-72,1.3240725800667923e-54,1.360289948184431e-44,1.6381884683675906e-16,7.502621066831574e-11,5.941839887474225e-43,5.507272730709843e-57,1.4816877143319836e-58,9.272227085470542e-57,1.8894312054634779e-78,2.7942980540775502e-58,2.6011873346130454e-47,1.2295439808861168e-60,
