,0-1-0-0-0-0-1-1,0-1-1-0-0---,0-1-1-1-1---,0-1-1-0-1---,0-0-0-0-1-0-0-1
0-1-0-0-0-0-1-1,0.0,7.350797404949935e-212,9.612454574943292e-286,1.3985472259198e-226,1.1014939649033006e-224
0-1-1-0-0---,0.0,0.0,3.2168657602787737e-41,8.029482332880891e-29,1.6968276462582552e-54
0-1-1-1-1---,0.0,0.0,0.0,8.933117028850381e-28,1.7464510373753577e-28
0-1-1-0-1---,0.0,0.0,0.0,0.0,5.974436507154043e-50
0-0-0-0-1-0-0-1,0.0,0.0,0.0,0.0,0.0
