left_Class,left_Hemisphere,left_ID,left_Name,left_name,left_simple_class,right_Class,right_Hemisphere,right_ID,right_Name,right_name,right_simple_class
KCs,left,16058860,KC100,16058860,KC,KCs,right,11813287,KC100,11813287,KC
KCs,left,11725127,KC12,11725127,KC,KCs,right,4230061,KC12,4230061,KC
KCs,left,14898816,KC13,14898816,KC,KCs,right,4230739,KC13,4230739,KC
KCs,left,16039470,KC14,16039470,KC,KCs,right,4241192,KC14,4241192,KC
KCs,left,12726582,KC16,12726582,KC,KCs,right,4415241,KC16,4415241,KC
KCs,left,11691603,KC17,11691603,KC,KCs,right,4444354,KC17,4444354,KC
KCs,left,8262302,KC21,8262302,KC,KCs,right,5051342,KC21,5051342,KC
KCs,left,16630941,KC22,16630941,KC,KCs,right,5835799,KC22,5835799,KC
KCs,left,16630264,KC25,16630264,KC,KCs,right,5836163,KC25,5836163,KC
KCs,left,16629788,KC34,16629788,KC,KCs,right,7786053,KC34,7786053,KC
KCs,left,11725803,KC42,11725803,KC,KCs,right,8066542,KC42,8066542,KC
KCs,left,16627838,KC49?,16627838,KC,KCs,right,8413663,KC49,8413663,KC
KCs,left,6704232,KC54,6704232,KC,KCs,right,8559607,KC54,8559607,KC
KCs,left,5937084,KC65;_42a left,5937084,KC,KCs,right,8850802,KC65;_42a right,8850802,KC
KCs,left,16939375,KC67,16939375,KC,KCs,right,8924186,KC67,8924186,KC
KCs,left,4117305,KC72,4117305,KC,KCs,right,16720240,KC72,16720240,KC
KCs,left,16631114,KC78?,16631114,KC,KCs,right,9556700,KC78,9556700,KC
KCs,left,15722867,KC82,15722867,KC,KCs,right,9609048,KC82,9609048,KC
KCs,left,16977881,KC90,16977881,KC,KCs,right,9796812,KC90,9796812,KC
KCs,left,7187384,Thermo KC B_left - mbi2 - unknown,7187384,KC,KCs,right,3664102,Thermo KC B_right - mbi2 - unknown,3664102,KC
ORN mPNs,left,2612527,mPN iACT C2 left,2612527,P,ORN mPNs,right,4391978,mPN iACT C2 right,4391978,P
tPNs,left,4260935,PN Only Connects To Togethers Left,4260935,P,tPNs,right,3756659,PN Only Connects To Togethers Right,3756659,P
ORN mPNs,left,2568465,mPN iACT B1_left,2568465,P,ORN mPNs,right,10167078,mPN iACT B1_right,10167078,P
ORN mPNs,left,8509534,mPN cobra left,8509534,P,ORN mPNs,right,16515871,mPN cobra right,16515871,P
ORN mPNs,left,8276782,mPN iACT A1 left,8276782,P,ORN mPNs,right,4119387,mPN iACT A1 right,4119387,P
vPNs,left,9567051,PVL09 left,9567051,P,vPNs,right,9539868,PVL09 right,9539868,P
ORN mPNs,left,9589146,mPN iACT C1 left,9589146,P,ORN mPNs,right,7503199,mPN iACT C1 right,7503199,P
MBINs,left,8689674,MBE10a left,8689674,I,MBINs,right,8319311,MBE10a right,8319311,I
MBINs,left,17295912,MBE10b left,17295912,I,MBINs,right,16353832,MBE10b right,16353832,I
MBINs,left,14541927,AVM011f left,14541927,I,MBINs,right,4235139,AVM011f right,4235139,I
MBINs,left,12475432,MBE24a left,12475432,I,MBINs,right,3890028,MBE24a right,3890028,I
MBINs,left,4381129,MBE19 left,4381129,I,MBINs,right,15404207,MBE19 right,15404207,I
MBON,left,8877158,MBE7a left,8877158,O,MBON,right,10163418,MBE7a right,10163418,O
MBON,left,17355757,MBE7b left,17355757,O,MBON,right,15617305,MBE7b right,15617305,O
MBON,left,17147698,MBE11a left,17147698,O,MBON,right,8094859,MBE11a right,8094859,O
MBON,left,16782830,MBE11b left,16782830,O,MBON,right,9469519,MBE11b right,9469519,O
MBON,left,16883909,MBE33 left,16883909,O,MBON,right,4234009,MBE33 right,4234009,O
MBON,left,7055857,MBE6 left,7055857,O,MBON,right,4241237,MBE6 right,4241237,O
MBON,left,15810983,MBE30 left,15810983,O,MBON,right,6699205,MBE30 right,6699205,O
MBON,left,9109799,MBE35 left,9109799,O,MBON,right,9074101,MBE35 right,9074101,O
MBON,left,14082322,MBE9b left,14082322,O,MBON,right,7840791,MBE9b right,7840791,O
MBON; CN,left,8922644,MBE16 left,8922644,O,MBON; CN,right,8297018,MBE16 right,8297018,O
MBON,left,15253921,MBE34 left,15253921,O,MBON,right,4598109,MBE34 right,4598109,O
MBON,left,4401350,MBE15a left,4401350,O,MBON,right,4598363,MBE15a right,4598363,O
MBON,left,5395823,MBE15b left,5395823,O,MBON,right,11524047,MBE15b right,11524047,O
MBON,left,8338584,MBE13a left,8338584,O,MBON,right,4195012,MBE13a right,4195012,O
MBON,left,8798010,MBE13b left,8798010,O,MBON,right,4230749,MBE13b right,4230749,O
MBON,left,7802210,MBE5a left,7802210,O,MBON,right,16797672,MBE5a right,16797672,O
MBON,left,15421363,MBE2a left,15421363,O,MBON,right,3299214,MBE2a right,3299214,O
MBON,left,16846805,MBE5b left,16846805,O,MBON,right,18028397,MBE5b right,18028397,O
MBON; CN,left,15398730,MBE23 left,15398730,O,MBON; CN,right,6703240,MBE23 right,6703240,O
MBON,left,7910624,MBE2as left,7910624,O,MBON,right,7897469,MBE2as right,7897469,O
OANs,left,7983899,MBE9a left,7983899,I,OANs,right,7616956,MBE9a right,7616956,I
tPNs,left,8293958,Suckerfish PN left,8293958,P,tPNs,right,3869488,Suckerfish PN right,3869488,P
ORN mPNs,left,6451332,mPN D left,6451332,P,ORN mPNs,right,3538129,mPN D right,3538129,P
ORN mPNs,left,5261424,mPN iACT A2 left,5261424,P,ORN mPNs,right,4679139,mPN iACT A2 right,4679139,P
ORN mPNs,left,3450442,mPN iACT B2 left,3450442,P,ORN mPNs,right,4700078,mPN iACT B2 right,4700078,P
ORN mPNs,left,8704079,mPN iACT B3 left,8704079,P,ORN mPNs,right,16735586,mPN iACT B3 right,16735586,P
ORN mPNs,left,3712893,mPN iACT bilateral LOWER left,3712893,P,ORN mPNs,right,11543212,mPN iACT bilateral LOWER right,11543212,P
ORN mPNs,left,16795838,mPN iACT bilateral UPPER left,16795838,P,ORN mPNs,right,16795524,mPN iACT bilateral UPPER right,16795524,P
ORN mPNs,left,8480221,mPN seahorse left,8480221,P,ORN mPNs,right,4324898,mPN seahorse right,4324898,P
