Class,Hemisphere,ID,Name,name,simple_class
KCs,left,11691640,KC no claws,11691640,KC
KCs,left,14255342,KC no claws,14255342,KC
KCs,left,15691114,KC no claws,15691114,KC
KCs,left,15722306,KC no claws,15722306,KC
KCs,left,16627950,KC no claws,16627950,KC
KCs,left,8318678,KC no claws,8318678,KC
KCs,left,11785627,KC no pair,11785627,KC
KCs,left,12217572,KC no pair,12217572,KC
KCs,left,14319960,KC no pair,14319960,KC
KCs,left,14460113,KC no pair,14460113,KC
KCs,left,14519048,KC no pair,14519048,KC
KCs,left,14522124,KC no pair,14522124,KC
KCs,left,14898295,KC no pair,14898295,KC
KCs,left,15721919,KC no pair,15721919,KC
KCs,left,15734988,KC no pair,15734988,KC
KCs,left,15861524,KC no pair,15861524,KC
KCs,left,16015738,KC no pair,16015738,KC
KCs,left,16017113,KC no pair,16017113,KC
KCs,left,16210988,KC no pair,16210988,KC
KCs,left,16435965,KC no pair,16435965,KC
KCs,left,16438190,KC no pair,16438190,KC
KCs,left,16440649,KC no pair,16440649,KC
KCs,left,16440704,KC no pair,16440704,KC
KCs,left,16444327,KC no pair,16444327,KC
KCs,left,16627773,KC no pair,16627773,KC
KCs,left,16627861,KC no pair,16627861,KC
KCs,left,16629757,KC no pair,16629757,KC
KCs,left,16629931,KC no pair,16629931,KC
KCs,left,16630024,KC no pair,16630024,KC
KCs,left,16630385,KC no pair,16630385,KC
KCs,left,16631222,KC no pair,16631222,KC
KCs,left,16631248,KC no pair,16631248,KC
KCs,left,17147410,KC no pair,17147410,KC
KCs,left,3819157,KC no pair,3819157,KC
KCs,left,3819171,KC no pair,3819171,KC
KCs,left,4134539,KC no pair,4134539,KC
KCs,left,4411505,KC no pair,4411505,KC
KCs,left,4412036,KC no pair,4412036,KC
KCs,left,4518546,KC no pair,4518546,KC
KCs,left,6702830,KC no pair,6702830,KC
KCs,left,8177991,KC no pair,8177991,KC
KCs,left,8248706,KC no pair,8248706,KC
KCs,left,8262503,KC no pair,8262503,KC
KCs,left,8263140,KC no pair,8263140,KC
KCs,left,8263285,KC no pair,8263285,KC
KCs,left,8393981,KC no pair,8393981,KC
KCs,left,8513389,KC no pair,8513389,KC
KCs,left,8864096,KC no pair,8864096,KC
KCs,left,8865199,KC no pair,8865199,KC
KCs,left,9983191,KC no pair,9983191,KC
KCs,left,15691118,KC young no claw,15691118,KC
KCs,left,10455234,KC young no claws,10455234,KC
KCs,left,15764960,KC young no claws,15764960,KC
KCs,left,15788431,KC young no claws,15788431,KC
KCs,left,16220042,KC young no claws,16220042,KC
KCs,left,16448930,KC young no claws,16448930,KC
KCs,left,16448971,KC young no claws,16448971,KC
KCs,left,16448979,KC young no claws,16448979,KC
KCs,left,15691122,KC young,15691122,KC
KCs,left,4412315,KC2/24,4412315,KC
KCs,left,8262372,LON KC left,8262372,KC
KCs,left,8118474,Thermo KC A_Left   -   Mushroom Body  Right,8118474,KC
ORN mPNs,left,9119558,mPN iACT VUM L,9119558,P
