,binarize,graph_type,param_key,res,seed,threshold,modularity
110,False,G,CrosbyCecropia,0.4,17023466,2,0.5184818054154846
111,False,G,JoyceCaucasus,0.4,34969884,3,0.5345331598493656
112,False,G,EddieIreland,0.5,37479644,0,0.5160402673221248
113,False,G,AthensFalmouth,0.5,78349022,1,0.5269166817912142
114,False,G,MeredithNewport,0.5,3720667,2,0.5463808008822646
115,False,G,NorwalkMalagasy,0.5,5119204,3,0.5474644481274779
116,False,G,LebaneseEcole,0.6,99377175,0,0.525036553037626
117,False,G,GrimaldiBangui,0.6,41683923,1,0.5341769737383398
118,False,G,NetherlandsHartford,0.6,15102528,2,0.5564200983009652
119,False,G,GurkhaFoss,0.6,93136046,3,0.5658621165101906
120,False,G,BrockBudweiser,0.7,91478932,0,0.5370245375901604
121,False,G,MagnusonBlythe,0.7,52745088,1,0.5553758621954058
122,False,G,AlcmenaMoines,0.7,88592777,2,0.5647010363977542
123,False,G,BerglandHawley,0.7,53813682,3,0.5648639506125069
124,False,G,FaulknerDougherty,0.8,11172214,0,0.5438202547968911
125,False,G,FaustSony,0.8,5713577,1,0.5559884710710337
126,False,G,DominicanDaley,0.8,3755170,2,0.5642094938637189
127,False,G,OlsenKay,0.8,74702918,3,0.5713821288608855
128,True,G,HondurasRangoon,0.1,78392769,0,0.26282045079570615
129,True,G,EliotNotre,0.1,91455111,1,0.3054462443945597
130,True,G,ConklinAngles,0.1,37268267,2,0.311964608058086
131,True,G,VicksburgVarian,0.1,36942860,3,0.3248802731623263
132,True,G,CharlotteVancouver,0.2,91350060,0,0.3743861971219601
133,True,G,RaymondCreole,0.2,69030306,1,0.41678240541272027
134,True,G,SchmittMeistersinger,0.2,86385548,2,0.4072587398655206
135,True,G,ScotsmanMoravia,0.2,91147445,3,0.41672055796964064
136,True,G,RheaBridgeport,0.3,22684489,0,0.421370760810455
137,True,G,HeraBritten,0.3,92684773,1,0.44889496486209485
138,True,G,EmilRwanda,0.3,60123733,2,0.47576197849822344
139,True,G,LopezBacchus,0.3,39661278,3,0.47842539732154904
140,True,G,FalklandIsaac,0.4,41723323,0,0.4511193610472947
141,True,G,LeilaMcKnight,0.4,56411020,1,0.4758990063659522
142,True,G,SantiagoBuddhist,0.4,45198829,2,0.49363158781402033
143,True,G,MinskyNanking,0.4,16894596,3,0.5084120427824086
144,True,G,FrankfurtShawnee,0.5,41665374,0,0.4845944534958605
145,True,G,PhillipIndianapolis,0.5,71277162,1,0.5000586669044088
146,True,G,WymanKhartoum,0.5,2464214,2,0.5102150611139916
147,True,G,HelmutLeavenworth,0.5,27308143,3,0.5245437238577053
148,True,G,ArabApollo,0.6,13171781,0,0.49494779557809326
149,True,G,AltairWichita,0.6,25657354,1,0.5202373034088268
150,True,G,EpsomBrookhaven,0.6,68271291,2,0.5289049021194009
151,True,G,ClaraEtruscan,0.6,6134524,3,0.5391051830800192
152,True,G,AtroposParthia,0.7,51680103,0,0.5044813668673548
153,True,G,LounsburyTutankhamen,0.7,11250994,1,0.5302287497054233
154,True,G,CalvaryBrooke,0.7,27447707,2,0.5381271520444861
155,True,G,AgnesAngus,0.7,66151422,3,0.5404520690958889
156,True,G,HeisenbergFoxhall,0.8,6141314,0,0.5189381933155331
157,True,G,BlackfootBoltzmann,0.8,34482434,1,0.5309892991388191
158,True,G,HanoverianCapistrano,0.8,23326145,2,0.5505274768343285
159,True,G,ZoroasterPhoenicia,0.8,57697278,3,0.5530732150023129
160,False,G,KeyesStanton,0.1,17087156,0,0.29939601265482496
161,False,G,CortezMillard,0.1,30537345,1,0.31074899237043485
162,False,G,EliLubell,0.1,8974390,2,0.3280162874314978
163,False,G,KathleenSelwyn,0.1,16422502,3,0.343477964017476
164,False,G,BlomquistKankakee,0.2,39446951,0,0.42474834667309413
165,False,G,SweeneyIndianapolis,0.2,51895345,1,0.4323789454665664
166,False,G,PalomarGoodyear,0.2,65748855,2,0.4421347772814593
167,False,G,BatemanMicky,0.2,25025938,3,0.45562376402509663
168,False,G,MartinezSimon,0.3,66751403,0,0.47553368692986564
169,False,G,CanopusNixon,0.3,82501258,1,0.48744132637456383
170,False,G,EdinburghNetherlands,0.3,99141107,2,0.5047634917498798
171,False,G,JacobusHugo,0.3,27111501,3,0.5173524244241201
172,False,G,LibraVirgil,0.4,31729369,0,0.4954433722702422
173,False,G,MaltonLares,0.4,12919189,1,0.5101533493364072
174,False,G,CrimeaMirfak,0.4,6982310,2,0.5252136709574345
175,False,G,NullstellensatzYokohama,0.4,26133111,3,0.5340122487847392
176,False,G,ThraceArmata,0.5,25575302,0,0.512910326057881
177,False,G,MyronEarthman,0.5,43298430,1,0.5257636960783297
178,False,G,WoodardDempsey,0.5,42833494,2,0.5445553355539181
179,False,G,FeliciaSchoenberg,0.5,27475559,3,0.5475398238819179
180,False,G,ParthenonAztec,0.6,73441596,0,0.5384972423056018
181,False,G,CooleyPlatte,0.6,30660084,1,0.5383976755659483
182,False,G,TexasInjun,0.6,93986588,2,0.557601974580745
183,False,G,BillikenDalhousie,0.6,97127963,3,0.5639921797202593
184,False,G,NegroidCajun,0.7,36727137,0,0.5406521588269155
185,False,G,EphraimAddressograph,0.7,62247888,1,0.5518408017395937
186,False,G,CardiffGino,0.7,53944452,2,0.5637687092219551
187,False,G,EvelynUrquhart,0.7,76337441,3,0.5745365279555465
188,False,G,GalatiaQatar,0.8,47667016,0,0.5402721504874711
189,False,G,EllwoodRamada,0.8,60768955,1,0.5563049226454488
190,False,G,FiskEros,0.8,63126055,2,0.5641942505560394
191,False,G,WelchBambi,0.8,81160220,3,0.5726501734707685
192,True,G,SewardLouisiana,0.1,41240726,0,0.26395088700137204
193,True,G,ArgonautUruguay,0.1,1382269,1,0.3020309857258206
194,True,G,PaulYpsilanti,0.1,1495172,2,0.3149048096164978
195,True,G,EdmontonBlinn,0.1,48908966,3,0.33235286392505387
196,True,G,ChamplainNorris,0.2,84443788,0,0.3781350874996247
197,True,G,MorleyAllentown,0.2,27009316,1,0.40689228020466367
198,True,G,CanaveralSri,0.2,21030528,2,0.41431742319400733
199,True,G,MediterraneanManchester,0.2,40607900,3,0.41285965566280824
200,True,G,KelloggNormandy,0.3,28133313,0,0.4213988060595771
201,True,G,LiberiaAngelica,0.3,62354414,1,0.45059439856680156
202,True,G,LexingtonOtto,0.3,80820817,2,0.47443544702280593
203,True,G,MonroviaCatalonia,0.3,72508437,3,0.48131205783489034
204,True,G,ReidBrennan,0.4,29793703,0,0.461832561759528
205,True,G,WyethAegean,0.4,62814653,1,0.4737575978082096
206,True,G,GaussianShakespearian,0.4,21205241,2,0.48670216165144714
207,True,G,AvignonArkansas,0.4,23945260,3,0.5019453992813439
208,True,G,HodgesMoslem,0.5,23646759,0,0.47888607593411436
209,True,G,EzekielBromley,0.5,54723700,1,0.5020632177074922
210,True,G,WigginsDane,0.5,95045858,2,0.5141546208896722
211,True,G,DarwinFarrell,0.5,71336211,3,0.5241404187351307
212,True,G,StephensonHerbert,0.6,92973387,0,0.49745295657570165
213,True,G,PoissonGanymede,0.6,60563697,1,0.5171938147600286
214,True,G,LizzieKant,0.6,7568576,2,0.5219610023527077
215,True,G,FentonRudolph,0.6,60828501,3,0.5299250138920337
216,True,G,DeimosRumford,0.7,25099133,0,0.5067338001803585
217,True,G,OceaniaBurlington,0.7,58848359,1,0.5345957942188649
218,True,G,ArkansasLucas,0.7,56773913,2,0.5395209022963825
219,True,G,FrederickChristendom,0.7,29369114,3,0.540527138028319
220,True,G,AmadeusBundoora,0.8,78706282,0,0.5189439622429357
221,True,G,ClintMichelson,0.8,26657786,1,0.5343769114269065
222,True,G,CavinessCardiff,0.8,1667187,2,0.5451119172203105
223,True,G,IndiaEthel,0.8,47905649,3,0.5538439312160778
224,False,G,StrombergColumbus,0.1,56586982,0,0.29260094465439856
225,False,G,MetcalfFulbright,0.1,35840551,1,0.3146212422983794
226,False,G,MorrisonKnutsen,0.1,61549200,2,0.3364557915303145
227,False,G,PontiacHenrietta,0.1,3392327,3,0.3435154237522916
228,False,G,KarachiJapan,0.2,42259927,0,0.4286720581274948
229,False,G,FoxhallGoldwater,0.2,26230147,1,0.4259536388315831
230,False,G,ShastaBaylor,0.2,40111424,2,0.4483125573827809
231,False,G,MenorcaLondon,0.2,3751219,3,0.45836745665832984
232,False,G,TexacoShelton,0.3,29536669,0,0.47210482407402093
233,False,G,DearbornFredericton,0.3,86370701,1,0.4874821353680325
234,False,G,ThruwayMalagasy,0.3,79861204,2,0.5043240254630422
235,False,G,SanfordLancelot,0.3,8617710,3,0.512897252916995
236,False,G,MahoneyHereford,0.4,96617826,0,0.49432134932623145
