,Prop. edges left,Prop. paired edges symmetric,Prop. synapses left,threshold
0,1.0,0.18722186904005086,1.0,0
1,0.335475234270415,0.524330900243309,0.6540766550522648,1
2,0.20883534136546184,0.7256637168141593,0.5332404181184669,2
3,0.14805890227576973,0.8557046979865772,0.4535191637630662,3
4,0.11834002677376171,0.9134199134199135,0.40334494773519164,4
5,0.09129852744310575,0.9485714285714286,0.3464808362369338,5
6,0.07362784471218206,0.9642857142857143,0.3053658536585366,6
7,0.05756358768406961,0.9907407407407407,0.2607665505226481,7
8,0.04257028112449799,0.9875,0.21156794425087108,8
9,0.032396251673360105,0.9836065573770492,0.1737979094076655,9
10,0.024096385542168676,1.0,0.1378397212543554,10
11,0.01713520749665328,1.0,0.10578397212543554,11
12,0.01178045515394913,1.0,0.07860627177700348,12
13,0.008032128514056224,1.0,0.05853658536585366,13
14,0.00642570281124498,1.0,0.04989547038327526,14
15,0.005890227576974565,1.0,0.04752613240418119,15
16,0.004819277108433735,1.0,0.04069686411149826,16
17,0.00321285140562249,1.0,0.03177700348432056,17
18,0.002677376171352075,1.0,0.027595818815331012,18
19,0.001606425702811245,1.0,0.018815331010452963,19
20,0.000535475234270415,1.0,0.009477351916376307,20
