,Prop. edges left,Prop. paired edges symmetric,Prop. synapses left,threshold
0,1.0,0.3656316483989982,1.0,0
1,0.6523368171958194,0.5745632824027798,0.9048354187133619,1
2,0.4782883060540327,0.6972708187543737,0.8181994839629058,2
3,0.3686057976730428,0.7774819322936478,0.7414254715046044,3
4,0.2927233287320055,0.8344043499752842,0.6730073735007395,4
5,0.23717215539341352,0.87687265917603,0.6116550972157747,5
6,0.19150069019917176,0.9022526934378061,0.5526185104017101,6
7,0.15695129165845,0.9210716871832005,0.5007934880005181,7
8,0.1328534805758233,0.9414985590778098,0.45912187327942655,8
9,0.11106290672451193,0.9541984732824428,0.41702922410908033,9
10,0.09274304870834155,0.9628547579298832,0.37799717151216145,10
11,0.0793729047525143,0.9711067580803134,0.34666789018557903,11
12,0.06852691776769868,0.9789293849658315,0.31893899318787855,12
13,0.05882468941037271,0.9820598006644519,0.2919442075375962,13
14,0.05036481956221653,0.9813809154383243,0.26669293633743213,14
15,0.043679747584302896,0.9829901521933752,0.24469118742510446,15
16,0.03788207454151055,0.984504132231405,0.22411987606473135,16
17,0.03245908104910274,0.9879227053140096,0.20408295458225825,17
18,0.028436205876552947,0.9917127071823204,0.18809983914324888,18
19,0.024788010254387694,0.9920760697305864,0.1729587926027486,19
20,0.021987773614671663,0.9946332737030411,0.16033315700266657,20
