,Prop. edges left,Prop. paired edges symmetric,Prop. synapses left,threshold
0,1.0,0.3410974631583914,1.0,0
1,0.595935312122527,0.576961271102284,0.8741139934234563,1
2,0.41756282909781756,0.7105111452728671,0.7737486298867373,2
3,0.31322489474733495,0.7961667787491594,0.6910814760686883,3
4,0.24487809454562512,0.8518091521816247,0.6213372305443917,4
5,0.19613936742855131,0.8913264729164311,0.5604859335038364,5
6,0.15647758323462843,0.9154464542061441,0.5025246620387286,6
7,0.1273821111515052,0.9310222222222222,0.45292656192911945,7
8,0.10633157814497309,0.947798066595059,0.4120058458165875,8
9,0.08799005523566042,0.9600313479623824,0.37181220314212643,9
10,0.07353027406738516,0.967367430185127,0.33654731457800513,10
11,0.06210786785659837,0.9746457867263236,0.30588966021191083,11
12,0.05273774202249299,0.981057268722467,0.2783595177201315,12
13,0.04545507851438355,0.9826086956521739,0.25526123492875413,13
14,0.0388643266761267,0.9856201318154584,0.23255023748629886,14
15,0.033786398658395,0.9868965517241379,0.21350748995250274,15
16,0.029165835981752295,0.9896,0.19502740226525392,16
17,0.025084729861265847,0.9934762348555451,0.17786627694556084,17
18,0.02200044563802465,0.9936238044633369,0.1639788089148703,18
19,0.019162435059985224,0.9951159951159951,0.15059554256485203,19
20,0.016922517620292947,0.995850622406639,0.1393496529046401,20
