,Prop. edges left,Prop. paired edges symmetric,Prop. synapses left,threshold
0,1.0,0.27458441818545964,1.0,0
1,0.4939503456945317,0.5274538386783285,0.7732880449129723,1
2,0.29949717159019484,0.6826307658353564,0.6164974217278822,2
3,0.20140634820867379,0.7889043963712491,0.5051829429260308,3
4,0.14350251414204904,0.8543147208121827,0.42028475387620773,4
5,0.10606536769327467,0.8960674157303371,0.35346086834093027,5
6,0.0788419233186675,0.9261036468330134,0.2966508861160486,6
7,0.05947517284726587,0.93854033290653,0.24934443251614719,7
8,0.04509742300439975,0.9490662139219015,0.2097991939599796,8
9,0.034451602765556255,0.9663677130044843,0.17710001583921436,9
10,0.027223444374607164,0.96875,0.15195086323718343,10
11,0.021841609050911377,0.9716312056737588,0.13151827669347602,11
12,0.01673475801382778,0.9813953488372092,0.10971295823727144,12
13,0.01339566310496543,0.9825581395348837,0.0950704845039686,13
14,0.011077938403519798,0.9859154929577465,0.08341986237482621,14
15,0.009310182275298555,0.9915966386554622,0.07352915295401348,15
16,0.00754242614707731,1.0,0.06307527146653526,16
17,0.006285355122564425,1.0,0.055789232854050436,17
18,0.005263984915147706,1.0,0.04894317241864803,18
19,0.004321181646763042,1.0,0.042589887541577935,19
20,0.003614079195474544,1.0,0.037362946797838824,20
