,HessLyon,ScotsmenSpica,PeruvianFinnegan,SophieAlec,SchweitzerYonkers,MildredBritish,BobbieEdmonton,BelaAntilles,ScotiaThomistic,CarletonSutton,BrahmsianAchaean,HolmesDeneb,ClydeBalboa,CarruthersPeruvian,InterpolSanchez
3814853,38,37.0,30.0,26.0,5.0,35,35.0,34.0,27.0,4.0,38,37.0,30.0,33.0,4.0
3819157,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
3819171,55,49.0,41.0,18.0,32.0,54,44.0,42.0,15.0,13.0,57,46.0,42.0,17.0,14.0
3819859,56,22.0,18.0,19.0,0.0,23,21.0,19.0,2.0,7.0,24,19.0,18.0,18.0,8.0
3820148,21,22.0,31.0,19.0,17.0,19,34.0,27.0,26.0,7.0,20,32.0,30.0,25.0,8.0
3822523,20,6.0,36.0,13.0,21.0,43,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3827211,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3840345,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3844799,57,47.0,39.0,33.0,31.0,55,40.0,40.0,5.0,29.0,58,45.0,41.0,32.0,26.0
3844961,57,47.0,39.0,33.0,31.0,55,40.0,40.0,5.0,29.0,58,45.0,41.0,32.0,26.0
3848843,57,47.0,39.0,34.0,31.0,55,40.0,41.0,5.0,29.0,58,45.0,39.0,32.0,26.0
3862443,34,36.0,7.0,6.0,6.0,38,33.0,25.0,26.0,21.0,45,31.0,6.0,24.0,19.0
3865952,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3869488,41,33.0,4.0,26.0,25.0,37,32.0,31.0,25.0,23.0,44,4.0,27.0,25.0,6.0
3872653,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3882998,16,18.0,11.0,6.0,5.0,56,45.0,14.0,6.0,5.0,34,16.0,11.0,7.0,0.0
3885215,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3886356,58,50.0,22.0,35.0,20.0,14,45.0,43.0,35.0,16.0,59,47.0,21.0,34.0,16.0
3890028,26,25.0,22.0,22.0,20.0,26,26.0,23.0,19.0,16.0,27,23.0,21.0,20.0,16.0
3893195,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3896629,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
3913613,27,27.0,30.0,4.0,24.0,57,46.0,7.0,27.0,22.0,29,24.0,29.0,33.0,4.0
3913620,53,4.0,37.0,15.0,28.0,52,47.0,44.0,36.0,12.0,60,48.0,43.0,26.0,11.0
3913629,59,41.0,6.0,4.0,24.0,57,46.0,7.0,27.0,22.0,29,39.0,29.0,33.0,4.0
3915835,29,0.0,0.0,2.0,,6,0.0,0.0,0.0,,0,0.0,0.0,0.0,
