,HessLyon,ScotsmenSpica,PeruvianFinnegan,SophieAlec,SchweitzerYonkers,MildredBritish,BobbieEdmonton,BelaAntilles,ScotiaThomistic,CarletonSutton,BrahmsianAchaean,HolmesDeneb,ClydeBalboa,CarruthersPeruvian,InterpolSanchez
2340336,0,0.0,0.0,17.0,0.0,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2355126,20,14.0,0.0,0.0,0.0,4,5.0,5.0,0.0,0.0,15,3.0,0.0,0.0,0.0
2357110,20,14.0,0.0,0.0,0.0,4,5.0,5.0,0.0,0.0,15,3.0,0.0,0.0,0.0
2369444,19,19.0,17.0,17.0,2.0,19,20.0,17.0,14.0,12.0,20,17.0,15.0,5.0,0.0
2379529,21,20.0,18.0,18.0,32.0,53,21.0,19.0,15.0,13.0,22,19.0,16.0,17.0,14.0
2379544,22,20.0,18.0,19.0,9.0,22,21.0,19.0,2.0,7.0,23,19.0,16.0,18.0,2.0
2438653,23,21.0,19.0,20.0,9.0,23,22.0,20.0,16.0,7.0,24,20.0,18.0,15.0,8.0
2439067,21,22.0,18.0,19.0,9.0,23,21.0,19.0,8.0,7.0,22,19.0,18.0,18.0,8.0
2439134,24,23.0,20.0,21.0,17.0,24,23.0,21.0,17.0,14.0,25,21.0,19.0,19.0,15.0
2439150,24,24.0,20.0,5.0,14.0,19,24.0,21.0,18.0,11.0,25,22.0,14.0,16.0,13.0
2456826,0,0.0,0.0,17.0,0.0,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2504517,15,15.0,14.0,14.0,18.0,15,16.0,14.0,4.0,15.0,16,15.0,11.0,14.0,11.0
2505266,25,13.0,21.0,12.0,19.0,25,25.0,22.0,11.0,9.0,31,15.0,20.0,14.0,10.0
2506050,26,25.0,22.0,22.0,20.0,26,26.0,23.0,19.0,16.0,27,23.0,21.0,20.0,16.0
2512602,2,26.0,4.0,4.0,15.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,6.0
2532841,2,4.0,4.0,4.0,2.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,6.0
2544902,2,4.0,4.0,4.0,2.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,6.0
2552701,2,4.0,4.0,4.0,0.0,2,4.0,4.0,4.0,3.0,4,4.0,2.0,4.0,4.0
2557644,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
2568465,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,8.0,9.0,18.0
2568522,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,8.0,9.0,18.0
2571761,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
2582391,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
2584838,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
2597151,0,0.0,17.0,0.0,0.0,6,20.0,0.0,0.0,0.0,0,17.0,0.0,5.0,0.0
2608843,6,6.0,23.0,13.0,21.0,5,6.0,18.0,20.0,17.0,7,6.0,22.0,13.0,17.0
2610744,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
2611805,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3,3.0,3.0,3.0,3.0
2612527,11,10.0,24.0,9.0,22.0,10,27.0,6.0,21.0,18.0,11,18.0,8.0,9.0,18.0
2628785,27,27.0,3.0,3.0,3.0,2,4.0,3.0,3.0,2.0,29,24.0,3.0,3.0,3.0
2648254,28,28.0,42.0,23.0,4.0,28,28.0,24.0,22.0,6.0,30,25.0,23.0,10.0,7.0
2650887,25,13.0,46.0,12.0,19.0,25,25.0,22.0,11.0,15.0,31,15.0,20.0,21.0,11.0
2652641,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
2655798,29,29.0,25.0,6.0,5.0,17,7.0,25.0,12.0,4.0,32,26.0,17.0,15.0,19.0
2659386,20,14.0,0.0,0.0,0.0,4,5.0,5.0,0.0,0.0,15,3.0,0.0,0.0,0.0
2659504,15,15.0,14.0,14.0,11.0,15,16.0,26.0,16.0,10.0,16,8.0,11.0,7.0,11.0
2660767,30,30.0,26.0,14.0,,29,29.0,14.0,23.0,,33,27.0,24.0,7.0,
2663649,29,17.0,16.0,7.0,5.0,17,22.0,27.0,6.0,4.0,32,20.0,14.0,22.0,5.0
2667061,31,31.0,27.0,24.0,23.0,30,30.0,28.0,24.0,19.0,34,44.0,25.0,23.0,20.0
2667980,32,32.0,28.0,25.0,8.0,31,31.0,29.0,16.0,10.0,35,28.0,26.0,24.0,23.0
2669331,33,32.0,28.0,14.0,24.0,31,31.0,29.0,4.0,20.0,35,28.0,1.0,4.0,4.0
2669844,8,7.0,11.0,14.0,11.0,7,13.0,11.0,9.0,10.0,13,13.0,11.0,7.0,9.0
2670619,34,9.0,25.0,7.0,,17,22.0,30.0,6.0,,18,10.0,17.0,8.0,
2772093,9,8.0,7.0,7.0,6.0,8,9.0,25.0,6.0,21.0,9,9.0,6.0,8.0,5.0
2775707,35,26.0,4.0,26.0,25.0,27,4.0,4.0,25.0,3.0,28,4.0,2.0,4.0,6.0
2775943,35,26.0,4.0,4.0,15.0,27,4.0,4.0,4.0,3.0,28,4.0,2.0,4.0,6.0
2776773,36,33.0,4.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,29.0,27.0,25.0,6.0
2797480,37,34.0,29.0,19.0,9.0,79,11.0,32.0,17.0,7.0,2,11.0,28.0,18.0,8.0
2846555,9,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,9,9.0,6.0,8.0,5.0
2852273,20,14.0,0.0,0.0,0.0,4,5.0,5.0,0.0,0.0,15,3.0,0.0,0.0,0.0
2854715,17,35.0,16.0,5.0,14.0,33,30.0,33.0,13.0,4.0,37,30.0,14.0,16.0,13.0
2878185,9,36.0,7.0,7.0,5.0,8,33.0,25.0,26.0,4.0,9,31.0,6.0,24.0,5.0
2881070,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
2885630,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
2910892,10,9.0,8.0,,,9,10.0,8.0,,,10,10.0,7.0,,
2911847,10,9.0,8.0,7.0,7.0,9,10.0,8.0,6.0,5.0,10,10.0,7.0,8.0,5.0
2914206,36,33.0,4.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,4.0,27.0,25.0,6.0
2920061,38,19.0,30.0,27.0,25.0,34,32.0,27.0,25.0,22.0,38,32.0,29.0,25.0,6.0
2920554,38,19.0,31.0,27.0,25.0,34,34.0,27.0,27.0,22.0,38,32.0,30.0,25.0,6.0
2921933,36,33.0,4.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,4.0,27.0,25.0,6.0
2932028,36,33.0,30.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,29.0,27.0,25.0,6.0
2935173,36,33.0,30.0,26.0,25.0,32,32.0,31.0,25.0,22.0,36,29.0,27.0,25.0,6.0
2935198,36,33.0,4.0,26.0,25.0,34,32.0,31.0,25.0,22.0,39,29.0,27.0,25.0,6.0
2963280,39,37.0,30.0,26.0,24.0,35,35.0,34.0,27.0,4.0,40,29.0,30.0,26.0,6.0
2964760,7,5.0,32.0,15.0,2.0,21,24.0,16.0,18.0,12.0,41,33.0,35.0,16.0,11.0
2966602,19,19.0,33.0,17.0,2.0,21,24.0,17.0,14.0,12.0,42,33.0,15.0,5.0,0.0
2979486,19,23.0,20.0,21.0,15.0,19,24.0,21.0,17.0,14.0,25,21.0,19.0,19.0,15.0
2979675,23,36.0,19.0,6.0,26.0,23,33.0,35.0,26.0,5.0,24,31.0,31.0,24.0,2.0
