inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,7.038461538461538,6.788277491243843
1,37365,sens-photoRh6,#3b6d01,1.0,1.0
2,40045,sens-ORN,#00753f,,
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,,7.793589743589743
5,668627,motor-mVAN,#000000,,9.0
6,677717,KC-4claw,#da015d,6.46,6.788277491243843
7,766246,sens-photoRh5,#54823b,1.0,1.0
8,853526,motor-mAN,#000000,8.0,7.793589743589743
9,855719,motor-mAN,#000000,8.0,7.793589743589743
10,858479,O_dSEZ,#b1826d,,6.488206992648933
11,865151,O_dSEZ,#b1826d,7.416666666666667,6.488206992648933
12,865801,motor-mAN,#000000,8.0,7.793589743589743
13,867393,unk,#acaac8,6.666666666666667,6.449408913387867
14,869360,O_dSEZ,#b1826d,8.0,6.488206992648933
15,873148,motor-mAN,#000000,8.333333333333334,7.793589743589743
16,873782,motor-mAN,#000000,8.0,7.793589743589743
17,875613,motor-mAN,#000000,,7.793589743589743
18,882339,motor-mAN,#000000,,7.793589743589743
19,900032,sens-photoRh6,#3b6d01,1.0,1.0
20,902038,sens-photoRh6,#3b6d01,1.0,1.0
21,902877,sens-photoRh5,#54823b,1.0,1.0
22,910064,motor-mAN,#000000,,7.793589743589743
23,937332,motor-mAN,#000000,7.769230769230769,7.793589743589743
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,1.0,1.0
26,992646,O_dSEZ,#b1826d,7.0,6.488206992648933
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,6.053333333333334,6.128976864599519
29,1137946,unk,#acaac8,7.2,6.449408913387867
30,1141813,unk,#acaac8,8.0,6.449408913387867
31,1218587,motor-mAN,#000000,,7.793589743589743
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
50,1591270,unk,#acaac8,7.666666666666667,6.449408913387867
51,1591351,FFN,#ba6efd,6.675,6.315837622547001
52,1622901,O_dVNC,#ff9070,6.04,6.128976864599519
53,1646076,unk,#acaac8,6.311111111111111,6.449408913387867
54,1678567,O_dVNC,#ff9070,5.21,6.128976864599519
55,1679034,unk,#acaac8,7.294117647058823,6.449408913387867
56,1706716,sens-AN,#018700,,
57,1715990,sens-AN,#018700,,
58,1805406,unk,#acaac8,10.0,6.449408913387867
59,1805418,unk,#acaac8,6.5813953488372094,6.449408913387867
60,1805669,unk,#acaac8,5.904761904761905,6.449408913387867
61,1856512,sens-photoRh6,#3b6d01,1.0,1.0
62,1868538,unk,#acaac8,5.6947368421052635,6.449408913387867
63,1924051,O_dSEZ,#b1826d,,6.488206992648933
64,1961182,unk,#acaac8,7.0,6.449408913387867
65,2142817,unk,#acaac8,6.209302325581396,6.449408913387867
66,2200028,sens-photoRh6,#3b6d01,1.0,1.0
67,2204467,LON,#97bca8,2.246153846153846,2.1939454098213584
68,2206279,sens-photoRh6,#3b6d01,1.0,1.0
