inds,id,to_class,color,mean_visit,group_mean_visit
1545,12585379,unk,#acaac8,3.1095617529880477,5.073270752241384
1546,12587013,LHN;CN,#959167,3.3360739979445015,3.3332645843907227
1547,12598741,CN2,#acaa59,4.494969818913481,4.523983781794462
1548,12612426,unk,#acaac8,3.609550561797753,5.073270752241384
1549,12617396,unk,#acaac8,2.811023622047244,5.073270752241384
1550,12634154,O_RG-IPC,#916e56,4.1991570073761855,4.326936227224342
1551,12634730,motor-mVAN,#000000,,6.888888888888889
1552,12654063,unk,#acaac8,4.916387959866221,5.073270752241384
1553,12667895,LHN2,#ebffd4,3.064382139148494,3.8693873092001496
1554,12670738,FFN,#ba6efd,3.952513966480447,4.720812604179587
1555,12704069,LHN;CN,#959167,3.216,3.3332645843907227
1556,12704360,O_RG-CA-LP,#916e56,3.635346756152125,4.0518724794527055
1557,12726582,KC-3claw,#ac1a13,3.6204287515762927,3.303147605253312
1558,12745771,LHN,#d4e29e,3.9446808510638296,3.51676920206973
1559,12746220,LHN2,#ebffd4,3.645699614890886,3.8693873092001496
1560,12782494,LHN2,#ebffd4,3.4287200832466183,3.8693873092001496
1561,12789813,O_dSEZ,#b1826d,4.337,4.546311427925615
1562,12805363,MBIN-OAN,#ffa52f,4.498480243161095,4.506808274895698
1563,12813847,LHN;CN,#959167,3.0920920920920922,3.3332645843907227
1564,12832017,FFN,#ba6efd,5.0854326396495075,4.720812604179587
1565,12839441,CN,#8c7700,3.6476476476476476,3.911076065465079
1566,12840470,LHN,#d4e29e,3.002,3.51676920206973
1567,12842593,unk,#acaac8,,5.073270752241384
1568,12866697,CN,#8c7700,4.7911227154047,3.911076065465079
1569,12868041,CN,#8c7700,4.413065326633165,3.911076065465079
1570,12869029,unk,#acaac8,4.932084309133489,5.073270752241384
1571,12871993,MBIN-DAN,#db7e01,4.341,4.291259056016244
1572,12882179,unk,#acaac8,6.799145299145299,5.073270752241384
1573,12882387,unk,#acaac8,2.4909090909090907,5.073270752241384
1574,12884490,unk,#acaac8,6.792043399638336,5.073270752241384
1575,12901662,motor-mAN,#000000,4.3076923076923075,6.466872827867986
1576,12923749,unk,#acaac8,5.923728813559322,5.073270752241384
1577,12928099,CN,#8c7700,4.681724845995893,3.911076065465079
1578,12935696,CN2,#acaa59,4.363453815261044,4.523983781794462
1579,12935706,unk,#acaac8,5.34047619047619,5.073270752241384
1580,12948470,LHN,#d4e29e,4.438625204582651,3.51676920206973
1581,12962772,O_dSEZ,#b1826d,5.164887307236062,4.546311427925615
1582,12989453,unk,#acaac8,5.581947743467934,5.073270752241384
1583,12990900,unk,#acaac8,5.101293103448276,5.073270752241384
1584,13003574,unk,#acaac8,5.461325966850829,5.073270752241384
1585,13007383,O_dSEZ,#b1826d,6.14622641509434,4.546311427925615
1586,13028455,CX,#ffb500,5.481700118063754,5.282804659047286
1587,13038489,LHN,#d4e29e,3.945077720207254,3.51676920206973
1588,13045287,unk,#acaac8,4.423787528868361,5.073270752241384
1589,13046354,LHN2,#ebffd4,4.246344206974128,3.8693873092001496
1590,13046847,unk,#acaac8,4.501845018450185,5.073270752241384
1591,13049485,LHN2,#ebffd4,4.297730307076101,3.8693873092001496
1592,13081886,O_dVNC,#ff9070,3.778557114228457,5.0983792703485715
1593,13084891,unk,#acaac8,4.038461538461538,5.073270752241384
1594,13137623,unk,#acaac8,6.172413793103448,5.073270752241384
1595,13167025,O_dSEZ,#b1826d,4.825641025641025,4.546311427925615
1596,13167730,unk,#acaac8,4.72463768115942,5.073270752241384
1597,13173311,unk,#acaac8,3.588235294117647,5.073270752241384
1598,13191017,unk,#acaac8,,5.073270752241384
1599,13197236,CN,#8c7700,4.003,3.911076065465079
1600,13199414,FFN,#ba6efd,4.4649484536082475,4.720812604179587
1601,13206239,LHN,#d4e29e,3.0755873340143003,3.51676920206973
1602,13210358,FB2N,#ff28fd,4.243434343434344,4.260739266600064
1603,13242252,unk,#acaac8,6.042483660130719,5.073270752241384
1604,13242336,unk,#acaac8,4.341935483870968,5.073270752241384
1605,13313410,unk,#acaac8,6.0,5.073270752241384
1606,13358515,unk,#acaac8,5.26578073089701,5.073270752241384
1607,13365464,unk,#acaac8,3.9,5.073270752241384
1608,13369670,unk,#acaac8,3.8938321536905964,5.073270752241384
1609,13370624,unk,#acaac8,4.92972972972973,5.073270752241384
1610,13380660,O_dSEZ,#b1826d,2.224707135250266,4.546311427925615
1611,13395814,LHN2,#ebffd4,3.8191616766467065,3.8693873092001496
1612,13405613,LHN2,#ebffd4,3.7981744421906694,3.8693873092001496
1613,13411394,unk,#acaac8,4.658930373360242,5.073270752241384
1614,13411445,unk,#acaac8,4.603621730382294,5.073270752241384
1615,13411525,unk,#acaac8,4.176470588235294,5.073270752241384
1616,13422280,O_dVNC,#ff9070,3.45679012345679,5.0983792703485715
1617,13429045,LHN2,#ebffd4,3.399390243902439,3.8693873092001496
1618,13535380,O_RG-IPC,#916e56,4.246471226927253,4.326936227224342
1619,13535387,O_RG,#916e56,4.931818181818182,4.808005154068903
1620,13557064,O_dVNC,#ff9070,4.493,5.0983792703485715
1621,13564607,CN2,#acaa59,4.115,4.523983781794462
1622,13580849,O_dSEZ,#b1826d,3.3055555555555554,4.546311427925615
1623,13589251,uPN,#72b8ff,2.0,2.010189639913571
1624,13634759,unk,#acaac8,3.2142857142857144,5.073270752241384
1625,13644685,unk,#acaac8,4.098290598290598,5.073270752241384
1626,13645610,O_dSEZ,#b1826d,5.4,4.546311427925615
1627,13646473,O_dVNC,#ff9070,5.870656370656371,5.0983792703485715
1628,13652117,O_dVNC,#ff9070,5.3274853801169595,5.0983792703485715
1629,13665529,CN,#8c7700,3.5373592630501536,3.911076065465079
1630,13674287,unk,#acaac8,4.172839506172839,5.073270752241384
1631,13675374,unk,#acaac8,5.500594530321046,5.073270752241384
1632,13713529,LHN2,#ebffd4,3.44249726177437,3.8693873092001496
1633,13714311,unk,#acaac8,6.016298020954598,5.073270752241384
1634,13718916,CX,#ffb500,5.047982551799346,5.282804659047286
1635,13722516,LHN,#d4e29e,3.9315286624203822,3.51676920206973
1636,13722900,unk,#acaac8,5.59643605870021,5.073270752241384
1637,13724377,unk,#acaac8,5.7709090909090905,5.073270752241384
1638,13727202,O_dVNC,#ff9070,4.55,5.0983792703485715
1639,13736919,O_dVNC,#ff9070,5.536687631027253,5.0983792703485715
1640,13743125,FBN,#c144bc,4.13030303030303,4.496600329225458
1641,13744425,sens-AN,#018700,,
1642,13749806,O_dVNC,#ff9070,4.985699693564862,5.0983792703485715
1643,13751194,O_RG,#916e56,5.20845921450151,4.808005154068903
1644,13760954,O_dVNC,#ff9070,4.806687565308255,5.0983792703485715
1645,13763548,O_dVNC,#ff9070,5.023945267958951,5.0983792703485715
1646,13764822,O_dSEZ,#b1826d,4.361336032388664,4.546311427925615
1647,13768622,unk,#acaac8,3.1059907834101383,5.073270752241384
1648,13793212,O_RG,#916e56,4.398241206030151,4.808005154068903
1649,13795090,unk,#acaac8,4.5813953488372094,5.073270752241384
1650,13803032,LHN,#d4e29e,3.008,3.51676920206973
1651,13806524,CN,#8c7700,4.672955974842767,3.911076065465079
1652,13818467,unk,#acaac8,5.524657534246575,5.073270752241384
1653,13830600,O_dSEZ,#b1826d,6.1923076923076925,4.546311427925615
1654,13832416,unk,#acaac8,3.0217391304347827,5.073270752241384
1655,13833814,unk,#acaac8,4.133720930232558,5.073270752241384
1656,13834125,unk,#acaac8,5.100338218714769,5.073270752241384
1657,13835439,unk,#acaac8,5.353146853146853,5.073270752241384
1658,13836327,O_dSEZ,#b1826d,4.343343343343343,4.546311427925615
1659,13841523,unk,#acaac8,6.361413043478261,5.073270752241384
1660,13842372,O_dSEZ,#b1826d,5.638502673796792,4.546311427925615
1661,13849274,unk,#acaac8,3.048780487804878,5.073270752241384
1662,13849557,LHN2,#ebffd4,2.508,3.8693873092001496
1663,13852833,FB2N,#ff28fd,3.7077856420626896,4.260739266600064
1664,13854190,unk,#acaac8,5.1949317738791425,5.073270752241384
1665,13858797,LHN;CN,#959167,3.002,3.3332645843907227
1666,13858824,unk,#acaac8,3.0,5.073270752241384
1667,13863331,LHN,#d4e29e,3.023,3.51676920206973
1668,13948718,unk,#acaac8,4.536830357142857,5.073270752241384
1669,13950464,unk,#acaac8,4.685754189944134,5.073270752241384
1670,13953184,unk,#acaac8,4.465897166841553,5.073270752241384
1671,13953356,unk,#acaac8,4.910135841170324,5.073270752241384
1672,13953546,CN,#8c7700,4.055499495459133,3.911076065465079
1673,13966828,LHN2,#ebffd4,3.6200564971751414,3.8693873092001496
1674,13968203,O_dSEZ,#b1826d,3.0,4.546311427925615
1675,13986477,LHN,#d4e29e,3.071210579857579,3.51676920206973
1676,13986583,LHN,#d4e29e,3.0232088799192733,3.51676920206973
1677,13988443,CN,#8c7700,4.577951002227172,3.911076065465079
1678,14000746,CN,#8c7700,4.003,3.911076065465079
1679,14034206,O_dVNC,#ff9070,4.683683683683683,5.0983792703485715
1680,14034311,unk,#acaac8,3.936,5.073270752241384
1681,14039007,O_dVNC;O_dSEZ,#ff9070,5.520567375886525,5.625406115250068
1682,14071449,CN,#8c7700,4.533536585365853,3.911076065465079
1683,14071613,CN,#8c7700,3.894894894894895,3.911076065465079
1684,14073503,CN,#8c7700,4.194,3.911076065465079
1685,14077179,O_dSEZ,#b1826d,4.103,4.546311427925615
1686,14077615,CN,#8c7700,4.198,3.911076065465079
1687,14082322,MBON,#f9eb4d,4.0,3.932989959618922
1688,14083681,CN,#8c7700,4.064,3.911076065465079
1689,14127447,FFN,#ba6efd,3.994,4.720812604179587
1690,14133114,LHN;CN,#959167,3.923404255319149,3.3332645843907227
1691,14154154,unk,#acaac8,2.463589743589744,5.073270752241384
1692,14158399,FB2N,#ff28fd,3.145,4.260739266600064
1693,14162492,LHN2,#ebffd4,3.98326359832636,3.8693873092001496
1694,14206030,CN,#8c7700,3.21,3.911076065465079
1695,14214039,unk,#acaac8,4.433,5.073270752241384
1696,14241490,unk,#acaac8,4.956834532374101,5.073270752241384
1697,14255342,KC-3claw,#ac1a13,3.3905429071803854,3.303147605253312
1698,14260575,CN,#8c7700,3.943,3.911076065465079
1699,14270761,unk,#acaac8,6.635897435897436,5.073270752241384
1700,14313750,CN,#8c7700,4.004,3.911076065465079
1701,14319185,LHN;CN,#959167,3.2072072072072073,3.3332645843907227
1702,14319498,LHN,#d4e29e,3.9240506329113924,3.51676920206973
1703,14319960,KC-4claw,#da015d,3.299862448418157,3.240299735742972
1704,14328512,CN2,#acaa59,4.589949748743718,4.523983781794462
1705,14329745,unk,#acaac8,4.143147208121827,5.073270752241384
1706,14333371,LHN,#d4e29e,3.0925714285714285,3.51676920206973
1707,14333495,LHN;CN,#959167,3.005005005005005,3.3332645843907227
1708,14334367,CN2,#acaa59,4.036,4.523983781794462
1709,14338439,unk,#acaac8,6.463414634146342,5.073270752241384
1710,14342744,O_dSEZ,#b1826d,3.9278557114228456,4.546311427925615
1711,14374534,unk,#acaac8,5.320272572402044,5.073270752241384
1712,14434314,unk,#acaac8,4.4038854805725975,5.073270752241384
1713,14437742,O_dSEZ,#b1826d,2.040774719673802,4.546311427925615
1714,14450919,LHN,#d4e29e,3.282249173098126,3.51676920206973
1715,14451162,unk,#acaac8,5.14100185528757,5.073270752241384
1716,14460113,KC-3claw,#ac1a13,3.1731651376146788,3.303147605253312
1717,14461238,LHN,#d4e29e,3.1713362068965516,3.51676920206973
1718,14492757,unk,#acaac8,4.686175580221998,5.073270752241384
1719,14492880,unk,#acaac8,5.775800711743773,5.073270752241384
1720,14493841,FFN,#ba6efd,4.384937238493724,4.720812604179587
1721,14495367,unk,#acaac8,4.1853002070393375,5.073270752241384
1722,14501257,unk,#acaac8,4.884378843788438,5.073270752241384
1723,14514597,LHN,#d4e29e,3.09617373319545,3.51676920206973
1724,14517691,O_dSEZ,#b1826d,2.587672688629118,4.546311427925615
1725,14519048,KC-4claw,#da015d,3.1006787330316743,3.240299735742972
1726,14519756,unk,#acaac8,4.12124248496994,5.073270752241384
1727,14522124,KC-5claw,#ff3628,3.075132275132275,3.1410930558680983
1728,14539753,O_dSEZ,#b1826d,4.963594994311718,4.546311427925615
1729,14540633,CN,#8c7700,4.04,3.911076065465079
1730,14541927,MBIN,#ff8734,4.876506024096385,4.395515240833729
1731,14570370,unk,#acaac8,5.684210526315789,5.073270752241384
1732,14579509,unk,#acaac8,5.100737100737101,5.073270752241384
1733,14586769,unk,#acaac8,5.569786535303777,5.073270752241384
1734,14588375,O_dVNC,#ff9070,5.382911392405063,5.0983792703485715
1735,14604028,uPN,#72b8ff,2.008088978766431,2.010189639913571
1736,14617508,unk,#acaac8,4.262,5.073270752241384
1737,14621584,unk,#acaac8,5.221857923497268,5.073270752241384
1738,14638686,unk,#acaac8,6.031746031746032,5.073270752241384
1739,14651659,O_dVNC,#ff9070,4.753100338218715,5.0983792703485715
1740,14655602,LHN2,#ebffd4,4.053691275167785,3.8693873092001496
1741,14656798,unk,#acaac8,4.739393939393939,5.073270752241384
1742,14680483,unk,#acaac8,4.463,5.073270752241384
1743,14723506,unk,#acaac8,5.135135135135135,5.073270752241384
1744,14726012,unk,#acaac8,,5.073270752241384
1745,14726069,unk,#acaac8,4.9390115667718195,5.073270752241384
1746,14753815,unk,#acaac8,5.368560105680317,5.073270752241384
1747,14754777,CX,#ffb500,4.086,5.282804659047286
1748,14755393,unk,#acaac8,5.084967320261438,5.073270752241384
1749,14756000,unk,#acaac8,3.0324324324324325,5.073270752241384
1750,14756061,CX,#ffb500,4.132,5.282804659047286
1751,14756440,unk,#acaac8,6.003412969283277,5.073270752241384
1752,14757050,unk,#acaac8,5.408163265306122,5.073270752241384
1753,14757992,CX,#ffb500,4.044,5.282804659047286
1754,14758420,CX,#ffb500,4.139658848614072,5.282804659047286
1755,14759661,unk,#acaac8,6.972602739726027,5.073270752241384
1756,14760757,LHN2,#ebffd4,4.292841648590022,3.8693873092001496
1757,14762026,unk,#acaac8,6.092039800995025,5.073270752241384
1758,14782250,unk,#acaac8,5.287841191066997,5.073270752241384
1759,14797760,unk,#acaac8,5.696428571428571,5.073270752241384
1760,14818307,LHN,#d4e29e,3.3444444444444446,3.51676920206973
1761,14891367,unk,#acaac8,4.980671414038657,5.073270752241384
1762,14898295,KC-4claw,#da015d,3.0767519466073416,3.240299735742972
1763,14898816,KC-1claw,#ff3464,3.0266370699223084,3.264689059107599
1764,14914182,unk,#acaac8,5.394736842105263,5.073270752241384
1765,14948339,CN,#8c7700,3.913913913913914,3.911076065465079
1766,14981128,unk,#acaac8,4.366782006920415,5.073270752241384
1767,14995061,unk,#acaac8,6.402777777777778,5.073270752241384
1768,14999928,unk,#acaac8,5.433695652173913,5.073270752241384
1769,15005403,unk,#acaac8,5.612640163098878,5.073270752241384
1770,15018449,unk,#acaac8,5.986820428336079,5.073270752241384
1771,15023806,unk,#acaac8,3.9769874476987446,5.073270752241384
1772,15023987,unk,#acaac8,5.537764350453172,5.073270752241384
1773,15028907,unk,#acaac8,6.568965517241379,5.073270752241384
1774,15048530,unk,#acaac8,4.328810020876826,5.073270752241384
1775,15055590,unk,#acaac8,5.75990099009901,5.073270752241384
1776,15063529,unk,#acaac8,6.3315649867374,5.073270752241384
1777,15068806,unk,#acaac8,5.193661971830986,5.073270752241384
1778,15096548,unk,#acaac8,4.779411764705882,5.073270752241384
1779,15155348,unk,#acaac8,5.987240829346092,5.073270752241384
1780,15202263,O_RG-IPC,#916e56,4.435141509433962,4.326936227224342
1781,15225589,unk,#acaac8,3.573869346733668,5.073270752241384
1782,15250080,unk,#acaac8,,5.073270752241384
1783,15253921,MBON,#f9eb4d,3.908,3.932989959618922
1784,15334461,unk,#acaac8,3.3776824034334765,5.073270752241384
1785,15343835,FB2N,#ff28fd,4.045064377682404,4.260739266600064
1786,15365184,O_dVNC,#ff9070,5.28951048951049,5.0983792703485715
1787,15398730,MBON,#f9eb4d,3.933,3.932989959618922
1788,15398807,sens-AN,#018700,,
1789,15404207,MBIN,#ff8734,4.948795180722891,4.395515240833729
1790,15409328,sens-AN,#018700,,
1791,15421363,MBON,#f9eb4d,4.0,3.932989959618922
