inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,3.0408163265306123,3.2451267074666523
1,37365,sens-photoRh6,#3b6d01,,
2,40045,sens-ORN,#00753f,1.0,1.0
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,4.5,6.2784615384615385
5,668627,motor-mVAN,#000000,,7.0
6,677717,KC-4claw,#da015d,3.3417721518987342,3.2451267074666523
7,766246,sens-photoRh5,#54823b,,
8,853526,motor-mAN,#000000,,6.2784615384615385
9,855719,motor-mAN,#000000,6.5,6.2784615384615385
10,858479,O_dSEZ,#b1826d,,4.525402749046176
11,865151,O_dSEZ,#b1826d,5.638888888888889,4.525402749046176
12,865801,motor-mAN,#000000,7.4,6.2784615384615385
13,867393,unk,#acaac8,5.086956521739131,5.074213264684956
14,869360,O_dSEZ,#b1826d,4.0,4.525402749046176
15,873148,motor-mAN,#000000,,6.2784615384615385
16,873782,motor-mAN,#000000,7.142857142857143,6.2784615384615385
17,875613,motor-mAN,#000000,,6.2784615384615385
18,882339,motor-mAN,#000000,,6.2784615384615385
19,900032,sens-photoRh6,#3b6d01,,
20,902038,sens-photoRh6,#3b6d01,,
21,902877,sens-photoRh5,#54823b,,
22,910064,motor-mAN,#000000,,6.2784615384615385
23,937332,motor-mAN,#000000,5.923076923076923,6.2784615384615385
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,,
26,992646,O_dSEZ,#b1826d,6.0,4.525402749046176
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,4.867469879518072,5.071215013974821
29,1137946,unk,#acaac8,6.833333333333333,5.074213264684956
30,1141813,unk,#acaac8,6.125,5.074213264684956
31,1218587,motor-mAN,#000000,,6.2784615384615385
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
50,1591270,unk,#acaac8,4.636363636363637,5.074213264684956
51,1591351,FFN,#ba6efd,3.926470588235294,4.732015666964833
52,1622901,O_dVNC,#ff9070,5.091836734693878,5.071215013974821
53,1646076,unk,#acaac8,5.387096774193548,5.074213264684956
54,1678567,O_dVNC,#ff9070,4.37,5.071215013974821
55,1679034,unk,#acaac8,5.8,5.074213264684956
56,1706716,sens-AN,#018700,,
57,1715990,sens-AN,#018700,,
58,1805406,unk,#acaac8,5.285714285714286,5.074213264684956
59,1805418,unk,#acaac8,5.513513513513513,5.074213264684956
60,1805669,unk,#acaac8,4.953488372093023,5.074213264684956
61,1856512,sens-photoRh6,#3b6d01,,
62,1868538,unk,#acaac8,4.691489361702128,5.074213264684956
63,1924051,O_dSEZ,#b1826d,,4.525402749046176
64,1961182,unk,#acaac8,5.216666666666667,5.074213264684956
65,2142817,unk,#acaac8,4.285714285714286,5.074213264684956
66,2200028,sens-photoRh6,#3b6d01,,
67,2204467,LON,#97bca8,,6.0
68,2206279,sens-photoRh6,#3b6d01,,
69,2209091,sens-photoRh5,#54823b,,
70,2215247,sens-photoRh6,#3b6d01,,
71,2215447,sens-photoRh6,#3b6d01,,
72,2215622,sens-photoRh6,#3b6d01,,
73,2216131,sens-photoRh6,#3b6d01,,
74,2216187,sens-photoRh5,#54823b,,
75,2216445,sens-photoRh6,#3b6d01,,
76,2260755,O_RG,#916e56,6.0625,4.744603839844026
77,2283495,O_RG-IPC,#916e56,4.114583333333333,4.33734907534678
78,2284021,sens-AN,#018700,,
79,2340336,sens-AN,#018700,,
80,2355126,O_RG-IPC,#916e56,4.428571428571429,4.33734907534678
81,2357110,O_RG-IPC,#916e56,4.34375,4.33734907534678
82,2369444,LHN;CN,#959167,3.64,3.3232710063725346
83,2379529,unk,#acaac8,3.638888888888889,5.074213264684956
84,2379544,unk,#acaac8,4.163934426229508,5.074213264684956
85,2391092,motor-mPaN,#000000,,
86,2438653,unk,#acaac8,4.815384615384615,5.074213264684956
87,2439067,LHN,#d4e29e,3.12,3.507470330116675
88,2439134,LHN,#d4e29e,3.717171717171717,3.507470330116675
89,2439150,unk,#acaac8,4.0476190476190474,5.074213264684956
90,2456826,sens-AN,#018700,,
91,2495308,sens-PaN,#67aa00,,
92,2504517,unk,#acaac8,5.211538461538462,5.074213264684956
93,2505266,unk,#acaac8,5.594936708860759,5.074213264684956
94,2506050,MBIN-DAN,#db7e01,4.46,4.283626450751182
95,2512602,LON,#97bca8,6.0,6.0
96,2532841,sens-photoRh6,#3b6d01,,
97,2544902,sens-photoRh6,#3b6d01,,
98,2552701,sens-photoRh5,#54823b,,
99,2557644,unk,#acaac8,3.037037037037037,5.074213264684956
100,2568465,mPN-multi,#05acc6,2.7471264367816093,2.18243609895336
101,2568522,unk,#acaac8,3.032258064516129,5.074213264684956
102,2571761,sens-ORN,#00753f,1.0,1.0
103,2582391,sens-ORN,#00753f,1.0,1.0
104,2584838,sens-ORN,#00753f,1.0,1.0
105,2597151,unk,#acaac8,4.12,5.074213264684956
106,2608843,sens-ORN,#00753f,1.0,1.0
107,2610744,sens-AN,#018700,,
108,2611805,sens-ORN,#00753f,1.0,1.0
109,2612527,mPN-multi,#05acc6,2.217391304347826,2.18243609895336
110,2628785,unk,#acaac8,3.5476190476190474,5.074213264684956
111,2648254,O_dSEZ,#b1826d,5.6,4.525402749046176
112,2650887,CN2,#acaa59,4.51,4.5314077535707655
113,2652641,unk,#acaac8,,5.074213264684956
114,2655798,unk,#acaac8,5.4,5.074213264684956
115,2659386,O_RG,#916e56,4.595238095238095,4.744603839844026
116,2659504,unk,#acaac8,6.275862068965517,5.074213264684956
117,2663649,O_dUnk,#a55949,4.5476190476190474,5.253975846635558
118,2667061,FFN,#ba6efd,3.96875,4.732015666964833
119,2667980,unk,#acaac8,4.890625,5.074213264684956
120,2669331,LHN2,#ebffd4,4.552631578947368,3.862154604852095
121,2669844,O_dVNC,#ff9070,5.434782608695652,5.071215013974821
122,2670619,O_dVNC,#ff9070,6.016666666666667,5.071215013974821
123,2772093,unk,#acaac8,7.18,5.074213264684956
124,2775707,LON,#97bca8,,6.0
125,2775943,LON,#97bca8,6.0,6.0
126,2776773,LHN,#d4e29e,4.2368421052631575,3.507470330116675
127,2797480,LHN2,#ebffd4,3.8333333333333335,3.862154604852095
