inds,id,to_class,color,mean_visit,group_mean_visit
0,29,KC-4claw,#da015d,3.0412371134020617,3.2281899141145103
1,37365,sens-photoRh6,#3b6d01,,
2,40045,sens-ORN,#00753f,1.0,1.0
3,40152,sens-AN,#018700,,
4,407869,motor-mAN,#000000,5.0,6.898109243697479
5,668627,motor-mVAN,#000000,,
6,677717,KC-4claw,#da015d,3.3783783783783785,3.2281899141145103
7,766246,sens-photoRh5,#54823b,,
8,853526,motor-mAN,#000000,,6.898109243697479
9,855719,motor-mAN,#000000,5.0,6.898109243697479
10,858479,O_dSEZ,#b1826d,,4.567511213366942
11,865151,O_dSEZ,#b1826d,5.885714285714286,4.567511213366942
12,865801,motor-mAN,#000000,6.0,6.898109243697479
13,867393,unk,#acaac8,4.863636363636363,5.080477437177277
14,869360,O_dSEZ,#b1826d,4.0,4.567511213366942
15,873148,motor-mAN,#000000,,6.898109243697479
16,873782,motor-mAN,#000000,9.0,6.898109243697479
17,875613,motor-mAN,#000000,,6.898109243697479
18,882339,motor-mAN,#000000,,6.898109243697479
19,900032,sens-photoRh6,#3b6d01,,
20,902038,sens-photoRh6,#3b6d01,,
21,902877,sens-photoRh5,#54823b,,
22,910064,motor-mAN,#000000,,6.898109243697479
23,937332,motor-mAN,#000000,5.588235294117647,6.898109243697479
24,945309,sens-AN,#018700,,
25,946481,sens-photoRh6,#3b6d01,,
26,992646,O_dSEZ,#b1826d,6.666666666666667,4.567511213366942
27,1011675,sens-AN,#018700,,
28,1065967,O_dVNC,#ff9070,4.891891891891892,5.0981000870221305
29,1137946,unk,#acaac8,6.769230769230769,5.080477437177277
30,1141813,unk,#acaac8,6.8,5.080477437177277
31,1218587,motor-mAN,#000000,,6.898109243697479
32,1347886,sens-AN,#018700,,
33,1351125,sens-AN,#018700,,
34,1367171,sens-AN,#018700,,
35,1375101,sens-AN,#018700,,
36,1377586,sens-AN,#018700,,
37,1391179,sens-AN,#018700,,
38,1392771,sens-AN,#018700,,
39,1395971,sens-AN,#018700,,
40,1398253,sens-AN,#018700,,
41,1400725,sens-AN,#018700,,
42,1405493,sens-AN,#018700,,
43,1406463,sens-AN,#018700,,
44,1414206,sens-AN,#018700,,
45,1415168,sens-AN,#018700,,
46,1419315,sens-AN,#018700,,
47,1427012,sens-AN,#018700,,
48,1428271,sens-AN,#018700,,
49,1429969,sens-AN,#018700,,
50,1591270,unk,#acaac8,4.8,5.080477437177277
51,1591351,FFN,#ba6efd,3.8405797101449277,4.705639418799156
52,1622901,O_dVNC,#ff9070,5.13265306122449,5.0981000870221305
53,1646076,unk,#acaac8,5.3478260869565215,5.080477437177277
54,1678567,O_dVNC,#ff9070,4.44,5.0981000870221305
55,1679034,unk,#acaac8,5.416666666666667,5.080477437177277
56,1706716,sens-AN,#018700,,
57,1715990,sens-AN,#018700,,
58,1805406,unk,#acaac8,4.4,5.080477437177277
59,1805418,unk,#acaac8,5.365384615384615,5.080477437177277
60,1805669,unk,#acaac8,5.1,5.080477437177277
61,1856512,sens-photoRh6,#3b6d01,,
62,1868538,unk,#acaac8,4.729166666666667,5.080477437177277
63,1924051,O_dSEZ,#b1826d,,4.567511213366942
64,1961182,unk,#acaac8,5.033898305084746,5.080477437177277
65,2142817,unk,#acaac8,4.3979591836734695,5.080477437177277
66,2200028,sens-photoRh6,#3b6d01,,
67,2204467,LON,#97bca8,,6.0
68,2206279,sens-photoRh6,#3b6d01,,
69,2209091,sens-photoRh5,#54823b,,
70,2215247,sens-photoRh6,#3b6d01,,
71,2215447,sens-photoRh6,#3b6d01,,
72,2215622,sens-photoRh6,#3b6d01,,
73,2216131,sens-photoRh6,#3b6d01,,
74,2216187,sens-photoRh5,#54823b,,
75,2216445,sens-photoRh6,#3b6d01,,
76,2260755,O_RG,#916e56,6.375,4.769523480621646
77,2283495,O_RG-IPC,#916e56,4.204081632653061,4.335095486424498
78,2284021,sens-AN,#018700,,
79,2340336,sens-AN,#018700,,
80,2355126,O_RG-IPC,#916e56,4.415730337078652,4.335095486424498
81,2357110,O_RG-IPC,#916e56,4.316326530612245,4.335095486424498
82,2369444,LHN;CN,#959167,3.53,3.310583632514099
83,2379529,unk,#acaac8,3.417910447761194,5.080477437177277
84,2379544,unk,#acaac8,4.153846153846154,5.080477437177277
85,2391092,motor-mPaN,#000000,,
86,2438653,unk,#acaac8,4.6875,5.080477437177277
87,2439067,LHN,#d4e29e,3.111111111111111,3.513468974087363
88,2439134,LHN,#d4e29e,3.610526315789474,3.513468974087363
89,2439150,unk,#acaac8,4.113636363636363,5.080477437177277
90,2456826,sens-AN,#018700,,
91,2495308,sens-PaN,#67aa00,,
92,2504517,unk,#acaac8,5.178571428571429,5.080477437177277
93,2505266,unk,#acaac8,5.515151515151516,5.080477437177277
94,2506050,MBIN-DAN,#db7e01,4.46,4.267531584062196
95,2512602,LON,#97bca8,6.0,6.0
96,2532841,sens-photoRh6,#3b6d01,,
97,2544902,sens-photoRh6,#3b6d01,,
98,2552701,sens-photoRh5,#54823b,,
99,2557644,unk,#acaac8,3.32,5.080477437177277
100,2568465,mPN-multi,#05acc6,2.839080459770115,2.210363604349849
101,2568522,unk,#acaac8,3.193548387096774,5.080477437177277
102,2571761,sens-ORN,#00753f,1.0,1.0
103,2582391,sens-ORN,#00753f,1.0,1.0
104,2584838,sens-ORN,#00753f,1.0,1.0
105,2597151,unk,#acaac8,4.1313131313131315,5.080477437177277
106,2608843,sens-ORN,#00753f,1.0,1.0
107,2610744,sens-AN,#018700,,
108,2611805,sens-ORN,#00753f,1.0,1.0
109,2612527,mPN-multi,#05acc6,2.2421052631578946,2.210363604349849
110,2628785,unk,#acaac8,3.5555555555555554,5.080477437177277
111,2648254,O_dSEZ,#b1826d,5.678571428571429,4.567511213366942
112,2650887,CN2,#acaa59,4.56,4.527080723319814
113,2652641,unk,#acaac8,,5.080477437177277
114,2655798,unk,#acaac8,5.541666666666667,5.080477437177277
115,2659386,O_RG,#916e56,4.554216867469879,4.769523480621646
116,2659504,unk,#acaac8,6.241935483870968,5.080477437177277
117,2663649,O_dUnk,#a55949,4.642857142857143,5.298778822207846
118,2667061,FFN,#ba6efd,4.175824175824176,4.705639418799156
119,2667980,unk,#acaac8,5.0,5.080477437177277
120,2669331,LHN2,#ebffd4,4.5476190476190474,3.865298716354034
121,2669844,O_dVNC,#ff9070,5.34020618556701,5.0981000870221305
122,2670619,O_dVNC,#ff9070,6.12962962962963,5.0981000870221305
123,2772093,unk,#acaac8,6.576923076923077,5.080477437177277
124,2775707,LON,#97bca8,,6.0
125,2775943,LON,#97bca8,6.0,6.0
126,2776773,LHN,#d4e29e,4.164383561643835,3.513468974087363
127,2797480,LHN2,#ebffd4,3.769230769230769,3.865298716354034
128,2846555,unk,#acaac8,6.771428571428571,5.080477437177277
129,2852273,O_RG-IPC,#916e56,4.377777777777778,4.335095486424498
130,2854715,LHN2,#ebffd4,3.33,3.865298716354034
131,2878185,unk,#acaac8,6.681818181818182,5.080477437177277
132,2881070,unk,#acaac8,6.096153846153846,5.080477437177277
133,2885630,unk,#acaac8,8.333333333333334,5.080477437177277
134,2910892,unk,#acaac8,,5.080477437177277
135,2911847,unk,#acaac8,6.823529411764706,5.080477437177277
136,2914206,LHN,#d4e29e,3.625,3.513468974087363
137,2920061,unk,#acaac8,3.673469387755102,5.080477437177277
138,2920554,unk,#acaac8,3.51,5.080477437177277
139,2921933,LHN,#d4e29e,3.9565217391304346,3.513468974087363
140,2932028,LHN,#d4e29e,3.0918367346938775,3.513468974087363
141,2935173,LHN,#d4e29e,3.191919191919192,3.513468974087363
142,2935198,LHN2,#ebffd4,3.4591836734693877,3.865298716354034
143,2963280,LHN,#d4e29e,3.19,3.513468974087363
144,2964760,unk,#acaac8,5.695652173913044,5.080477437177277
